"date","country","factor_value"
2005-01-31,"Greece",3.637
2005-01-31,"India",6.708
2005-01-31,"Indonesia",10.004
2005-01-31,"South Africa",7.981
2005-01-31,"South Korea",4.867
2005-02-28,"Greece",3.896
2005-02-28,"India",6.536
2005-02-28,"Indonesia",10.204
2005-02-28,"South Africa",7.689
2005-02-28,"South Korea",4.757
2005-03-31,"Greece",3.838
2005-03-31,"India",6.691
2005-03-31,"Indonesia",10.769
2005-03-31,"South Africa",8.605
2005-03-31,"South Korea",4.774
2005-04-29,"Greece",3.67
2005-04-29,"Indonesia",11.216
2005-04-29,"South Africa",8.347
2005-04-29,"South Korea",4.615
2005-04-30,"India",7.353
2005-05-31,"Greece",3.517
2005-05-31,"India",6.982
2005-05-31,"Indonesia",11.171
2005-05-31,"South Africa",8.457
2005-05-31,"South Korea",4.343
2005-06-30,"China",3.592
2005-06-30,"Greece",3.373
2005-06-30,"India",6.896
2005-06-30,"Indonesia",11.186
2005-06-30,"South Africa",8
2005-06-30,"South Korea",4.797
2005-07-27,"China",3.462
2005-07-29,"Greece",3.46
2005-07-29,"Indonesia",11.421
2005-07-29,"South Africa",7.906
2005-07-29,"South Korea",5.027
2005-07-30,"India",6.988
2005-08-23,"China",3.611
2005-08-31,"Greece",3.321
2005-08-31,"India",7.094
2005-08-31,"Indonesia",13.827
2005-08-31,"South Africa",8.03
2005-08-31,"South Korea",4.84
2005-09-08,"China",3.308
2005-09-30,"Greece",3.361
2005-09-30,"India",7.111
2005-09-30,"Indonesia",14.934
2005-09-30,"Mexico",8.605
2005-09-30,"South Africa",8.115
2005-09-30,"South Korea",5.115
2005-10-31,"Greece",3.595
2005-10-31,"India",7.101
2005-10-31,"Indonesia",14.766
2005-10-31,"Mexico",8.933
2005-10-31,"South Africa",8.075
2005-10-31,"South Korea",5.547
2005-11-30,"Greece",3.64
2005-11-30,"India",7.082
2005-11-30,"Indonesia",14.34
2005-11-30,"Mexico",8.598
2005-11-30,"South Africa",7.752
2005-11-30,"South Korea",5.756
2005-12-29,"Indonesia",13.624
2005-12-30,"Greece",3.504
2005-12-30,"India",7.114
2005-12-30,"Mexico",8.24
2005-12-30,"South Africa",7.47
2005-12-30,"South Korea",5.632
2006-01-30,"Indonesia",13.068
2006-01-31,"Greece",3.769
2006-01-31,"India",7.281
2006-01-31,"Mexico",8.207
2006-01-31,"South Africa",7.399
2006-01-31,"South Korea",5.457
2006-02-27,"Indonesia",12.459
2006-02-28,"Greece",3.787
2006-02-28,"India",7.358
2006-02-28,"Mexico",7.835
2006-02-28,"South Africa",7.321
2006-02-28,"South Korea",5.244
2006-03-31,"Greece",4.086
2006-03-31,"India",7.546
2006-03-31,"Indonesia",12.192
2006-03-31,"Mexico",8.488
2006-03-31,"South Africa",7.508
2006-03-31,"South Korea",5.453
2006-04-28,"China",2.971
2006-04-28,"Greece",4.275
2006-04-28,"India",7.401
2006-04-28,"Indonesia",11.884
2006-04-28,"Mexico",8.535
2006-04-28,"South Africa",7.38
2006-04-28,"South Korea",5.257
2006-05-30,"South Korea",5.15
2006-05-31,"China",2.982
2006-05-31,"Greece",4.302
2006-05-31,"India",7.667
2006-05-31,"Indonesia",12.374
2006-05-31,"Mexico",9.12
2006-05-31,"South Africa",7.75
2006-06-30,"China",3.14
2006-06-30,"Greece",4.38
2006-06-30,"India",8.107
2006-06-30,"Indonesia",12.649
2006-06-30,"Mexico",9.091
2006-06-30,"South Africa",8.651
2006-06-30,"South Korea",5.2
2006-07-31,"China",3.288
2006-07-31,"Greece",4.233
2006-07-31,"India",8.232
2006-07-31,"Indonesia",11.933
2006-07-31,"Mexico",8.533
2006-07-31,"South Africa",8.695
2006-07-31,"South Korea",5.05
2006-08-31,"China",3.209
2006-08-31,"Greece",4.069
2006-08-31,"India",7.88
2006-08-31,"Indonesia",11.707
2006-08-31,"Mexico",8.212
2006-08-31,"South Africa",8.78
2006-08-31,"South Korea",4.96
2006-09-29,"China",3.036
2006-09-29,"Greece",4.001
2006-09-29,"India",7.647
2006-09-29,"Indonesia",10.952
2006-09-29,"Mexico",8.242
2006-09-29,"South Africa",8.623
2006-09-29,"South Korea",4.73
2006-10-31,"China",2.962
2006-10-31,"Greece",4.013
2006-10-31,"India",7.641
2006-10-31,"Indonesia",10.407
2006-10-31,"Mexico",7.895
2006-10-31,"South Africa",8.059
2006-10-31,"South Korea",4.91
2006-11-30,"China",3.029
2006-11-30,"Greece",3.947
2006-11-30,"India",7.422
2006-11-30,"Indonesia",10.665
2006-11-30,"Mexico",7.705
2006-11-30,"South Africa",7.921
2006-11-30,"South Korea",4.98
2006-12-29,"China",3.058
2006-12-29,"Greece",4.207
2006-12-29,"India",7.611
2006-12-29,"Indonesia",10.175
2006-12-29,"Mexico",7.405
2006-12-29,"South Africa",7.732
2006-12-29,"South Korea",5.057
2007-01-05,"Brazil",10.727
2007-01-31,"China",3.057
2007-01-31,"Greece",4.364
2007-01-31,"India",7.764
2007-01-31,"Indonesia",9.977
2007-01-31,"Mexico",7.904
2007-01-31,"South Africa",7.714
2007-01-31,"South Korea",5.057
2007-02-07,"Brazil",10.63
2007-02-28,"China",3.11
2007-02-28,"Greece",4.207
2007-02-28,"India",7.98
2007-02-28,"Indonesia",10.188
2007-02-28,"Mexico",7.991
2007-02-28,"South Africa",7.518
2007-02-28,"South Korea",4.96
2007-03-30,"Brazil",11.752
2007-03-30,"China",3.37
2007-03-30,"Greece",4.306
2007-03-30,"India",7.976
2007-03-30,"Indonesia",9.891
2007-03-30,"Mexico",7.556
2007-03-30,"South Africa",7.74
2007-03-30,"South Korea",4.932
2007-04-30,"Brazil",10.727
2007-04-30,"China",3.64
2007-04-30,"Greece",4.396
2007-04-30,"India",8.178
2007-04-30,"Indonesia",9.595
2007-04-30,"Mexico",7.714
2007-04-30,"South Africa",7.617
2007-04-30,"South Korea",5.15
2007-05-31,"Brazil",10.065
2007-05-31,"China",3.96
2007-05-31,"Greece",4.631
2007-05-31,"India",8.092
2007-05-31,"Indonesia",8.805
2007-05-31,"Mexico",7.548
2007-05-31,"South Africa",7.926
2007-05-31,"South Korea",5.315
2007-06-29,"Brazil",10.68
2007-06-29,"China",4.43
2007-06-29,"Greece",4.813
