"date","country","factor_value"
2005-01-31,"Brazil",18.25
2005-01-31,"China",5.58
2005-01-31,"Greece",2
2005-02-28,"Brazil",18.75
2005-02-28,"China",5.58
2005-02-28,"Greece",2
2005-03-31,"Brazil",19.25
2005-03-31,"China",5.58
2005-03-31,"Greece",2
2005-04-29,"Brazil",19.5
2005-04-29,"China",5.58
2005-04-29,"Greece",2
2005-04-29,"India",6
2005-05-31,"Brazil",19.75
2005-05-31,"China",5.58
2005-05-31,"Greece",2
2005-06-30,"Brazil",19.75
2005-06-30,"China",5.58
2005-06-30,"Greece",2
2005-07-05,"Indonesia",8.5
2005-07-29,"Brazil",19.75
2005-07-29,"China",5.58
2005-07-29,"Greece",2
2005-08-09,"Indonesia",8.75
2005-08-31,"Brazil",19.75
2005-08-31,"China",5.58
2005-08-31,"Greece",2
2005-09-06,"Indonesia",10
2005-09-30,"Brazil",19.5
2005-09-30,"China",5.58
2005-09-30,"Greece",2
2005-10-04,"Indonesia",11
2005-10-11,"South Korea",3.5
2005-10-26,"India",6.25
2005-10-31,"Brazil",19
2005-10-31,"China",5.58
2005-10-31,"Greece",2
2005-11-01,"Indonesia",12.25
2005-11-30,"Brazil",18.5
2005-11-30,"China",5.58
2005-11-30,"Greece",2
2005-12-06,"Indonesia",12.75
2005-12-30,"Brazil",18
2005-12-30,"China",5.58
2005-12-30,"Greece",2.25
2006-01-09,"Indonesia",12.75
2006-01-24,"India",6.5
2006-01-27,"China",5.58
2006-01-31,"Brazil",17.25
2006-01-31,"Greece",2.25
2006-02-07,"Indonesia",12.75
2006-02-24,"Brazil",17.25
2006-02-28,"China",5.58
2006-02-28,"Greece",2.25
2006-03-07,"Indonesia",12.75
2006-03-31,"Brazil",16.5
2006-03-31,"China",5.58
2006-03-31,"Greece",2.5
2006-04-05,"Indonesia",12.75
2006-04-27,"China",5.58
2006-04-28,"Brazil",15.75
2006-04-28,"Greece",2.5
2006-05-09,"Indonesia",12.5
2006-05-31,"Brazil",15.25
2006-05-31,"China",5.85
2006-05-31,"Greece",2.5
2006-06-06,"Indonesia",12.5
2006-06-30,"Brazil",15.25
2006-06-30,"China",5.85
2006-06-30,"Greece",2.75
2006-07-06,"Indonesia",12.25
2006-07-25,"India",7
2006-07-31,"Brazil",14.75
2006-07-31,"China",5.85
2006-07-31,"Greece",2.75
2006-08-08,"Indonesia",11.75
2006-08-31,"Brazil",14.25
2006-08-31,"China",6.12
2006-08-31,"Greece",3
2006-09-05,"Indonesia",11.25
2006-09-29,"Brazil",14.25
2006-09-29,"China",6.12
2006-09-29,"Greece",3
2006-10-05,"Indonesia",10.75
2006-10-31,"Brazil",13.75
2006-10-31,"China",6.12
2006-10-31,"Greece",3.25
2006-10-31,"India",7.25
2006-11-07,"Indonesia",10.25
2006-11-30,"Brazil",13.25
2006-11-30,"China",6.12
2006-11-30,"Greece",3.25
2006-12-07,"Indonesia",9.75
2006-12-29,"Brazil",13.25
2006-12-29,"China",6.12
2006-12-29,"Greece",3.5
2007-01-04,"Indonesia",9.5
2007-01-31,"Brazil",13
2007-01-31,"China",6.12
2007-01-31,"Greece",3.5
2007-01-31,"India",7.5
2007-01-31,"Thailand",4.75
2007-02-06,"Indonesia",9.25
2007-02-28,"Brazil",13
2007-02-28,"China",6.12
2007-02-28,"Greece",3.5
2007-02-28,"Thailand",4.5
2007-03-06,"Indonesia",9
2007-03-30,"Brazil",12.75
2007-03-30,"China",6.39
2007-03-30,"Greece",3.75
2007-03-30,"India",7.75
2007-03-30,"Thailand",4.5
2007-04-05,"Indonesia",9
2007-04-24,"India",7.75
2007-04-30,"Brazil",12.5
2007-04-30,"China",6.39
2007-04-30,"Greece",3.75
2007-04-30,"Thailand",4
2007-05-08,"Indonesia",8.75
2007-05-31,"Brazil",12.5
2007-05-31,"China",6.57
2007-05-31,"Greece",3.75
2007-05-31,"Thailand",3.5
2007-06-07,"Indonesia",8.5
2007-06-29,"Brazil",12
2007-06-29,"China",6.57
2007-06-29,"Greece",4
2007-06-29,"Thailand",3.5
2007-07-05,"Indonesia",8.25
2007-07-31,"Brazil",11.5
2007-07-31,"China",6.84
2007-07-31,"Greece",4
2007-07-31,"Thailand",3.25
2007-08-01,"India",7.75
2007-08-07,"Indonesia",8.25
2007-08-31,"Brazil",11.5
2007-08-31,"China",7.02
2007-08-31,"Greece",4
2007-08-31,"Thailand",3.25
2007-09-06,"Indonesia",8.25
2007-09-28,"Brazil",11.25
2007-09-28,"China",7.29
2007-09-28,"Greece",4
2007-09-28,"Thailand",3.25
2007-10-08,"Indonesia",8.25
2007-10-30,"India",7.75
2007-10-31,"Brazil",11.25
2007-10-31,"China",7.29
2007-10-31,"Greece",4
2007-10-31,"Thailand",3.25
2007-11-06,"Indonesia",8.25
2007-11-30,"Brazil",11.25
2007-11-30,"China",7.29
2007-11-30,"Greece",4
2007-11-30,"Thailand",3.25
2007-12-06,"Indonesia",8
2007-12-31,"Brazil",11.25
2007-12-31,"China",7.47
2007-12-31,"Greece",4
2007-12-31,"Thailand",3.25
2008-01-08,"Indonesia",8
2008-01-29,"India",7.75
2008-01-31,"Brazil",11.25
2008-01-31,"China",7.47
2008-01-31,"Greece",4
2008-01-31,"Mexico",7.5
2008-01-31,"Thailand",3.25
2008-02-06,"Indonesia",8
2008-02-29,"Brazil",11.25
2008-02-29,"China",7.47
2008-02-29,"Greece",4
2008-02-29,"Mexico",7.5
2008-02-29,"Thailand",3.25
2008-03-06,"Indonesia",8
2008-03-31,"Brazil",11.25
2008-03-31,"China",7.47
2008-03-31,"Greece",4
2008-03-31,"Mexico",7.5
2008-03-31,"South Korea",5
2008-03-31,"Thailand",3.25
2008-04-03,"Indonesia",8
2008-04-29,"India",7.75
2008-04-30,"Brazil",11.75
2008-04-30,"China",7.47
2008-04-30,"Greece",4
2008-04-30,"Mexico",7.5
2008-04-30,"South Korea",5
2008-04-30,"Thailand",3.25
2008-05-06,"Indonesia",8.25
2008-05-30,"Brazil",11.75
2008-05-30,"China",7.47
2008-05-30,"Greece",4
2008-05-30,"Mexico",7.5
2008-05-30,"Thailand",3.25
2008-06-05,"Indonesia",8.5
2008-06-24,"India",8.5
2008-06-30,"Brazil",12.25
2008-06-30,"China",7.47
2008-06-30,"Greece",4
2008-06-30,"Mexico",7.75
2008-06-30,"South Korea",5
2008-06-30,"Thailand",3.25
2008-07-03,"Indonesia",8.75
2008-07-29,"India",9
2008-07-31,"Brazil",13
2008-07-31,"China",7.47
2008-07-31,"Greece",4.25
2008-07-31,"Mexico",8
2008-07-31,"South Korea",5
2008-07-31,"Thailand",3.5
2008-08-05,"Indonesia",9
2008-08-29,"Brazil",13
2008-08-29,"China",7.47
2008-08-29,"Greece",4.25
2008-08-29,"Mexico",8.25
2008-08-29,"Thailand",3.75
2008-09-04,"Indonesia",9.25
