"date","country","factor_value"
2005-04-29,"India",2.833
2005-04-29,"Mexico",29.333
2005-05-31,"India",9.583
2005-05-31,"Mexico",15.293
2005-06-30,"India",0.125
2005-06-30,"Mexico",-11.953
2005-07-29,"India",1
2005-07-29,"Mexico",-31.825
2005-08-31,"India",-1.833
2005-08-31,"Mexico",-14.265
2005-09-30,"India",-8.5
2005-09-30,"Mexico",-26.697
2005-10-31,"India",-4.75
2005-10-31,"Mexico",-10.193
2005-11-30,"India",-15.333
2005-11-30,"Mexico",-19.033
2005-12-30,"India",-5.75
2005-12-30,"Mexico",-3.556
2006-01-27,"India",-6.75
2006-01-31,"Mexico",-12.711
2006-02-28,"India",0.332999999999998
2006-02-28,"Mexico",-11.216
2006-03-31,"India",1.083
2006-03-31,"Mexico",5.874
2006-04-28,"India",-0.75
2006-04-28,"Mexico",3.217
2006-05-31,"India",1.5
2006-05-31,"Mexico",38.467
2006-06-30,"India",1.167
2006-06-30,"Mexico",11.848
2006-07-31,"India",1
2006-07-31,"Mexico",-5.894
2006-08-31,"India",-0.25
2006-08-31,"Mexico",-37.996
2006-09-22,"Poland",-52.5
2006-09-29,"India",-2.833
2006-09-29,"Mexico",-23.728
2006-10-20,"Poland",-214.25
2006-10-27,"India",1.775
2006-10-31,"Mexico",-12.159
2006-11-21,"Poland",-60.05
2006-11-30,"India",-1.404
2006-11-30,"Mexico",-2.25
2006-12-20,"Poland",8.23500000000001
2006-12-22,"India",-2.397
2006-12-29,"Mexico",-16.188
2007-01-31,"India",-5.829
2007-01-31,"Mexico",-2.828
2007-01-31,"Poland",184.238
2007-02-01,"Poland",59.926
2007-02-28,"India",-5.679
2007-02-28,"Mexico",-2.85
2007-03-09,"Poland",4.70299999999997
2007-03-30,"India",-4.437
2007-03-30,"Mexico",0.758000000000003
2007-04-30,"India",-3.346
2007-04-30,"Mexico",-9.38
2007-05-31,"India",-3.167
2007-05-31,"Mexico",-15.462
2007-06-29,"India",-1.666
2007-06-29,"Mexico",-5.65900000000001
2007-07-31,"India",9.317
2007-07-31,"Mexico",25.178
2007-08-31,"India",19
2007-08-31,"Mexico",32.225
2007-09-28,"India",13.163
2007-09-28,"Mexico",13.302
2007-10-31,"India",3.5
2007-10-31,"Mexico",-11.507
2007-11-29,"India",43.675
2007-11-30,"Mexico",7.581
2007-12-21,"India",37.002
2007-12-31,"Mexico",20.597
2008-01-31,"India",96.633
2008-01-31,"Mexico",62.769
2008-01-31,"Poland",240.787
2008-02-08,"Poland",294.513
2008-02-29,"India",78.589
2008-02-29,"Mexico",54.261
2008-03-31,"India",92.476
2008-03-31,"Mexico",60.601
2008-04-30,"India",-36.302
2008-04-30,"Mexico",-26
2008-05-30,"India",-45.502
2008-05-30,"Mexico",-46.342
2008-06-30,"India",3.946
2008-06-30,"Mexico",-14.7
2008-06-30,"Poland",299.45
2008-07-22,"Poland",50.989
2008-07-31,"India",68.647
2008-07-31,"Mexico",21.767
2008-08-20,"Poland",-45.933
2008-08-29,"India",91.662
2008-08-29,"Mexico",42.274
2008-09-17,"Poland",-24.087
2008-09-26,"India",148.436
2008-09-30,"Mexico",28.921
2008-10-28,"Poland",246.489
2008-10-31,"India",357.03
2008-10-31,"Mexico",210.167
2008-11-11,"Poland",288.342
2008-11-26,"India",296.751
2008-11-28,"Mexico",198.548
2008-12-22,"India",111.724
2008-12-31,"Mexico",148.284
2009-01-30,"India",-122.296
2009-01-30,"Mexico",40.099
2009-02-17,"India",-68.96
2009-02-27,"Mexico",145.111
2009-02-27,"Poland",2459.716
2009-03-31,"India",0.261000000000024
2009-03-31,"Mexico",87.796
2009-03-31,"Poland",1806.966
2009-04-30,"India",-44.563
2009-04-30,"Mexico",-56.246
2009-04-30,"Poland",1124.086
2009-05-27,"India",-230.896
2009-05-29,"Mexico",-242.889
2009-05-29,"Poland",-1511.993
2009-06-29,"India",-197.675
2009-06-30,"Mexico",-173.235
2009-06-30,"Poland",-1378.465
2009-07-31,"India",-197.671
2009-07-31,"Mexico",-137.789
2009-07-31,"Poland",-1213.243
2009-08-31,"India",-49.826
2009-08-31,"Mexico",-41.257
2009-08-31,"Poland",-696.439
2009-09-30,"India",-105.973
2009-09-30,"Mexico",-49.83
2009-09-30,"Poland",-566.066
2009-10-30,"India",-45.657
2009-10-30,"Mexico",7.75800000000001
2009-10-30,"Poland",-45.088
2009-11-30,"India",-31.156
2009-11-30,"Mexico",-29.776
2009-11-30,"Poland",-195.859
2009-12-31,"India",-22.418
2009-12-31,"Mexico",-23.553
2009-12-31,"Poland",-218.619
2010-01-29,"India",14.413
2010-01-29,"Mexico",-19.418
2010-01-29,"Poland",-182.341
2010-02-26,"India",5.962
2010-02-26,"Mexico",-21.336
2010-02-26,"Poland",-57.663
2010-03-31,"India",-3.45899999999999
2010-03-31,"Mexico",-17.553
2010-03-31,"Poland",-33.811
2010-04-30,"India",-19.411
2010-04-30,"Mexico",-35.21
2010-04-30,"Poland",-118.132
2010-05-31,"India",32.943
2010-05-31,"Mexico",6.72300000000001
2010-05-31,"Poland",-31.379
2010-06-30,"India",56.239
2010-06-30,"Mexico",21.301
2010-06-30,"Poland",77.366
2010-07-30,"India",26.299
2010-07-30,"Mexico",1.726
2010-07-30,"Poland",30.24
2010-08-31,"India",-9.94499999999999
2010-08-31,"Mexico",10.26
2010-08-31,"Poland",-135.293
2010-09-28,"India",-29.465
2010-09-30,"Mexico",-15.484
2010-09-30,"Poland",-186.682
2010-10-26,"India",-31.806
2010-10-29,"Mexico",-11.071
2010-10-29,"Poland",-145.325
2010-11-30,"India",-8.89699999999999
2010-11-30,"Mexico",-18.061
2010-11-30,"Poland",-96.444
2010-12-14,"India",-8.37
2010-12-31,"Mexico",-8.49000000000001
2010-12-31,"Poland",-105.786
2011-01-26,"India",26.422
2011-01-31,"Mexico",16.233
2011-01-31,"Poland",-51.996
2011-02-21,"India",-18.3
2011-02-28,"Mexico",-11.29
2011-02-28,"Poland",-60.535
2011-03-31,"India",3.886
2011-03-31,"Mexico",-8.2
2011-03-31,"Poland",31.117
2011-04-06,"India",-11.933
2011-04-29,"Mexico",-23.5
2011-04-29,"Poland",13.491
2011-05-31,"India",-10.279
2011-05-31,"Mexico",-11.521
2011-05-31,"Poland",15.883
2011-06-30,"India",-2.607
2011-06-30,"Mexico",2.13500000000001
2011-06-30,"Poland",7.02599999999995
2011-07-29,"India",6.866
2011-07-29,"Mexico",12.484
2011-07-29,"Poland",7.10699999999997
2011-08-31,"India",41.13
2011-08-31,"Mexico",39.104
2011-08-31,"Poland",71.258
2011-09-29,"India",144.724
2011-09-30,"Mexico",89.824
2011-09-30,"Poland",108.816
2011-10-31,"Mexico",27.798
2011-10-31,"Poland",88.769
2011-11-30,"Mexico",19.01
2011-11-30,"Poland",139.767
2011-12-30,"Mexico",-43.782
2011-12-30,"Poland",96.104
2012-01-31,"Mexico",2.64400000000001
2012-01-31,"Poland",2.904
2012-02-29,"Mexico",-24.485
2012-02-29,"Poland",-156.267
2012-03-30,"Mexico",-35.858
2012-03-30,"Poland",-112.282
2012-04-30,"Mexico",-23.377
2012-04-30,"Poland",35.464
2012-05-31,"Mexico",25.732
2012-05-31,"Poland",92.031
2012-06-29,"Mexico",22.749
2012-06-29,"Poland",35.897
2012-07-31,"Mexico",-4.44
2012-07-31,"Poland",6.12
2012-08-31,"Mexico",-51.132
2012-08-31,"Poland",-87.768
2012-09-28,"Mexico",-39.259
2012-09-28,"Poland",-127.284
2012-10-31,"Mexico",-11.132
2012-10-31,"Poland",-133.248
2012-11-30,"Mexico",-10.67
2012-11-30,"Poland",-68.318
2012-12-31,"Mexico",-3.34700000000001
2012-12-31,"Poland",-42.466
2013-01-31,"Mexico",-3.455
2013-01-31,"Poland",-18.901
2013-02-28,"Mexico",2.29100000000001
2013-02-28,"Poland",-12.106
2013-03-14,"India",-41.163
2013-03-29,"Mexico",-0.652000000000001
2013-03-29,"Poland",4.20999999999998
2013-04-30,"Mexico",-16.405
2013-04-30,"Poland",-30.265
2013-05-31,"Mexico",-1.13600000000001
2013-05-31,"Poland",-27.744
2013-06-28,"Mexico",34.327
2013-06-28,"Poland",16.916
2013-07-31,"Mexico",43.192
2013-07-31,"Poland",24.374
2013-08-30,"Mexico",30.747
2013-08-30,"Poland",21.037
2013-09-30,"Mexico",-8.17
2013-09-30,"Poland",-38.057
2013-10-31,"Mexico",-21.67
2013-10-31,"Poland",-64.438
2013-11-07,"Poland",-87.503
2013-11-28,"Mexico",-29.41
2013-12-31,"Mexico",-31.813
2014-01-31,"Mexico",4.265
2014-02-28,"Mexico",-13.335
2014-03-03,"Poland",-114.807
2014-03-31,"Mexico",-4.012
2014-04-30,"Mexico",-24.737
2014-05-30,"Mexico",-15.332
2014-06-30,"Mexico",-20.435
2014-07-31,"Mexico",1.97499999999999
2014-08-29,"Mexico",-5.83
2014-09-30,"Mexico",20.064
2014-10-31,"Mexico",-6.655
2014-11-28,"Mexico",14.655
2014-12-31,"Mexico",16.36
2015-01-30,"Mexico",38.754
2015-02-27,"Mexico",19.587
2015-03-31,"Mexico",22.122
2015-04-30,"Mexico",3.092
2015-04-30,"Poland",-30.262
2015-05-28,"Poland",-10.352
2015-05-29,"Mexico",13.64
2015-06-30,"Mexico",5.54200000000002
2015-07-31,"Mexico",15.066
2015-08-31,"Mexico",29.113
2015-09-30,"Mexico",44.842
2015-10-30,"Mexico",16.02
2015-11-30,"Mexico",9.73700000000002
2015-12-31,"Mexico",-5.86199999999999
2016-01-29,"Mexico",44.076
2016-02-29,"Mexico",43.11
2016-03-31,"Mexico",-7.773
2016-04-29,"Mexico",-34.406
2016-05-31,"Mexico",-26.26
2016-06-30,"Mexico",-3.24100000000001
2016-07-29,"Mexico",-9.86599999999999
2016-08-31,"Mexico",-34.137
