"date","country","factor_value"
2005-01-31,"India",31.167
2005-01-31,"Mexico",86
2005-02-28,"India",30.25
2005-02-28,"Mexico",77.75
2005-03-31,"India",37.875
2005-03-31,"Mexico",104.9
2005-04-29,"India",34
2005-04-29,"Mexico",115.333
2005-05-31,"India",39.833
2005-05-31,"Mexico",93.043
2005-06-30,"India",38
2005-06-30,"Mexico",92.947
2005-07-29,"India",35
2005-07-29,"Mexico",83.508
2005-08-31,"India",38
2005-08-31,"Mexico",78.778
2005-09-30,"India",29.5
2005-09-30,"Mexico",66.25
2005-10-31,"India",30.25
2005-10-31,"Mexico",73.315
2005-11-30,"India",22.667
2005-11-30,"Mexico",59.745
2005-12-30,"India",23.75
2005-12-30,"Mexico",62.694
2006-01-27,"India",23.5
2006-01-31,"Mexico",60.604
2006-02-28,"India",23
2006-02-28,"Mexico",48.529
2006-03-31,"India",24.833
2006-03-31,"Mexico",68.568
2006-04-28,"India",22.75
2006-04-28,"Mexico",63.821
2006-05-31,"India",24.5
2006-05-31,"Mexico",86.996
2006-06-30,"India",26
2006-06-30,"Mexico",80.416
2006-06-30,"Poland",383.75
2006-07-20,"Poland",387.5
2006-07-31,"India",23.75
2006-07-31,"Mexico",57.927
2006-08-11,"Poland",345
2006-08-31,"India",24.25
2006-08-31,"Mexico",49
2006-09-22,"Poland",331.25
2006-09-29,"India",23.167
2006-09-29,"Mexico",56.688
2006-10-20,"Poland",173.25
2006-10-27,"India",25.525
2006-10-31,"Mexico",45.768
2006-11-21,"Poland",284.95
2006-11-30,"India",22.846
2006-11-30,"Mexico",46.75
2006-12-20,"Poland",339.485
2006-12-22,"India",20.77
2006-12-29,"Mexico",40.5
2007-01-31,"India",19.696
2007-01-31,"Mexico",42.94
2007-01-31,"Poland",357.488
2007-02-01,"Poland",344.876
2007-02-28,"India",17.167
2007-02-28,"Mexico",43.9
2007-03-09,"Poland",344.188
2007-03-30,"India",16.333
2007-03-30,"Mexico",41.258
2007-04-30,"India",16.35
2007-04-30,"Mexico",33.56
2007-05-31,"India",14
2007-05-31,"Mexico",28.438
2007-06-29,"India",14.667
2007-06-29,"Mexico",35.599
2007-07-31,"India",25.667
2007-07-31,"Mexico",58.738
2007-08-31,"India",33
2007-08-31,"Mexico",60.663
2007-09-28,"India",27.83
2007-09-28,"Mexico",48.901
2007-10-31,"India",29.167
2007-10-31,"Mexico",47.231
2007-11-29,"India",76.675
2007-11-30,"Mexico",68.244
2007-12-21,"India",64.832
2007-12-31,"Mexico",69.498
2008-01-31,"India",125.8
2008-01-31,"Mexico",110
2008-01-31,"Poland",598.275
2008-02-08,"Poland",639.389
2008-02-29,"India",155.264
2008-02-29,"Mexico",122.505
2008-03-31,"India",157.308
2008-03-31,"Mexico",130.099
2008-04-30,"India",89.498
2008-04-30,"Mexico",84
2008-05-30,"India",109.762
2008-05-30,"Mexico",76.163
2008-06-30,"India",161.254
2008-06-30,"Mexico",115.399
2008-06-30,"Poland",643.638
2008-07-22,"Poland",649.264
2008-07-31,"India",158.145
2008-07-31,"Mexico",105.767
2008-08-20,"Poland",593.456
2008-08-29,"India",201.424
2008-08-29,"Mexico",118.437
2008-09-17,"Poland",619.551
2008-09-26,"India",309.69
2008-09-30,"Mexico",144.32
2008-10-28,"Poland",895.753
2008-10-31,"India",515.175
2008-10-31,"Mexico",315.934
2008-11-11,"Poland",881.798
2008-11-26,"India",498.175
2008-11-28,"Mexico",316.985
2008-12-22,"India",421.414
2008-12-31,"Mexico",292.604
2009-01-30,"India",392.879
2009-01-30,"Mexico",356.033
2009-02-17,"India",429.215
2009-02-27,"Mexico",462.096
2009-02-27,"Poland",3079.267
2009-03-31,"India",421.675
2009-03-31,"Mexico",380.4
2009-03-31,"Poland",2702.719
2009-04-30,"India",348.316
2009-04-30,"Mexico",299.787
2009-04-30,"Poland",2005.884
2009-05-27,"India",198.319
2009-05-29,"Mexico",219.207
2009-05-29,"Poland",1567.274
2009-06-29,"India",224
2009-06-30,"Mexico",207.165
2009-06-30,"Poland",1324.254
2009-07-31,"India",150.645
2009-07-31,"Mexico",161.998
2009-07-31,"Poland",792.641
2009-08-31,"India",148.493
2009-08-31,"Mexico",177.95
2009-08-31,"Poland",870.835
2009-09-30,"India",118.027
2009-09-30,"Mexico",157.335
2009-09-30,"Poland",758.188
2009-10-30,"India",104.988
2009-10-30,"Mexico",169.756
2009-10-30,"Poland",747.553
2009-11-30,"India",117.337
2009-11-30,"Mexico",148.174
2009-11-30,"Poland",674.976
2009-12-31,"India",95.609
2009-12-31,"Mexico",133.782
2009-12-31,"Poland",539.569
2010-01-29,"India",119.401
2010-01-29,"Mexico",150.338
2010-01-29,"Poland",565.212
2010-02-26,"India",123.299
2010-02-26,"Mexico",126.838
2010-02-26,"Poland",617.313
2010-03-31,"India",92.15
2010-03-31,"Mexico",116.229
2010-03-31,"Poland",505.758
2010-04-30,"India",99.99
2010-04-30,"Mexico",115.128
2010-04-30,"Poland",447.08
2010-05-31,"India",156.242
2010-05-31,"Mexico",133.561
2010-05-31,"Poland",585.934
2010-06-30,"India",148.389
2010-06-30,"Mexico",137.53
2010-06-30,"Poland",583.124
2010-07-30,"India",126.289
2010-07-30,"Mexico",116.854
2010-07-30,"Poland",477.32
2010-08-31,"India",146.297
2010-08-31,"Mexico",143.821
2010-08-31,"Poland",450.641
2010-09-28,"India",118.924
2010-09-30,"Mexico",122.046
2010-09-30,"Poland",396.442
2010-10-26,"India",94.483
2010-10-29,"Mexico",105.783
2010-10-29,"Poland",331.995
2010-11-30,"India",137.4
2010-11-30,"Mexico",125.76
2010-11-30,"Poland",354.197
2010-12-14,"India",110.554
2010-12-31,"Mexico",113.556
2010-12-31,"Poland",290.656
2011-01-26,"India",120.905
2011-01-31,"Mexico",122.016
2011-01-31,"Poland",279.999
2011-02-21,"India",119.1
2011-02-28,"Mexico",114.47
2011-02-28,"Poland",293.662
2011-03-31,"India",114.44
2011-03-31,"Mexico",105.356
2011-03-31,"Poland",321.773
2011-04-06,"India",108.972
2011-04-29,"Mexico",98.516
2011-04-29,"Poland",293.49
2011-05-31,"India",108.821
2011-05-31,"Mexico",102.949
2011-05-31,"Poland",309.545
2011-06-30,"India",111.833
2011-06-30,"Mexico",107.491
2011-06-30,"Poland",328.799
2011-07-29,"India",115.838
2011-07-29,"Mexico",111
2011-07-29,"Poland",300.597
2011-08-31,"India",149.951
2011-08-31,"Mexico",142.053
2011-08-31,"Poland",380.803
2011-09-29,"India",256.557
2011-09-30,"Mexico",197.315
2011-09-30,"Poland",437.615
2011-10-31,"Mexico",138.798
2011-10-31,"Poland",389.366
2011-11-30,"Mexico",161.063
2011-11-30,"Poland",520.57
2011-12-30,"Mexico",153.533
2011-12-30,"Poland",533.719
2012-01-31,"Mexico",141.442
2012-01-31,"Poland",392.27
2012-02-29,"Mexico",136.578
2012-02-29,"Poland",364.303
2012-03-30,"Mexico",117.675
2012-03-30,"Poland",421.437
2012-04-30,"Mexico",118.065
2012-04-30,"Poland",427.734
2012-05-31,"Mexico",162.31
2012-05-31,"Poland",456.334
2012-06-29,"Mexico",140.424
2012-06-29,"Poland",457.334
2012-07-31,"Mexico",113.625
2012-07-31,"Poland",433.854
2012-08-31,"Mexico",111.178
2012-08-31,"Poland",368.566
2012-09-28,"Mexico",101.165
2012-09-28,"Poland",330.05
2012-10-31,"Mexico",102.493
2012-10-31,"Poland",300.606
2012-11-30,"Mexico",100.508
2012-11-30,"Poland",300.248
2012-12-31,"Mexico",97.818
2012-12-31,"Poland",287.584
2013-01-31,"Mexico",99.038
2013-01-31,"Poland",281.705
2013-02-28,"Mexico",102.799
2013-02-28,"Poland",288.142
2013-03-14,"India",74.675
2013-03-29,"Mexico",97.166
2013-03-29,"Poland",291.794
2013-04-30,"Mexico",82.633
2013-04-30,"Poland",251.44
2013-05-31,"Mexico",101.663
2013-05-31,"Poland",260.398
2013-06-28,"Mexico",131.493
2013-06-28,"Poland",308.71
2013-07-31,"Mexico",125.825
2013-07-31,"Poland",275.814
2013-08-30,"Mexico",132.41
2013-08-30,"Poland",281.435
2013-09-30,"Mexico",123.323
2013-09-30,"Poland",270.653
2013-10-31,"Mexico",104.155
2013-10-31,"Poland",211.376
2013-11-07,"Poland",193.932
2013-11-28,"Mexico",103
2013-12-31,"Mexico",91.51
2014-01-31,"Mexico",108.42
2014-02-28,"Mexico",89.665
2014-03-03,"Poland",155.846
2014-03-31,"Mexico",87.498
2014-04-30,"Mexico",83.683
2014-05-30,"Mexico",74.333
2014-06-30,"Mexico",67.063
2014-07-31,"Mexico",85.658
2014-08-29,"Mexico",68.503
2014-09-30,"Mexico",87.127
2014-10-31,"Mexico",79.003
2014-11-28,"Mexico",83.158
2014-12-31,"Mexico",103.487
2015-01-30,"Mexico",117.757
2015-02-27,"Mexico",102.745
2015-03-31,"Mexico",125.609
2015-04-30,"Mexico",120.849
2015-04-30,"Poland",181.114
2015-05-28,"Poland",183.58
2015-05-29,"Mexico",116.385
2015-06-30,"Mexico",131.151
2015-07-31,"Mexico",135.915
2015-08-31,"Mexico",145.498
2015-09-30,"Mexico",175.993
2015-10-30,"Mexico",151.935
2015-11-30,"Mexico",155.235
2015-12-31,"Mexico",170.131
2016-01-29,"Mexico",196.011
2016-02-29,"Mexico",198.345
2016-03-31,"Mexico",162.358
2016-04-29,"Mexico",161.605
2016-05-31,"Mexico",172.085
2016-06-30,"Mexico",159.117
2016-07-29,"Mexico",151.739
2016-08-31,"Mexico",137.948
2016-09-30,"Mexico",166.807
2016-10-31,"Mexico",155.351
2016-11-30,"Mexico",180.547
2016-12-30,"Mexico",155.913
2017-01-31,"Mexico",167.002
2017-02-28,"Mexico",141.573
2017-03-31,"Mexico",130.278
2017-04-28,"Mexico",119.09
2017-05-31,"Mexico",118.752
2017-06-30,"Mexico",112.633
2017-07-31,"Mexico",101.659
2017-08-31,"Mexico",101.571
2017-09-29,"Mexico",110.307
2017-10-31,"Mexico",106.882
2017-11-30,"Mexico",102.469
2017-12-29,"Mexico",106.107
2018-01-31,"Mexico",97.649
2018-02-28,"Mexico",105.716
2018-03-08,"Poland",106.689
2018-03-30,"Mexico",109.346
2018-04-30,"Mexico",113.725
2018-05-31,"Mexico",136.283
2018-06-29,"Mexico",134.227
2018-07-31,"Mexico",114.128
2018-08-31,"Mexico",120.614
2018-09-28,"Mexico",112.967
2018-10-31,"Mexico",144.374
2018-11-30,"Mexico",149.733
2018-12-31,"Mexico",154.728
2019-01-31,"Mexico",135.33
2019-02-28,"Mexico",124.332
2019-03-29,"Mexico",124.813
2019-04-30,"Mexico",112.314
2019-05-31,"Mexico",131.55
2019-06-28,"Mexico",111.825
2019-07-31,"Mexico",117.285
2019-08-30,"Mexico",113.401
2019-09-30,"Mexico",115.925
2019-10-31,"Mexico",91.73
2019-11-29,"Mexico",91.861
2019-12-31,"Mexico",78.8
2020-01-31,"Mexico",81.762
2020-02-28,"Mexico",104.149
2020-03-13,"Poland",202.959
2020-03-31,"Mexico",240.855
2020-04-28,"Poland",182.379
2020-04-30,"Mexico",255.58
2020-05-29,"Mexico",177.568
2020-06-30,"Mexico",158.074
2020-07-31,"Mexico",143.447
2020-08-31,"Mexico",117.382
2020-09-30,"Mexico",151.68
2020-10-30,"Mexico",128.202
2020-11-30,"Mexico",87.65
2020-12-31,"Mexico",81.494
2021-01-29,"Mexico",95.456
2021-02-26,"Mexico",107.132
2021-03-31,"Mexico",113.907
2021-04-30,"Mexico",94.353
2021-05-31,"Mexico",93.885
2021-06-29,"Poland",179.713
2021-06-30,"Mexico",93.2
2021-07-21,"Poland",185.099
2021-07-30,"Mexico",95.602
2021-08-17,"Poland",173.559
2021-08-31,"Mexico",85.601
2021-09-30,"Mexico",101.761
2021-10-29,"Mexico",103.237
2021-11-30,"Mexico",118.899
2021-12-31,"Mexico",90.107
2022-01-31,"Mexico",104.75
2022-02-28,"Mexico",114.26
2022-03-31,"Mexico",99.735
2022-04-29,"Mexico",139.21
2022-05-31,"Mexico",125.574
2022-06-30,"Mexico",174.647
2022-07-29,"Mexico",156.938
2022-08-31,"Mexico",163.139
2022-09-22,"Poland",334.047
2022-09-30,"Mexico",197.245
2022-10-31,"Mexico",162.234
