"date","country","factor_value"
2005-04-30,"Brazil",0.66
2005-04-30,"China",-0.0999999999999999
2005-04-30,"Indonesia",0.799999999999999
2005-04-30,"Malaysia",0.3
2005-04-30,"Mexico",0.0599999999999996
2005-04-30,"Philippines",-0.0999999999999996
2005-04-30,"Poland",-0.7
2005-04-30,"Saudi Arabia",0.4
2005-04-30,"South Africa",0.4
2005-04-30,"South Korea",-0.3
2005-04-30,"Taiwan",1.16
2005-04-30,"Thailand",0.74
2005-04-30,"Turkey",-1.05
2005-05-31,"Brazil",0.660000000000001
2005-05-31,"China",-2.1
2005-05-31,"Indonesia",0.25
2005-05-31,"Malaysia",0.7
2005-05-31,"Mexico",0.33
2005-05-31,"Philippines",0
2005-05-31,"Poland",-1.1
2005-05-31,"Saudi Arabia",0.7
2005-05-31,"South Africa",0.7
2005-05-31,"South Korea",-0.3
2005-05-31,"Taiwan",0.37
2005-05-31,"Thailand",1.34
2005-05-31,"Turkey",0
2005-06-30,"Brazil",-0.27
2005-06-30,"China",-1.1
2005-06-30,"Indonesia",-1.39
2005-06-30,"Malaysia",0.6
2005-06-30,"Mexico",-0.0599999999999996
2005-06-30,"Philippines",-0.399999999999999
2005-06-30,"Poland",-2
2005-06-30,"Saudi Arabia",-0.2
2005-06-30,"South Africa",-0.2
2005-06-30,"South Korea",-0.2
2005-06-30,"Taiwan",0.0800000000000001
2005-06-30,"Thailand",0.63
2005-06-30,"Turkey",1.01
2005-07-31,"Brazil",-1.5
2005-07-31,"China",0
2005-07-31,"Indonesia",-0.279999999999999
2005-07-31,"Malaysia",0.3
2005-07-31,"Mexico",-0.13
2005-07-31,"Philippines",-1.2
2005-07-31,"Poland",-1.7
2005-07-31,"Saudi Arabia",0
2005-07-31,"South Africa",0
2005-07-31,"South Korea",-0.5
2005-07-31,"Taiwan",0.77
2005-07-31,"Thailand",1.86
2005-07-31,"Turkey",-0.359999999999999
2005-08-31,"Brazil",-2.03
2005-08-31,"China",-0.5
2005-08-31,"Indonesia",0.9
2005-08-31,"Malaysia",0.6
2005-08-31,"Mexico",-0.649999999999999
2005-08-31,"Philippines",-1.2
2005-08-31,"Poland",-0.9
2005-08-31,"Saudi Arabia",0.6
2005-08-31,"South Africa",0.6
2005-08-31,"South Korea",-1.1
2005-08-31,"Taiwan",1.26
2005-08-31,"Thailand",1.73
2005-08-31,"Turkey",-0.789999999999999
2005-09-30,"Brazil",-1.23
2005-09-30,"China",-0.7
2005-09-30,"Indonesia",1.68
2005-09-30,"Malaysia",0.2
2005-09-30,"Mexico",-0.82
2005-09-30,"Philippines",-0.7
2005-09-30,"Poland",0.4
2005-09-30,"Saudi Arabia",1.6
2005-09-30,"South Africa",1.6
2005-09-30,"South Korea",-0.3
2005-09-30,"Taiwan",0.78
2005-09-30,"Thailand",2.19
2005-09-30,"Turkey",-0.959999999999999
2005-10-31,"Brazil",-0.21
2005-10-31,"China",-0.6
2005-10-31,"Indonesia",10.05
2005-10-31,"Malaysia",0.3
2005-10-31,"Mexico",-1.42
2005-10-31,"Philippines",0.2
2005-10-31,"Poland",0.3
2005-10-31,"Saudi Arabia",0.6
2005-10-31,"South Africa",0.6
2005-10-31,"South Korea",-0.3
2005-10-31,"Taiwan",0.33
2005-10-31,"Thailand",0.970000000000001
2005-10-31,"Turkey",-0.300000000000001
2005-11-30,"Brazil",0.2
2005-11-30,"China",0
2005-11-30,"Indonesia",10.1
2005-11-30,"Malaysia",-0.2
2005-11-30,"Mexico",-1.04
2005-11-30,"Philippines",0.100000000000001
2005-11-30,"Poland",-0.6
2005-11-30,"Saudi Arabia",-0.5
2005-11-30,"South Africa",-0.5
2005-11-30,"South Korea",0.5
2005-11-30,"Taiwan",-1.05
2005-11-30,"Thailand",0.34
2005-11-30,"Turkey",-0.3
2005-12-31,"Brazil",-0.35
2005-12-31,"China",0.7
2005-12-31,"Indonesia",8
2005-12-31,"Malaysia",0.1
2005-12-31,"Mexico",-0.18
2005-12-31,"Philippines",-0.0999999999999996
2005-12-31,"Poland",-1.1
2005-12-31,"Saudi Arabia",-0.8
2005-12-31,"South Africa",-0.8
2005-12-31,"South Korea",0.1
2005-12-31,"Taiwan",-0.96
2005-12-31,"Thailand",-0.2
2005-12-31,"Turkey",-0.27
2006-01-31,"Brazil",-0.66
2006-01-31,"China",0.7
2006-01-31,"Indonesia",-0.859999999999999
2006-01-31,"Malaysia",-0.0999999999999996
2006-01-31,"Mexico",0.89
2006-01-31,"Philippines",-0.3
2006-01-31,"Poland",-1
2006-01-31,"Saudi Arabia",0
2006-01-31,"South Africa",0
2006-01-31,"South Korea",-0.0999999999999996
2006-01-31,"Taiwan",-0.0699999999999998
2006-01-31,"Thailand",-0.44
2006-01-31,"Turkey",0.420000000000001
2006-02-28,"Brazil",-0.71
2006-02-28,"China",-0.4
2006-02-28,"Indonesia",-0.5
2006-02-28,"Malaysia",-0.3
2006-02-28,"Mexico",0.84
2006-02-28,"Philippines",0.3
2006-02-28,"Poland",-0.3
2006-02-28,"Saudi Arabia",0.5
2006-02-28,"South Africa",0.5
2006-02-28,"South Korea",-0.5
2006-02-28,"Taiwan",-1.53
2006-02-28,"Thailand",-0.37
2006-02-28,"Turkey",0.53
2006-03-31,"Brazil",-0.37
2006-03-31,"China",-0.8
2006-03-31,"Indonesia",-1.36
2006-03-31,"Malaysia",1.3
2006-03-31,"Mexico",0.0800000000000001
2006-03-31,"Philippines",0.699999999999999
2006-03-31,"Poland",-0.3
2006-03-31,"Saudi Arabia",-0.2
2006-03-31,"South Africa",-0.2
2006-03-31,"South Korea",-0.6
2006-03-31,"Taiwan",-1.78
2006-03-31,"Thailand",-0.0899999999999999
2006-03-31,"Turkey",0.44
2006-04-30,"Brazil",-1.07
2006-04-30,"China",-0.7
2006-04-30,"Indonesia",-1.63
2006-04-30,"Malaysia",1.4
2006-04-30,"Mexico",-0.74
2006-04-30,"Philippines",0.399999999999999
2006-04-30,"Poland",0.1
2006-04-30,"Saudi Arabia",-0.7
2006-04-30,"South Africa",-0.7
2006-04-30,"South Korea",-0.2
2006-04-30,"Taiwan",-1.45
2006-04-30,"Thailand",0.2
2006-04-30,"Turkey",0.89
2006-05-31,"Brazil",-1.28
2006-05-31,"China",0.5
2006-05-31,"Indonesia",-2.3
2006-05-31,"Malaysia",0.7
2006-05-31,"Mexico",-0.75
2006-05-31,"Philippines",-0.5
2006-05-31,"Poland",0.2
2006-05-31,"Saudi Arabia",0
2006-05-31,"South Africa",0
2006-05-31,"South Korea",0.3
2006-05-31,"Taiwan",0.61
2006-05-31,"Thailand",0.62
2006-05-31,"Turkey",1.72
2006-06-30,"Brazil",-1.29
2006-06-30,"China",0.7
2006-06-30,"Indonesia",-0.210000000000001
2006-06-30,"Malaysia",-0.9
2006-06-30,"Mexico",-0.23
2006-06-30,"Philippines",-0.699999999999999
2006-06-30,"Poland",0.4
2006-06-30,"Saudi Arabia",1.5
2006-06-30,"South Africa",1.5
2006-06-30,"South Korea",0.4
2006-06-30,"Taiwan",1.32
2006-06-30,"Thailand",0.23
2006-06-30,"Turkey",1.96
2006-07-31,"Brazil",-0.66
2006-07-31,"China",-0.2
2006-07-31,"Indonesia",-0.25
2006-07-31,"Malaysia",-0.5
2006-07-31,"Mexico",-0.14
2006-07-31,"Philippines",-0.8
2006-07-31,"Poland",0.4
2006-07-31,"Saudi Arabia",1.7
2006-07-31,"South Africa",1.7
2006-07-31,"South Korea",0.4
2006-07-31,"Taiwan",-0.45
2006-07-31,"Thailand",-1.63
2006-07-31,"Turkey",2.86
2006-08-31,"Brazil",-0.390000000000001
2006-08-31,"China",-0.0999999999999999
2006-08-31,"Indonesia",-0.699999999999999
2006-08-31,"Malaysia",-0.6
2006-08-31,"Mexico",0.47
2006-08-31,"Philippines",-0.8
2006-08-31,"Poland",0.7
2006-08-31,"Saudi Arabia",1.5
2006-08-31,"South Africa",1.5
