"date","country","factor_value"
2005-01-31,"Brazil",7.41
2005-01-31,"China",1.9
2005-01-31,"Indonesia",7.32
2005-01-31,"Malaysia",2.4
2005-01-31,"Mexico",4.54
2005-01-31,"Philippines",7.3
2005-01-31,"Poland",3.7
2005-01-31,"Saudi Arabia",3
2005-01-31,"South Africa",3
2005-01-31,"South Korea",3.4
2005-01-31,"Taiwan",0.49
2005-01-31,"Thailand",2.75
2005-01-31,"Turkey",9.23
2005-02-28,"Brazil",7.39
2005-02-28,"China",3.9
2005-02-28,"Indonesia",7.15
2005-02-28,"Malaysia",2.4
2005-02-28,"Mexico",4.27
2005-02-28,"Philippines",7.3
2005-02-28,"Poland",3.6
2005-02-28,"Saudi Arabia",2.6
2005-02-28,"South Africa",2.6
2005-02-28,"South Korea",3.4
2005-02-28,"Taiwan",1.93
2005-02-28,"Thailand",2.48
2005-02-28,"Turkey",8.7
2005-03-31,"Brazil",7.54
2005-03-31,"China",2.7
2005-03-31,"Indonesia",8.81
2005-03-31,"Malaysia",2.6
2005-03-31,"Mexico",4.39
2005-03-31,"Philippines",7.1
2005-03-31,"Poland",3.4
2005-03-31,"Saudi Arabia",3
2005-03-31,"South Africa",3
2005-03-31,"South Korea",3
2005-03-31,"Taiwan",2.3
2005-03-31,"Thailand",3.16
2005-03-31,"Turkey",7.94
2005-04-30,"Brazil",8.07
2005-04-30,"China",1.8
2005-04-30,"Indonesia",8.12
2005-04-30,"Malaysia",2.7
2005-04-30,"Mexico",4.6
2005-04-30,"Philippines",7.2
2005-04-30,"Poland",3
2005-04-30,"Saudi Arabia",3.4
2005-04-30,"South Africa",3.4
2005-04-30,"South Korea",3.1
2005-04-30,"Taiwan",1.65
2005-04-30,"Thailand",3.49
2005-04-30,"Turkey",8.18
2005-05-31,"Brazil",8.05
2005-05-31,"China",1.8
2005-05-31,"Indonesia",7.4
2005-05-31,"Malaysia",3.1
2005-05-31,"Mexico",4.6
2005-05-31,"Philippines",7.3
2005-05-31,"Poland",2.5
2005-05-31,"Saudi Arabia",3.3
2005-05-31,"South Africa",3.3
2005-05-31,"South Korea",3.1
2005-05-31,"Taiwan",2.3
2005-05-31,"Thailand",3.82
2005-05-31,"Turkey",8.7
2005-06-30,"Brazil",7.27
2005-06-30,"China",1.6
2005-06-30,"Indonesia",7.42
2005-06-30,"Malaysia",3.2
2005-06-30,"Mexico",4.33
2005-06-30,"Philippines",6.7
2005-06-30,"Poland",1.4
2005-06-30,"Saudi Arabia",2.8
2005-06-30,"South Africa",2.8
2005-06-30,"South Korea",2.8
2005-06-30,"Taiwan",2.38
2005-06-30,"Thailand",3.79
2005-06-30,"Turkey",8.95
2005-07-31,"Brazil",6.57
2005-07-31,"China",1.8
2005-07-31,"Indonesia",7.84
2005-07-31,"Malaysia",3
2005-07-31,"Mexico",4.47
2005-07-31,"Philippines",6
2005-07-31,"Poland",1.3
2005-07-31,"Saudi Arabia",3.4
2005-07-31,"South Africa",3.4
2005-07-31,"South Korea",2.6
2005-07-31,"Taiwan",2.42
2005-07-31,"Thailand",5.35
2005-07-31,"Turkey",7.82
2005-08-31,"Brazil",6.02
2005-08-31,"China",1.3
2005-08-31,"Indonesia",8.3
2005-08-31,"Malaysia",3.7
2005-08-31,"Mexico",3.95
2005-08-31,"Philippines",6.1
2005-08-31,"Poland",1.6
2005-08-31,"Saudi Arabia",3.9
2005-08-31,"South Africa",3.9
2005-08-31,"South Korea",2
2005-08-31,"Taiwan",3.56
2005-08-31,"Thailand",5.55
2005-08-31,"Turkey",7.91
2005-09-30,"Brazil",6.04
2005-09-30,"China",0.9
2005-09-30,"Indonesia",9.1
2005-09-30,"Malaysia",3.4
2005-09-30,"Mexico",3.51
2005-09-30,"Philippines",6
2005-09-30,"Poland",1.8
2005-09-30,"Saudi Arabia",4.4
2005-09-30,"South Africa",4.4
2005-09-30,"South Korea",2.5
2005-09-30,"Taiwan",3.16
2005-09-30,"Thailand",5.98
2005-09-30,"Turkey",7.99
2005-10-31,"Brazil",6.36
2005-10-31,"China",1.2
2005-10-31,"Indonesia",17.89
2005-10-31,"Malaysia",3.3
2005-10-31,"Mexico",3.05
2005-10-31,"Philippines",6.2
2005-10-31,"Poland",1.6
2005-10-31,"Saudi Arabia",4
2005-10-31,"South Africa",4
2005-10-31,"South Korea",2.3
2005-10-31,"Taiwan",2.75
2005-10-31,"Thailand",6.32
2005-10-31,"Turkey",7.52
2005-11-30,"Brazil",6.22
2005-11-30,"China",1.3
2005-11-30,"Indonesia",18.4
2005-11-30,"Malaysia",3.5
2005-11-30,"Mexico",2.91
2005-11-30,"Philippines",6.2
2005-11-30,"Poland",1
2005-11-30,"Saudi Arabia",3.4
2005-11-30,"South Africa",3.4
2005-11-30,"South Korea",2.5
2005-11-30,"Taiwan",2.51
2005-11-30,"Thailand",5.89
2005-11-30,"Turkey",7.61
2005-12-31,"Brazil",5.69
2005-12-31,"China",1.6
2005-12-31,"Indonesia",17.1
2005-12-31,"Malaysia",3.5
2005-12-31,"Mexico",3.33
2005-12-31,"Philippines",5.9
2005-12-31,"Poland",0.7
