"date","country","factor_value"
2005-05-31,"Mexico",0
2005-06-30,"Mexico",0
2005-07-29,"Mexico",0
2005-08-31,"Mexico",0
2005-09-30,"Mexico",0
2005-10-31,"India",0.00670706622476758
2005-10-31,"Mexico",0
2005-11-30,"India",0.0264996318184394
2005-11-30,"Mexico",0
2005-12-30,"India",0.0104264443340144
2005-12-30,"Mexico",0
2006-01-31,"India",0.105399696955783
2006-01-31,"Mexico",0
2006-02-28,"India",0.103643787994445
2006-02-28,"Mexico",0.416959214240318
2006-02-28,"South Africa",-0.0344923230542594
2006-03-31,"India",0.089427043962149
2006-03-31,"Mexico",0.426338506554101
2006-03-31,"South Africa",0.152863483815092
2006-04-28,"India",-0.0916571476043117
2006-04-28,"Malaysia",0.0695730004432223
2006-04-28,"Mexico",0.431446519305822
2006-04-28,"South Africa",0.19673361401188
2006-05-31,"India",0.0217912126830691
2006-05-31,"Malaysia",-0.015828189668184
2006-05-31,"Mexico",0.020337538027581
2006-05-31,"South Africa",0.19234820579279
2006-05-31,"Thailand",3.00870085951811
2006-06-30,"Brazil",-0.116104295738772
2006-06-30,"Greece",-0.0378704792610896
2006-06-30,"India",-0.00265010282733374
2006-06-30,"Malaysia",-0.00717254540455738
2006-06-30,"Mexico",0.0316848538267137
2006-06-30,"Philippines",0.0649756476013965
2006-06-30,"Poland",0.128560572931477
2006-06-30,"South Africa",0.0337093237144609
2006-06-30,"Thailand",-0.0199776835836157
2006-07-31,"Brazil",-0.137189054603283
2006-07-31,"Greece",-0.0271846724153967
2006-07-31,"India",0.109996844690162
2006-07-31,"Indonesia",-0.00277508743959728
2006-07-31,"Malaysia",-0.0211460550296309
2006-07-31,"Mexico",0.0334455449712832
2006-07-31,"Philippines",0.0452154855330591
2006-07-31,"Poland",0.0426558687571871
2006-07-31,"South Africa",-0.00438960100333734
2006-07-31,"South Korea",-0.0243321061078071
2006-07-31,"Taiwan",-0.0898929667423467
2006-07-31,"Thailand",-0.0295359531044949
2006-07-31,"Turkey",-0.0301061795985676
2006-08-31,"Brazil",0.00367903442109969
2006-08-31,"Greece",-0.0127976072312437
2006-08-31,"India",-0.00479540033029541
2006-08-31,"Indonesia",-0.0417299873453505
2006-08-31,"Malaysia",-0.0301960198723872
2006-08-31,"Mexico",0.0288909808428038
2006-08-31,"Philippines",0.0351516023364472
2006-08-31,"Poland",0.0378335862558295
2006-08-31,"South Africa",0.0104030025753188
2006-08-31,"South Korea",-0.0434917731692467
2006-08-31,"Taiwan",-0.111756253976547
2006-08-31,"Thailand",-0.0163302527050489
2006-08-31,"Turkey",-0.0641165461632366
2006-09-29,"Brazil",0.0207076663858466
2006-09-29,"Greece",0.0224959828602036
2006-09-29,"India",0.0327239503440876
2006-09-29,"Indonesia",-0.037609214784578
2006-09-29,"Malaysia",-0.0189649695794884
2006-09-29,"Mexico",0.0182721892447266
2006-09-29,"Philippines",-0.0146739554635624
2006-09-29,"Poland",-0.00646533269511656
2006-09-29,"South Africa",0.0112939554493936
2006-09-29,"South Korea",-0.0307353718404148
2006-09-29,"Taiwan",-0.095299208296841
2006-09-29,"Thailand",0.00610173076245203
2006-09-29,"Turkey",-0.0405618237171293
2006-10-31,"Brazil",0.0200349476101259
2006-10-31,"Greece",0.0176461750686316
2006-10-31,"India",0.025048098116037
2006-10-31,"Indonesia",-0.0334360314981543
2006-10-31,"Malaysia",0.0029716277368362
2006-10-31,"Mexico",0.0345742280627427
2006-10-31,"Philippines",0.00218735945704443
2006-10-31,"Poland",0.00183149038701861
2006-10-31,"South Africa",-0.00308520064479628
2006-10-31,"South Korea",-0.0299218693306885
2006-10-31,"Taiwan",-0.0441955882084179
2006-10-31,"Thailand",0.0146955436310942
2006-10-31,"Turkey",-0.0400017230705101
2006-11-30,"Brazil",-0.0293594642865097
2006-11-30,"Greece",0.0103761696651206
2006-11-30,"India",0.0231542372950803
2006-11-30,"Indonesia",0.0172558755903308
2006-11-30,"Malaysia",0.00576365278257491
2006-11-30,"Mexico",0.031317565272455
2006-11-30,"Philippines",0.00457153776223365
2006-11-30,"Poland",-0.0317265197234687
2006-11-30,"South Africa",-0.00157114394116027
2006-11-30,"South Korea",-0.0469820285285125
2006-11-30,"Taiwan",-0.0359429997248655
2006-11-30,"Thailand",-0.0028417700983031
2006-11-30,"Turkey",-0.0566774167113883
2006-12-29,"Brazil",-0.00100125740625955
2006-12-29,"Greece",0.00980510671448329
2006-12-29,"India",0.0234406071182176
2006-12-29,"Indonesia",0.0322045374416394
2006-12-29,"Malaysia",-0.0010294685368678
2006-12-29,"Mexico",0.0414928272887863
2006-12-29,"Philippines",0.0495125321629021
2006-12-29,"Poland",-0.00806186592327039
2006-12-29,"South Africa",0.0981088407336366
2006-12-29,"South Korea",-0.0740297649082259
2006-12-29,"Taiwan",-0.0452022888690802
2006-12-29,"Thailand",-0.0430171571117753
2006-12-29,"Turkey",-0.0162056452301101
2007-01-31,"Brazil",-0.0181734974467149
2007-01-31,"Greece",0.0270302916426204
2007-01-31,"India",0.024042152138353
2007-01-31,"Indonesia",0.0382792359103803
2007-01-31,"Malaysia",-0.00595843031832929
2007-01-31,"Mexico",0.0454883727974194
2007-01-31,"Philippines",0.0657106806810597
2007-01-31,"Poland",0.00204270405366052
2007-01-31,"South Africa",0.115083954424741
2007-01-31,"South Korea",-0.0677904115965158
2007-01-31,"Taiwan",-0.0552690073854537
