"date","country","factor_value"
2005-05-31,"India",5.5125
2005-06-30,"India",5.1303
2005-07-29,"India",2.7085
2005-08-31,"India",2.5929
2005-09-30,"India",2.3958
2005-10-31,"India",2.561
2005-10-31,"South Africa",3.661
2005-11-30,"India",2.3062
2005-11-30,"South Africa",3.532
2005-12-30,"India",2.172
2005-12-30,"South Africa",3.6474
2006-01-31,"India",2.0707
2006-01-31,"Malaysia",3.8358
2006-01-31,"South Africa",2.5921
2006-02-28,"Greece",2.4362
2006-02-28,"India",2.001
2006-02-28,"Malaysia",3.7158
2006-02-28,"Mexico",1.6833
2006-02-28,"Poland",4.2496
2006-02-28,"South Africa",2.8521
2006-02-28,"Thailand",4.4241
2006-03-31,"Greece",3.1184
2006-03-31,"India",1.8246
2006-03-31,"Indonesia",3.0756
2006-03-31,"Malaysia",3.8884
2006-03-31,"Mexico",1.6664
2006-03-31,"Philippines",2.7574
2006-03-31,"Poland",3.9797
2006-03-31,"South Africa",2.4866
2006-03-31,"Thailand",4.2047
2006-04-28,"Greece",3.1599
2006-04-28,"India",1.2686
2006-04-28,"Indonesia",3.1293
2006-04-28,"Malaysia",3.8036
2006-04-28,"Mexico",2.2898
2006-04-28,"Philippines",3.023
2006-04-28,"Poland",3.7134
2006-04-28,"South Africa",2.4552
2006-04-28,"South Korea",1.992
2006-04-28,"Taiwan",3.9762
2006-04-28,"Thailand",4.0062
2006-04-28,"Turkey",2.5159
2006-05-31,"Greece",4.4779
2006-05-31,"India",1.916
2006-05-31,"Indonesia",3.5497
2006-05-31,"Malaysia",3.8637
2006-05-31,"Mexico",2.6296
2006-05-31,"Philippines",2.9415
2006-05-31,"Poland",4.486
2006-05-31,"South Africa",2.5781
2006-05-31,"South Korea",2.146
2006-05-31,"Taiwan",4.2732
2006-05-31,"Thailand",4.2656
2006-05-31,"Turkey",3.0881
2006-06-30,"Greece",4.1788
2006-06-30,"India",1.8426
2006-06-30,"Indonesia",3.5593
2006-06-30,"Malaysia",3.9167
2006-06-30,"Mexico",1.5959
2006-06-30,"Philippines",3.334
2006-06-30,"Poland",4.277
2006-06-30,"South Africa",2.5731
2006-06-30,"South Korea",2.1265
2006-06-30,"Taiwan",4.2456
2006-06-30,"Thailand",4.4461
2006-06-30,"Turkey",3.3288
2006-07-31,"Brazil",3.1273
2006-07-31,"Greece",3.4102
2006-07-31,"India",1.7856
2006-07-31,"Indonesia",3.4735
2006-07-31,"Malaysia",3.8145
2006-07-31,"Mexico",1.5316
2006-07-31,"Philippines",3.0758
2006-07-31,"Poland",3.8689
2006-07-31,"South Africa",2.6439
2006-07-31,"South Korea",2.0831
2006-07-31,"Taiwan",4.4264
2006-07-31,"Thailand",4.2819
2006-07-31,"Turkey",3.3678
2006-08-31,"Brazil",3.5827
2006-08-31,"Greece",3.3672
2006-08-31,"India",1.6484
2006-08-31,"Indonesia",3.1972
