"date","country","factor_value"
2005-05-31,"India",11.5391
2005-06-30,"India",13.1275
2005-07-29,"India",11.2999
2005-08-31,"India",9.5765
2005-09-30,"India",9.9377
2005-10-31,"India",9.3197
2005-11-30,"India",10.386
2005-12-30,"India",10.9849
2006-01-31,"India",10.9574
2006-02-28,"India",11.4826
2006-02-28,"Malaysia",4.1765
2006-02-28,"Mexico",6.0812
2006-03-31,"Brazil",5.5013
2006-03-31,"India",11.096
2006-03-31,"Malaysia",5.2432
2006-03-31,"Mexico",6.1367
2006-03-31,"Philippines",5.2784
2006-03-31,"Poland",6.1491
2006-03-31,"South Africa",9.0888
2006-03-31,"Thailand",5.4208
2006-04-28,"Brazil",5.728
2006-04-28,"India",11.645
2006-04-28,"Indonesia",5.0155
2006-04-28,"Malaysia",5.3763
2006-04-28,"Mexico",6.4843
2006-04-28,"Philippines",5.4544
2006-04-28,"Poland",6.3885
2006-04-28,"South Africa",8.6048
2006-04-28,"South Korea",6.2238
2006-04-28,"Taiwan",5.5936
2006-04-28,"Thailand",5.9322
2006-04-28,"Turkey",5.4018
2006-05-31,"Brazil",5.6332
2006-05-31,"India",10.8917
2006-05-31,"Indonesia",4.3956
2006-05-31,"Malaysia",5.3408
2006-05-31,"Mexico",5.7984
2006-05-31,"Philippines",5.4871
2006-05-31,"Poland",5.5538
2006-05-31,"South Africa",8.5538
2006-05-31,"South Korea",5.8489
2006-05-31,"Taiwan",5.0921
2006-05-31,"Thailand",5.7492
2006-05-31,"Turkey",4.5014
2006-06-30,"Brazil",6.0873
2006-06-30,"India",11.3704
2006-06-30,"Indonesia",4.4468
2006-06-30,"Malaysia",5.2974
2006-06-30,"Mexico",5.8034
2006-06-30,"Philippines",4.5475
2006-06-30,"Poland",5.6286
2006-06-30,"South Africa",8.5756
2006-06-30,"South Korea",6.0812
2006-06-30,"Taiwan",4.9442
2006-06-30,"Thailand",5.6218
2006-06-30,"Turkey",4.4771
2006-07-31,"Brazil",5.8618
2006-07-31,"India",18.2486
2006-07-31,"Indonesia",4.7008
2006-07-31,"Malaysia",4.2142
2006-07-31,"Mexico",6.0696
2006-07-31,"Philippines",5.0997
2006-07-31,"Poland",6.0664
2006-07-31,"South Africa",8.5732
2006-07-31,"South Korea",6.123
2006-07-31,"Taiwan",4.7383
2006-07-31,"Thailand",5.7883
2006-07-31,"Turkey",4.578
2006-08-31,"Brazil",5.7231
2006-08-31,"India",19.1876
2006-08-31,"Indonesia",4.8113
2006-08-31,"Malaysia",5.2078
2006-08-31,"Mexico",6.1537
2006-08-31,"Philippines",5.0561
2006-08-31,"Poland",5.6301
2006-08-31,"South Africa",8.701
