"date","country","factor_value"
2005-02-28,"Mexico",13.5898
2005-03-31,"Mexico",12.254
2005-04-29,"Mexico",11.9721
2005-05-31,"Mexico",12.9032
2005-06-30,"Mexico",13.63
2005-07-29,"India",14.4204
2005-07-29,"Mexico",14.8938
2005-08-31,"India",14.9652
2005-08-31,"Mexico",14.6944
2005-09-30,"India",15.941
2005-09-30,"Mexico",16.6001
2005-10-31,"India",14.6462
2005-10-31,"Mexico",16.2153
2005-11-30,"India",16.3989
2005-11-30,"Mexico",17.5586
2005-11-30,"South Africa",13.9023
2005-12-30,"India",17.4351
2005-12-30,"Mexico",18.2813
2005-12-30,"South Africa",15.6652
2006-01-31,"India",16.7646
2006-01-31,"Malaysia",14.4615
2006-01-31,"Mexico",19.8012
2006-01-31,"South Africa",17.3921
2006-02-28,"India",17.3293
2006-02-28,"Malaysia",13.6778
2006-02-28,"Mexico",13.7701
2006-02-28,"South Africa",16.6991
2006-03-31,"Brazil",9.6867
2006-03-31,"Greece",15.9978
2006-03-31,"India",19.1949
2006-03-31,"Malaysia",13.9853
2006-03-31,"Mexico",13.702
2006-03-31,"Philippines",14.1746
2006-03-31,"Poland",13.7672
2006-03-31,"South Africa",15.5013
2006-03-31,"Thailand",10.1377
2006-04-28,"Brazil",10.1505
2006-04-28,"Greece",15.9998
2006-04-28,"India",21.8996
2006-04-28,"Indonesia",13.112
2006-04-28,"Malaysia",14.2663
2006-04-28,"Mexico",14.35
2006-04-28,"Philippines",14.2276
2006-04-28,"Poland",14.1165
2006-04-28,"South Africa",15.1295
2006-04-28,"South Korea",10.4931
2006-04-28,"Taiwan",12.5799
2006-04-28,"Thailand",10.6723
2006-04-28,"Turkey",11.7116
2006-05-31,"Brazil",9.5934
2006-05-31,"Greece",14.4413
2006-05-31,"India",17.2365
2006-05-31,"Indonesia",11.5343
2006-05-31,"Malaysia",13.9204
2006-05-31,"Mexico",12.5775
2006-05-31,"Philippines",14.26
2006-05-31,"Poland",11.8957
2006-05-31,"South Africa",14.2893
2006-05-31,"South Korea",9.4358
2006-05-31,"Taiwan",11.9408
2006-05-31,"Thailand",9.93
2006-05-31,"Turkey",9.7174
2006-06-30,"Brazil",10.5851
2006-06-30,"Greece",14.985
2006-06-30,"India",17.9147
2006-06-30,"Indonesia",11.6238
2006-06-30,"Malaysia",13.7837
2006-06-30,"Mexico",12.6514
2006-06-30,"Philippines",12.8802
2006-06-30,"Poland",12.0341
2006-06-30,"South Africa",14.6487
2006-06-30,"South Korea",9.6058
2006-06-30,"Taiwan",12.1179
2006-06-30,"Thailand",9.5629
2006-06-30,"Turkey",9.3172
2006-07-31,"Brazil",10.5456
2006-07-31,"Greece",15.0909
2006-07-31,"India",17.7829
2006-07-31,"Indonesia",12.1132
2006-07-31,"Malaysia",14.2013
