"date","country","factor_value"
2005-07-29,"India",20.7358
2005-08-31,"India",19.5018
2005-09-30,"India",20.1485
2005-10-31,"India",21.2889
2005-11-30,"India",19.9306
2005-11-30,"South Africa",21.6726
2005-12-30,"India",19.7481
2005-12-30,"South Africa",20.5994
2006-01-31,"India",21.6065
2006-01-31,"Malaysia",13.4144
2006-01-31,"South Africa",19.4584
2006-02-28,"Greece",14.2635
2006-02-28,"India",21.4651
2006-02-28,"Malaysia",13.0405
2006-02-28,"Mexico",21.0607
2006-02-28,"Poland",19.2042
2006-02-28,"South Africa",20.5617
2006-02-28,"Thailand",19.9168
2006-03-31,"Brazil",16.6893
2006-03-31,"Greece",19.5694
2006-03-31,"India",21.0219
2006-03-31,"Indonesia",18.8919
2006-03-31,"Malaysia",12.9206
2006-03-31,"Mexico",20.7875
2006-03-31,"Philippines",12.8974
2006-03-31,"Poland",16.9013
2006-03-31,"South Africa",21.2724
2006-03-31,"Thailand",19.6219
2006-03-31,"Turkey",12.7586
2006-04-28,"Brazil",15.6464
2006-04-28,"Greece",19.4635
2006-04-28,"India",19.3775
2006-04-28,"Indonesia",23.6622
2006-04-28,"Malaysia",12.8787
2006-04-28,"Mexico",20.5196
2006-04-28,"Philippines",13.445
2006-04-28,"Poland",17.0291
2006-04-28,"South Africa",21.2992
2006-04-28,"South Korea",13.5262
2006-04-28,"Taiwan",14.472
2006-04-28,"Thailand",19.5663
2006-04-28,"Turkey",14.3008
2006-05-31,"Brazil",18.0706
2006-05-31,"Greece",19.6573
2006-05-31,"India",20.718
2006-05-31,"Indonesia",24.1117
2006-05-31,"Malaysia",12.8618
2006-05-31,"Mexico",20.3195
2006-05-31,"Philippines",13.4817
2006-05-31,"Poland",17.2778
2006-05-31,"South Africa",20.51
2006-05-31,"South Korea",13.7291
2006-05-31,"Taiwan",14.4224
2006-05-31,"Thailand",19.9849
2006-05-31,"Turkey",15.5221
2006-06-30,"Brazil",17.2065
2006-06-30,"Greece",18.7988
2006-06-30,"India",20.2544
2006-06-30,"Indonesia",24.0547
2006-06-30,"Malaysia",12.7832
2006-06-30,"Mexico",20.9098
2006-06-30,"Philippines",13.6011
2006-06-30,"Poland",16.4445
2006-06-30,"South Africa",20.8699
2006-06-30,"South Korea",13.3559
2006-06-30,"Taiwan",13.9964
2006-06-30,"Thailand",19.5852
2006-06-30,"Turkey",14.9688
2006-07-31,"Brazil",12.1832
2006-07-31,"Greece",18.6152
2006-07-31,"India",20.0464
2006-07-31,"Indonesia",23.6761
2006-07-31,"Malaysia",12.7487
2006-07-31,"Mexico",20.8773
2006-07-31,"Philippines",13.5989
2006-07-31,"Poland",16.5233
2006-07-31,"South Africa",20.7916
2006-07-31,"South Korea",13.4116
2006-07-31,"Taiwan",13.3819
2006-07-31,"Thailand",19.4281
2006-07-31,"Turkey",14.7433
2006-08-31,"Brazil",12.0637
2006-08-31,"Greece",18.825
2006-08-31,"India",20.1996
2006-08-31,"Indonesia",23.644
2006-08-31,"Malaysia",13.9064
2006-08-31,"Mexico",20.8316
2006-08-31,"Philippines",13.6607
2006-08-31,"Poland",17.2316
2006-08-31,"South Africa",20.9211
2006-08-31,"South Korea",13.3533
2006-08-31,"Taiwan",12.7566
2006-08-31,"Thailand",19.4113
2006-08-31,"Turkey",14.2493
2006-09-29,"Brazil",19.789
2006-09-29,"Greece",18.6665
2006-09-29,"India",19.742
2006-09-29,"Indonesia",24.4906
2006-09-29,"Malaysia",13.8181
2006-09-29,"Mexico",20.8819
2006-09-29,"Philippines",13.5607
2006-09-29,"Poland",16.9308
2006-09-29,"South Africa",20.5549
2006-09-29,"South Korea",12.9512
2006-09-29,"Taiwan",13.3343
2006-09-29,"Thailand",19.4149
2006-09-29,"Turkey",14.4923
2006-10-31,"Brazil",19.28
2006-10-31,"Greece",18.5033
2006-10-31,"India",20.1292
2006-10-31,"Indonesia",24.2831
2006-10-31,"Malaysia",13.8224
2006-10-31,"Mexico",21.0201
2006-10-31,"Philippines",13.6253
2006-10-31,"Poland",16.8393
2006-10-31,"South Africa",20.1782
2006-10-31,"South Korea",13.0231
2006-10-31,"Taiwan",13.2703
2006-10-31,"Thailand",19.4098
2006-10-31,"Turkey",14.2444
2006-11-30,"Brazil",19.2177
2006-11-30,"Greece",19.1152
2006-11-30,"India",20.5875
2006-11-30,"Indonesia",24.8925
2006-11-30,"Malaysia",13.5403
2006-11-30,"Mexico",21.072
2006-11-30,"Philippines",13.5766
2006-11-30,"Poland",16.9861
2006-11-30,"South Africa",20.2671
2006-11-30,"South Korea",13.1272
2006-11-30,"Taiwan",13.2008
2006-11-30,"Thailand",19.7174
2006-11-30,"Turkey",14.3979
2006-12-29,"Brazil",17.4873
2006-12-29,"Greece",19.2751
2006-12-29,"India",20.5835
2006-12-29,"Indonesia",25.0485
2006-12-29,"Malaysia",13.586
2006-12-29,"Mexico",20.1982
2006-12-29,"Philippines",14.0203
2006-12-29,"Poland",16.9739
2006-12-29,"South Africa",22.1782
2006-12-29,"South Korea",12.6508
2006-12-29,"Taiwan",12.9201
2006-12-29,"Thailand",18.9226
2006-12-29,"Turkey",14.5613
2007-01-31,"Brazil",23.7679
2007-01-31,"Greece",19.0512
2007-01-31,"India",20.1283
2007-01-31,"Indonesia",25.1902
2007-01-31,"Malaysia",13.7754
2007-01-31,"Mexico",20.5111
2007-01-31,"Philippines",14.5462
2007-01-31,"Poland",16.9758
2007-01-31,"South Africa",21.8706
2007-01-31,"South Korea",12.4818
2007-01-31,"Taiwan",12.861
2007-01-31,"Thailand",18.8234
2007-01-31,"Turkey",15.2739
2007-02-28,"Brazil",23.8442
2007-02-28,"Greece",17.7561
2007-02-28,"India",20.6699
2007-02-28,"Indonesia",25.0968
2007-02-28,"Malaysia",13.6317
