"date","country","factor_value"
2000-12-29,"Brazil",-0.265424487274445
2000-12-29,"Greece",-0.440339655932951
2000-12-29,"India",-0.493022854220492
2000-12-29,"Indonesia",-0.611798360909231
2000-12-29,"Malaysia",-0.342851053804016
2000-12-29,"Mexico",-0.311702216337405
2000-12-29,"Philippines",-0.470944628056515
2000-12-29,"Poland",-0.405654395531858
2000-12-29,"South Africa",-0.321806360779653
2000-12-29,"South Korea",-0.510603815521393
2000-12-29,"Taiwan",-0.541878932580564
2000-12-29,"Thailand",-0.55845934297205
2000-12-29,"Turkey",-0.646123636486579
2001-01-31,"Brazil",-0.265424487274445
2001-01-31,"Greece",-0.476400529333922
2001-01-31,"India",-0.493022854220492
2001-01-31,"Indonesia",-0.626565640946343
2001-01-31,"Malaysia",-0.372021651218326
2001-01-31,"Mexico",-0.324722040982612
2001-01-31,"Philippines",-0.476609925062292
2001-01-31,"Poland",-0.405654395531858
2001-01-31,"South Africa",-0.321806360779653
2001-01-31,"South Korea",-0.510603815521393
2001-01-31,"Taiwan",-0.541878932580564
2001-01-31,"Thailand",-0.55845934297205
2001-01-31,"Turkey",-0.646123636486579
2001-02-27,"Taiwan",-0.541878932580564
2001-02-28,"Brazil",-0.265424487274445
2001-02-28,"Greece",-0.476400529333922
2001-02-28,"India",-0.493022854220492
2001-02-28,"Indonesia",-0.626565640946343
2001-02-28,"Malaysia",-0.372021651218326
2001-02-28,"Mexico",-0.324722040982612
2001-02-28,"Philippines",-0.476609925062292
2001-02-28,"Poland",-0.405654395531858
2001-02-28,"South Africa",-0.321806360779653
2001-02-28,"South Korea",-0.510603815521393
2001-02-28,"Thailand",-0.55845934297205
2001-02-28,"Turkey",-0.741976337517422
2001-03-30,"Brazil",-0.284730240448592
2001-03-30,"Greece",-0.476400529333922
2001-03-30,"India",-0.541094425589288
2001-03-30,"Indonesia",-0.666228544920365
2001-03-30,"Malaysia",-0.372021651218326
2001-03-30,"Mexico",-0.324722040982612
2001-03-30,"Philippines",-0.476609925062292
2001-03-30,"Poland",-0.405654395531858
2001-03-30,"South Africa",-0.321806360779653
2001-03-30,"South Korea",-0.510603815521393
2001-03-30,"Taiwan",-0.541878932580564
2001-03-30,"Thailand",-0.55845934297205
2001-03-30,"Turkey",-0.761050580271113
2001-04-30,"Brazil",-0.333415529717717
2001-04-30,"Greece",-0.479819144243494
2001-04-30,"India",-0.584354721943638
2001-04-30,"Indonesia",-0.72004020411319
2001-04-30,"Malaysia",-0.446652266206403
2001-04-30,"Mexico",-0.324722040982612
2001-04-30,"Philippines",-0.476609925062292
2001-04-30,"Poland",-0.405654395531858
2001-04-30,"South Africa",-0.299482470650585
2001-04-30,"South Korea",-0.534450824226709
2001-04-30,"Taiwan",-0.541878932580564
2001-04-30,"Thailand",-0.55845934297205
2001-04-30,"Turkey",-0.784484243571377
2001-05-31,"Brazil",-0.333415529717717
2001-05-31,"Greece",-0.479819144243494
2001-05-31,"India",-0.584354721943638
2001-05-31,"Indonesia",-0.72004020411319
2001-05-31,"Malaysia",-0.446652266206403
2001-05-31,"Mexico",-0.324722040982612
2001-05-31,"Philippines",-0.476609925062292
2001-05-31,"Poland",-0.405654395531858
2001-05-31,"South Africa",-0.299482470650585
2001-05-31,"South Korea",-0.534450824226709
2001-05-31,"Taiwan",-0.541878932580564
2001-05-31,"Thailand",-0.55845934297205
2001-05-31,"Turkey",-0.784484243571377
2001-06-29,"Brazil",-0.333415529717717
2001-06-29,"Greece",-0.553209086898985
2001-06-29,"India",-0.584354721943638
2001-06-29,"Indonesia",-0.72004020411319
2001-06-29,"Malaysia",-0.446652266206403
2001-06-29,"Mexico",-0.324722040982612
2001-06-29,"Philippines",-0.476609925062292
2001-06-29,"Poland",-0.405654395531858
2001-06-29,"South Africa",-0.299482470650585
2001-06-29,"South Korea",-0.534450824226709
2001-06-29,"Taiwan",-0.541878932580564
2001-06-29,"Thailand",-0.55845934297205
2001-06-29,"Turkey",-0.784484243571377
2001-07-31,"Brazil",-0.377951147754852
2001-07-31,"Greece",-0.616949713277459
2001-07-31,"India",-0.584354721943638
2001-07-31,"Indonesia",-0.72004020411319
2001-07-31,"Malaysia",-0.446652266206403
2001-07-31,"Mexico",-0.324722040982612
2001-07-31,"Philippines",-0.476609925062292
2001-07-31,"Poland",-0.48370304307177
2001-07-31,"South Africa",-0.299482470650585
2001-07-31,"South Korea",-0.534450824226709
2001-07-31,"Taiwan",-0.593618171984857
2001-07-31,"Thailand",-0.55845934297205
2001-07-31,"Turkey",-0.788179180619214
2001-08-31,"Brazil",-0.423820473603031
2001-08-31,"Greece",-0.616949713277459
2001-08-31,"India",-0.584354721943638
2001-08-31,"Indonesia",-0.72004020411319
2001-08-31,"Malaysia",-0.446652266206403
2001-08-31,"Mexico",-0.324722040982612
2001-08-31,"Philippines",-0.479045283272671
2001-08-31,"Poland",-0.558267323945095
2001-08-31,"South Africa",-0.299482470650585
2001-08-31,"South Korea",-0.534450824226709
2001-08-31,"Taiwan",-0.593618171984857
2001-08-31,"Thailand",-0.55845934297205
2001-08-31,"Turkey",-0.793539992699412
2001-09-28,"Brazil",-0.553056605162874
2001-09-28,"Greece",-0.650088222320247
2001-09-28,"India",-0.662794976189369
2001-09-28,"Indonesia",-0.72004020411319
2001-09-28,"Malaysia",-0.446652266206403
2001-09-28,"Mexico",-0.353881372264501
2001-09-28,"Philippines",-0.518800902818728
2001-09-28,"Poland",-0.57681470885164
2001-09-28,"South Africa",-0.412331170604012
2001-09-28,"South Korea",-0.536441933691424
2001-09-28,"Taiwan",-0.673010460499413
2001-09-28,"Thailand",-0.559266573450766
2001-09-28,"Turkey",-0.842047711734206
2001-10-31,"Brazil",-0.555396418715849
2001-10-31,"Greece",-0.650088222320247
2001-10-31,"India",-0.662794976189369
2001-10-31,"Indonesia",-0.72004020411319
2001-10-31,"Malaysia",-0.446652266206403
2001-10-31,"Mexico",-0.353881372264501
2001-10-31,"Philippines",-0.596672928420489
2001-10-31,"Poland",-0.57681470885164
2001-10-31,"South Africa",-0.412331170604012
2001-10-31,"South Korea",-0.536441933691424
2001-10-31,"Taiwan",-0.67497262857972
2001-10-31,"Thailand",-0.569947962463783
2001-10-31,"Turkey",-0.847247308178254
2001-11-30,"Brazil",-0.555396418715849
2001-11-30,"Greece",-0.650088222320247
2001-11-30,"India",-0.662794976189369
2001-11-30,"Indonesia",-0.72004020411319
2001-11-30,"Malaysia",-0.446652266206403
2001-11-30,"Mexico",-0.353881372264501
2001-11-30,"Philippines",-0.596672928420489
2001-11-30,"Poland",-0.57681470885164
2001-11-30,"South Africa",-0.412331170604012
2001-11-30,"South Korea",-0.536441933691424
2001-11-30,"Taiwan",-0.67497262857972
2001-11-30,"Thailand",-0.583690700993182
2001-11-30,"Turkey",-0.847247308178254
2001-12-31,"Brazil",-0.555396418715849
2001-12-31,"Greece",-0.650088222320247
2001-12-31,"India",-0.662794976189369
2001-12-31,"Indonesia",-0.72004020411319
2001-12-31,"Malaysia",-0.446652266206403
2001-12-31,"Mexico",-0.353881372264501
2001-12-31,"Philippines",-0.596672928420489
2001-12-31,"Poland",-0.57681470885164
2001-12-31,"South Africa",-0.412331170604012
2001-12-31,"South Korea",-0.536441933691424
2001-12-31,"Taiwan",-0.67497262857972
2001-12-31,"Thailand",-0.583690700993182
2001-12-31,"Turkey",-0.847247308178254
2002-01-31,"Brazil",-0.555396418715849
2002-01-31,"Greece",-0.650088222320247
2002-01-31,"India",-0.662794976189369
2002-01-31,"Indonesia",-0.72004020411319
2002-01-31,"Malaysia",-0.446652266206403
2002-01-31,"Mexico",-0.353881372264501
2002-01-31,"Philippines",-0.596672928420489
2002-01-31,"Poland",-0.57681470885164
2002-01-31,"South Africa",-0.412331170604012
2002-01-31,"South Korea",-0.536441933691424
2002-01-31,"Taiwan",-0.67497262857972
2002-01-31,"Thailand",-0.583690700993182
2002-01-31,"Turkey",-0.847247308178254
2002-02-28,"Brazil",-0.555396418715849
2002-02-28,"Greece",-0.650088222320247
2002-02-28,"India",-0.662794976189369
2002-02-28,"Indonesia",-0.72004020411319
2002-02-28,"Malaysia",-0.446652266206403
2002-02-28,"Mexico",-0.353881372264501
2002-02-28,"Philippines",-0.596672928420489
2002-02-28,"Poland",-0.57681470885164
2002-02-28,"South Africa",-0.412331170604012
2002-02-28,"South Korea",-0.536441933691424
2002-02-28,"Taiwan",-0.67497262857972
2002-02-28,"Thailand",-0.583690700993182
2002-02-28,"Turkey",-0.847247308178254
2002-03-29,"Brazil",-0.555396418715849
2002-03-29,"Greece",-0.650088222320247
2002-03-29,"India",-0.662794976189369
2002-03-29,"Indonesia",-0.72004020411319
2002-03-29,"Malaysia",-0.446652266206403
2002-03-29,"Mexico",-0.353881372264501
2002-03-29,"Philippines",-0.596672928420489
2002-03-29,"Poland",-0.57681470885164
2002-03-29,"South Africa",-0.412331170604012
2002-03-29,"South Korea",-0.536441933691424
2002-03-29,"Taiwan",-0.67497262857972
2002-03-29,"Thailand",-0.583690700993182
2002-03-29,"Turkey",-0.847247308178254
2002-04-30,"Brazil",-0.555396418715849
2002-04-30,"Greece",-0.659682399647111
2002-04-30,"India",-0.662794976189369
2002-04-30,"Indonesia",-0.684706973867326
2002-04-30,"Malaysia",-0.431601833015524
2002-04-30,"Mexico",-0.353881372264501
2002-04-30,"Philippines",-0.596672928420489
2002-04-30,"Poland",-0.57681470885164
2002-04-30,"South Africa",-0.412331170604012
2002-04-30,"South Korea",-0.536441933691424
2002-04-30,"Taiwan",-0.67497262857972
2002-04-30,"Thailand",-0.583690700993182
2002-04-30,"Turkey",-0.847247308178254
2002-05-31,"Brazil",-0.555396418715849
2002-05-31,"Greece",-0.659682399647111
2002-05-31,"India",-0.662794976189369
2002-05-31,"Indonesia",-0.673186949126334
2002-05-31,"Malaysia",-0.403846017662191
2002-05-31,"Mexico",-0.353881372264501
2002-05-31,"Philippines",-0.596672928420489
2002-05-31,"Poland",-0.57681470885164
2002-05-31,"South Africa",-0.412331170604012
2002-05-31,"South Korea",-0.536441933691424
2002-05-31,"Taiwan",-0.67497262857972
2002-05-31,"Thailand",-0.583690700993182
2002-05-31,"Turkey",-0.847247308178254
2002-06-28,"Brazil",-0.571626208817723
2002-06-28,"Greece",-0.659682399647111
2002-06-28,"India",-0.662794976189369
2002-06-28,"Indonesia",-0.673186949126334
2002-06-28,"Malaysia",-0.403846017662191
2002-06-28,"Mexico",-0.353881372264501
2002-06-28,"Philippines",-0.596672928420489
2002-06-28,"Poland",-0.57681470885164
2002-06-28,"South Africa",-0.412331170604012
2002-06-28,"South Korea",-0.536441933691424
2002-06-28,"Taiwan",-0.67497262857972
2002-06-28,"Thailand",-0.583690700993182
2002-06-28,"Turkey",-0.850350773725677
2002-07-31,"Brazil",-0.675666378025793
2002-07-31,"Greece",-0.690670489633877
2002-07-31,"India",-0.662794976189369
2002-07-31,"Indonesia",-0.673186949126334
2002-07-31,"Malaysia",-0.403846017662191
2002-07-31,"Mexico",-0.357822487113618
2002-07-31,"Philippines",-0.607528025389039
2002-07-31,"Poland",-0.585113772486894
2002-07-31,"South Africa",-0.412331170604012
2002-07-31,"South Korea",-0.536441933691424
2002-07-31,"Taiwan",-0.67497262857972
2002-07-31,"Thailand",-0.583690700993182
2002-07-31,"Turkey",-0.850350773725677
2002-08-30,"Brazil",-0.675666378025793
2002-08-30,"Greece",-0.690670489633877
2002-08-30,"India",-0.662794976189369
2002-08-30,"Indonesia",-0.673186949126334
2002-08-30,"Malaysia",-0.403846017662191
2002-08-30,"Mexico",-0.399148763031159
2002-08-30,"Philippines",-0.627150881155458
2002-08-30,"Poland",-0.589298514362846
2002-08-30,"South Africa",-0.450037963751086
2002-08-30,"South Korea",-0.536441933691424
2002-08-30,"Taiwan",-0.67497262857972
2002-08-30,"Thailand",-0.583690700993182
2002-08-30,"Turkey",-0.850350773725677
2002-09-30,"Brazil",-0.72481993487727
2002-09-30,"Greece",-0.723478164975739
2002-09-30,"India",-0.646939819211891
2002-09-30,"Indonesia",-0.673186949126334
2002-09-30,"Malaysia",-0.403846017662191
2002-09-30,"Mexico",-0.403693183442484
2002-09-30,"Philippines",-0.627150881155458
2002-09-30,"Poland",-0.589298514362846
2002-09-30,"South Africa",-0.450037963751086
2002-09-30,"South Korea",-0.533663641415077
2002-09-30,"Taiwan",-0.67497262857972
2002-09-30,"Thailand",-0.583690700993182
2002-09-30,"Turkey",-0.851820145323966
2002-10-30,"Philippines",-0.666784498170744
2002-10-31,"Brazil",-0.726369069316926
2002-10-31,"Greece",-0.742501102779003
2002-10-31,"India",-0.653311902658688
2002-10-31,"Indonesia",-0.687876913561157
2002-10-31,"Malaysia",-0.400221117115131
2002-10-31,"Mexico",-0.403693183442484
2002-10-31,"Poland",-0.589298514362846
2002-10-31,"South Africa",-0.450037963751086
2002-10-31,"South Korea",-0.438599740692721
2002-10-31,"Taiwan",-0.690464852458151
2002-10-31,"Thailand",-0.583690700993182
2002-10-31,"Turkey",-0.851820145323966
2002-11-29,"Brazil",-0.726369069316926
2002-11-29,"Greece",-0.742501102779003
2002-11-29,"India",-0.653311902658688
2002-11-29,"Indonesia",-0.687876913561157
2002-11-29,"Malaysia",-0.400221117115131
2002-11-29,"Mexico",-0.404142724234518
2002-11-29,"Philippines",-0.68337449615301
2002-11-29,"Poland",-0.589298514362846
2002-11-29,"South Africa",-0.450037963751086
2002-11-29,"South Korea",-0.41231237763759
2002-11-29,"Taiwan",-0.690464852458151
2002-11-29,"Thailand",-0.529577429259222
2002-11-29,"Turkey",-0.851820145323966
2002-12-27,"Philippines",-0.706245278267439
2002-12-27,"Thailand",-0.529577429259222
2002-12-30,"South Korea",-0.41231237763759
2002-12-31,"Brazil",-0.726369069316926
2002-12-31,"Greece",-0.742501102779003
2002-12-31,"India",-0.653311902658688
2002-12-31,"Indonesia",-0.687876913561157
2002-12-31,"Malaysia",-0.415014125810337
2002-12-31,"Mexico",-0.404142724234518
2002-12-31,"Poland",-0.589298514362846
2002-12-31,"South Africa",-0.450037963751086
2002-12-31,"Taiwan",-0.690464852458151
2002-12-31,"Turkey",-0.851820145323966
2003-01-28,"Taiwan",-0.690464852458151
2003-01-30,"Malaysia",-0.430091928297038
2003-01-30,"South Korea",-0.41231237763759
2003-01-31,"Brazil",-0.726369069316926
2003-01-31,"Greece",-0.754962505513895
2003-01-31,"India",-0.653311902658688
2003-01-31,"Indonesia",-0.687876913561157
2003-01-31,"Mexico",-0.457639044464242
2003-01-31,"Philippines",-0.709306290481769
2003-01-31,"Poland",-0.589298514362846
2003-01-31,"South Africa",-0.450037963751086
2003-01-31,"Thailand",-0.529577429259222
2003-01-31,"Turkey",-0.851820145323966
2003-02-27,"Taiwan",-0.690464852458151
2003-02-28,"Brazil",-0.726369069316926
2003-02-28,"Greece",-0.763012792236436
2003-02-28,"India",-0.653311902658688
2003-02-28,"Indonesia",-0.687876913561157
2003-02-28,"Malaysia",-0.430091928297038
2003-02-28,"Mexico",-0.476646218136757
2003-02-28,"Philippines",-0.727404114613557
2003-02-28,"Poland",-0.589298514362846
2003-02-28,"South Africa",-0.450037963751086
2003-02-28,"South Korea",-0.441722862736567
2003-02-28,"Thailand",-0.529577429259222
2003-02-28,"Turkey",-0.851820145323966
2003-03-31,"Brazil",-0.726369069316926
2003-03-31,"Greece",-0.789314071460079
2003-03-31,"India",-0.660057251781646
2003-03-31,"Indonesia",-0.687876913561157
2003-03-31,"Malaysia",-0.464793324494773
2003-03-31,"Mexico",-0.485138702608209
2003-03-31,"Philippines",-0.739676317901056
2003-03-31,"Poland",-0.598163999696984
2003-03-31,"South Africa",-0.450037963751086
2003-03-31,"South Korea",-0.499543180335001
2003-03-31,"Taiwan",-0.690464852458151
2003-03-31,"Thailand",-0.529577429259222
2003-03-31,"Turkey",-0.871180186924239
2003-04-30,"Brazil",-0.726369069316926
2003-04-30,"Greece",-0.789314071460079
2003-04-30,"India",-0.683173156751659
2003-04-30,"Indonesia",-0.687876913561157
2003-04-30,"Malaysia",-0.464793324494773
2003-04-30,"Mexico",-0.485138702608209
2003-04-30,"Philippines",-0.739676317901056
2003-04-30,"Poland",-0.598163999696984
2003-04-30,"South Africa",-0.450037963751086
2003-04-30,"South Korea",-0.499543180335001
2003-04-30,"Taiwan",-0.695622551412101
2003-04-30,"Thailand",-0.529577429259222
2003-04-30,"Turkey",-0.871180186924239
2003-05-30,"Brazil",-0.726369069316926
2003-05-30,"Greece",-0.789314071460079
2003-05-30,"India",-0.694429574331011
2003-05-30,"Indonesia",-0.687876913561157
2003-05-30,"Malaysia",-0.483850488618488
2003-05-30,"Mexico",-0.485138702608209
2003-05-30,"Philippines",-0.739676317901056
2003-05-30,"Poland",-0.598163999696984
2003-05-30,"South Africa",-0.450037963751086
2003-05-30,"South Korea",-0.499543180335001
2003-05-30,"Taiwan",-0.703624239865979
2003-05-30,"Thailand",-0.529577429259222
2003-05-30,"Turkey",-0.871180186924239
2003-06-30,"Brazil",-0.726369069316926
2003-06-30,"Greece",-0.789314071460079
