"date","country","factor_value"
2001-01-31,"Brazil",-0.0601032467661394
2001-01-31,"Greece",-0.329414738971053
2001-01-31,"India",-0.278765064635677
2001-01-31,"Indonesia",-0.562897188125707
2001-01-31,"Malaysia",-0.254706633655328
2001-01-31,"Mexico",-0.0966114862426899
2001-01-31,"Philippines",-0.379658534609799
2001-01-31,"Poland",-0.0471225074706507
2001-01-31,"South Africa",-0.145559825902309
2001-01-31,"South Korea",-0.491385948026949
2001-01-31,"Taiwan",-0.514252572380697
2001-01-31,"Thailand",-0.538417050090516
2001-01-31,"Turkey",-0.467475543763256
2001-02-27,"Taiwan",-0.34093630331633
2001-02-28,"Brazil",0.0131041095914946
2001-02-28,"Greece",-0.377184466019417
2001-02-28,"India",-0.333675849683377
2001-02-28,"Indonesia",-0.465642298148502
2001-02-28,"Malaysia",-0.247406437866098
2001-02-28,"Mexico",-0.0807685099839526
2001-02-28,"Philippines",-0.120178829336694
2001-02-28,"Poland",-0.178373240345842
2001-02-28,"South Africa",-0.0655794975305796
2001-02-28,"South Korea",-0.239845801441421
2001-02-28,"Thailand",-0.214414704019212
2001-02-28,"Turkey",-0.354010032203722
2001-03-30,"Brazil",-0.12522714712253
2001-03-30,"Greece",-0.367691419036005
2001-03-30,"India",-0.285910966781679
2001-03-30,"Indonesia",-0.468833396873809
2001-03-30,"Malaysia",-0.259191737480151
2001-03-30,"Mexico",-0.167297552605209
2001-03-30,"Philippines",-0.156102158341113
2001-03-30,"Poland",-0.274715617121229
2001-03-30,"South Africa",-0.0068595718862644
2001-03-30,"South Korea",-0.370138888888889
2001-03-30,"Taiwan",-0.406760692364929
2001-03-30,"Thailand",-0.314985847561974
2001-03-30,"Turkey",-0.595074680850019
2001-04-30,"Brazil",-0.115408475331824
2001-04-30,"Greece",-0.295108259823577
2001-04-30,"India",-0.301961896621444
2001-04-30,"Indonesia",-0.50355276907001
2001-04-30,"Malaysia",-0.269826989425419
2001-04-30,"Mexico",-0.0998192994083926
2001-04-30,"Philippines",-0.204301443448889
2001-04-30,"Poland",-0.209601306497564
2001-04-30,"South Africa",-0.0766475391715066
2001-04-30,"South Korea",-0.394264086571779
2001-04-30,"Taiwan",-0.348462931568198
2001-04-30,"Thailand",-0.396651145512976
2001-04-30,"Turkey",-0.732844098428949
2001-05-31,"Brazil",-0.0477370667366609
2001-05-31,"Greece",-0.297932330827068
2001-05-31,"India",-0.210133038883475
2001-05-31,"Indonesia",-0.422582529944493
2001-05-31,"Malaysia",-0.352613069788592
2001-05-31,"Mexico",0.121181449413719
2001-05-31,"Philippines",-0.134736241697601
2001-05-31,"Poland",-0.151392756480904
2001-05-31,"South Africa",0.0821919582091748
2001-05-31,"South Korea",-0.285650747762273
2001-05-31,"Taiwan",-0.395033367266969
2001-05-31,"Thailand",-0.209364527844357
2001-05-31,"Turkey",-0.54892155367531
2001-06-29,"Brazil",-0.140289046002597
2001-06-29,"Greece",-0.271876179690449
2001-06-29,"India",-0.203400629238853
2001-06-29,"Indonesia",-0.319251336898396
2001-06-29,"Malaysia",-0.245333837536338
2001-06-29,"Mexico",0.153795576510943
2001-06-29,"Philippines",-0.0646379577772206
2001-06-29,"Poland",-0.0845613314727264
2001-06-29,"South Africa",0.157816338522751
2001-06-29,"South Korea",-0.276359102244389
2001-06-29,"Taiwan",-0.349033746569752
2001-06-29,"Thailand",-0.180799065948137
2001-06-29,"Turkey",-0.523806367802141
2001-07-31,"Brazil",-0.173214999631363
2001-07-31,"Greece",-0.356227106227106
2001-07-31,"India",-0.180592943094217
2001-07-31,"Indonesia",-0.259763724808895
2001-07-31,"Malaysia",-0.203827614815965
2001-07-31,"Mexico",0.161308203265664
2001-07-31,"Philippines",0.048338571272589
2001-07-31,"Poland",-0.195433833373243
2001-07-31,"South Africa",0.103230230463255
2001-07-31,"South Korea",-0.211902562918495
2001-07-31,"Taiwan",-0.374045709645374
2001-07-31,"Thailand",0.0460708246808481
2001-07-31,"Turkey",-0.533897685059407
2001-08-31,"Brazil",-0.308155191126957
2001-08-31,"Greece",-0.287917065946511
2001-08-31,"India",-0.30034157971816
2001-08-31,"Indonesia",-0.181579293128367
2001-08-31,"Malaysia",-0.160737143558826
2001-08-31,"Mexico",-0.000391614330634393
2001-08-31,"Philippines",-0.139063761566477
2001-08-31,"Poland",-0.311867824140527
2001-08-31,"South Africa",-0.182837292428543
2001-08-31,"South Korea",-0.302615122228539
2001-08-31,"Taiwan",-0.44970278341797
2001-08-31,"Thailand",-0.236279642213285
2001-08-31,"Turkey",-0.598157515019031
2001-09-28,"Brazil",-0.354594304899914
2001-09-28,"Greece",-0.368947488065469
2001-09-28,"India",-0.262643458522971
2001-09-28,"Indonesia",-0.0505387767491273
2001-09-28,"Malaysia",-0.0414629699907952
2001-09-28,"Mexico",0.00489928114995042
