"date","country","factor_value"
2005-01-31,"Brazil",3.4326
2005-01-31,"Greece",2.5068
2005-01-31,"India",3.9637
2005-01-31,"Indonesia",3.1668
2005-01-31,"Malaysia",2.02
2005-01-31,"Mexico",2.8528
2005-01-31,"Philippines",2.0488
2005-01-31,"Poland",1.8725
2005-01-31,"South Africa",2.197
2005-01-31,"South Korea",1.5114
2005-01-31,"Taiwan",2.1192
2005-01-31,"Thailand",2.6201
2005-01-31,"Turkey",1.6734
2005-02-28,"Brazil",4.0297
2005-02-28,"Greece",2.8902
2005-02-28,"India",4.0668
2005-02-28,"Indonesia",3.2236
2005-02-28,"Malaysia",1.9762
2005-02-28,"Mexico",2.6336
2005-02-28,"Philippines",2.1094
2005-02-28,"Poland",2.1088
2005-02-28,"South Africa",2.3147
2005-02-28,"South Korea",1.6244
2005-02-28,"Taiwan",2.1918
2005-02-28,"Thailand",2.6283
2005-02-28,"Turkey",1.7347
2005-03-31,"Brazil",3.0853
2005-03-31,"Greece",2.5239
2005-03-31,"India",3.938
2005-03-31,"Indonesia",3.266
2005-03-31,"Malaysia",1.8717
2005-03-31,"Mexico",2.3747
2005-03-31,"Philippines",1.9685
2005-03-31,"Poland",2.1969
2005-03-31,"South Africa",2.2473
2005-03-31,"South Korea",1.5456
2005-03-31,"Taiwan",2.0907
2005-03-31,"Thailand",2.3757
2005-03-31,"Turkey",1.5483
2005-04-29,"Brazil",2.924
2005-04-29,"Greece",2.5074
2005-04-29,"India",3.2676
2005-04-29,"Indonesia",2.6543
2005-04-29,"Malaysia",1.8983
2005-04-29,"Mexico",0.6792
2005-04-29,"Philippines",1.8471
2005-04-29,"Poland",1.9451
2005-04-29,"South Africa",2.3242
2005-04-29,"South Korea",1.306
2005-04-29,"Taiwan",1.8974
2005-04-29,"Thailand",2.2973
2005-04-29,"Turkey",1.2247
2005-05-31,"Brazil",2.9352
2005-05-31,"Greece",2.6119
2005-05-31,"India",3.6903
2005-05-31,"Indonesia",3.0133
2005-05-31,"Malaysia",1.7979
2005-05-31,"Mexico",0.732
2005-05-31,"Philippines",1.8948
2005-05-31,"Poland",1.9389
2005-05-31,"South Africa",2.4547
2005-05-31,"South Korea",1.3614
2005-05-31,"Taiwan",1.9651
2005-05-31,"Thailand",2.2095
2005-05-31,"Turkey",1.2973
2005-06-30,"Brazil",3.0467
2005-06-30,"Greece",2.5827
2005-06-30,"India",3.7639
2005-06-30,"Indonesia",3.1421
2005-06-30,"Malaysia",1.8595
2005-06-30,"Mexico",0.7732
2005-06-30,"Philippines",1.8859
2005-06-30,"Poland",2.0518
2005-06-30,"South Africa",2.6166
2005-06-30,"South Korea",1.3992
2005-06-30,"Taiwan",2.0266
2005-06-30,"Thailand",2.241
2005-06-30,"Turkey",1.3812
2005-07-29,"Brazil",3.1476
2005-07-29,"Greece",2.7491
2005-07-29,"India",3.9636
2005-07-29,"Indonesia",3.3541
2005-07-29,"Malaysia",1.9366
2005-07-29,"Mexico",0.842
2005-07-29,"Philippines",1.9096
2005-07-29,"Poland",2.1865
2005-07-29,"South Africa",2.6681
2005-07-29,"South Korea",1.5556
2005-07-29,"Taiwan",2.0254
2005-07-29,"Thailand",2.2942
2005-07-29,"Turkey",1.5242
2005-08-31,"Brazil",2.7849
2005-08-31,"Greece",2.8579
2005-08-31,"India",4.0281
2005-08-31,"Indonesia",2.8357
2005-08-31,"Malaysia",1.9082
2005-08-31,"Mexico",0.8307
2005-08-31,"Philippines",1.903
2005-08-31,"Poland",2.1763
2005-08-31,"South Africa",2.7485
2005-08-31,"South Korea",1.524
2005-08-31,"Taiwan",1.9793
2005-08-31,"Thailand",2.3433
2005-08-31,"Turkey",1.59
2005-09-30,"Brazil",3.309
2005-09-30,"Greece",2.9756
2005-09-30,"India",4.4017
2005-09-30,"Indonesia",2.9098
2005-09-30,"Malaysia",1.9212
2005-09-30,"Mexico",0.9384
2005-09-30,"Philippines",1.9143
2005-09-30,"Poland",2.426
2005-09-30,"South Africa",2.9999
2005-09-30,"South Korea",1.7107
2005-09-30,"Taiwan",2.008
2005-09-30,"Thailand",2.4188
2005-09-30,"Turkey",1.6436
2005-10-31,"Brazil",3.0996
2005-10-31,"Greece",2.907
2005-10-31,"India",4.1629
2005-10-31,"Indonesia",2.7105
2005-10-31,"Malaysia",1.8572
2005-10-31,"Mexico",0.8576
2005-10-31,"Philippines",1.9411
2005-10-31,"Poland",2.2198
2005-10-31,"South Africa",2.6443
2005-10-31,"South Korea",1.589
2005-10-31,"Taiwan",1.8896
2005-10-31,"Thailand",2.2351
2005-10-31,"Turkey",1.5321
2005-11-30,"Brazil",2.9922
2005-11-30,"Greece",2.8515
2005-11-30,"India",4.6542
2005-11-30,"Indonesia",2.7927
2005-11-30,"Malaysia",1.8185
2005-11-30,"Mexico",0.9286
2005-11-30,"Philippines",2.003
2005-11-30,"Poland",2.2501
2005-11-30,"South Africa",2.7803
2005-11-30,"South Korea",1.7654
2005-11-30,"Taiwan",2.0568
2005-11-30,"Thailand",2.18
2005-11-30,"Turkey",2.1961
2005-12-30,"Brazil",2.9549
2005-12-30,"Greece",3.0067
2005-12-30,"India",4.9967
2005-12-30,"Indonesia",2.9833
2005-12-30,"Malaysia",1.8322
2005-12-30,"Mexico",0.9668
2005-12-30,"Philippines",1.9894
