"date","country","factor_value"
2005-01-31,"Brazil",12.9791
2005-01-31,"India",12.2154
2005-01-31,"Indonesia",6.0189
2005-01-31,"Malaysia",9.8362
2005-01-31,"Mexico",8.8238
2005-01-31,"Philippines",9.7723
2005-01-31,"Poland",6.0326
2005-01-31,"South Africa",8.8776
2005-01-31,"Thailand",7.028
2005-02-28,"Brazil",10.3932
2005-02-28,"India",12.5332
2005-02-28,"Indonesia",6.4273
2005-02-28,"Malaysia",9.3129
2005-02-28,"Mexico",7.1397
2005-02-28,"Philippines",14.1292
2005-02-28,"Poland",6.8727
2005-02-28,"South Africa",9.3529
2005-02-28,"Thailand",6.2159
2005-03-31,"Brazil",8.0494
2005-03-31,"India",12.1361
2005-03-31,"Indonesia",6.3548
2005-03-31,"Malaysia",8.9762
2005-03-31,"Mexico",6.4379
2005-03-31,"Philippines",13.1774
2005-03-31,"Poland",10.9224
2005-03-31,"South Africa",9.0697
2005-03-31,"Thailand",6.842
2005-04-29,"Brazil",7.6286
2005-04-29,"India",11.4937
2005-04-29,"Indonesia",4.7978
2005-04-29,"Malaysia",9.2914
2005-04-29,"Mexico",4.2194
2005-04-29,"Philippines",8.4462
2005-04-29,"Poland",9.4302
2005-04-29,"South Africa",9.5562
2005-04-29,"South Korea",3.7035
2005-04-29,"Taiwan",8.8534
2005-04-29,"Thailand",6.6635
2005-04-29,"Turkey",6.2351
2005-05-31,"Brazil",8.2334
2005-05-31,"India",10.5664
2005-05-31,"Indonesia",4.7909
2005-05-31,"Malaysia",8.4922
2005-05-31,"Mexico",4.5476
2005-05-31,"Philippines",6.5993
2005-05-31,"Poland",6.1046
2005-05-31,"South Africa",10.1836
2005-05-31,"South Korea",3.9245
2005-05-31,"Taiwan",9.6533
2005-05-31,"Thailand",6.4204
2005-05-31,"Turkey",6.605
2005-06-30,"Brazil",8.5462
2005-06-30,"India",11.74
2005-06-30,"Indonesia",4.9957
2005-06-30,"Malaysia",9.3155
2005-06-30,"Mexico",4.8037
2005-06-30,"Philippines",6.5685
2005-06-30,"Poland",6.5159
2005-06-30,"South Africa",10.5625
2005-06-30,"South Korea",4.0793
2005-06-30,"Taiwan",9.9553
2005-06-30,"Thailand",6.5121
2005-06-30,"Turkey",6.9808
2005-07-29,"Brazil",8.8292
2005-07-29,"India",12.363
2005-07-29,"Indonesia",5.3326
2005-07-29,"Malaysia",9.7569
2005-07-29,"Mexico",3.0568
2005-07-29,"Philippines",6.6511
2005-07-29,"Poland",6.467
2005-07-29,"South Africa",11.2279
2005-07-29,"South Korea",4.5263
2005-07-29,"Taiwan",8.9153
2005-07-29,"Thailand",6.6666
2005-07-29,"Turkey",7.704
2005-08-31,"India",12.7144
2005-08-31,"Indonesia",4.7335
2005-08-31,"Malaysia",12.245
2005-08-31,"Mexico",3.0159
2005-08-31,"Poland",6.4019
2005-08-31,"South Africa",10.8764
2005-08-31,"South Korea",4.4855
2005-08-31,"Thailand",6.9539
2005-08-31,"Turkey",8.0364
2005-09-30,"Brazil",32.7273
2005-09-30,"India",13.8938
2005-09-30,"Indonesia",4.8613
2005-09-30,"Malaysia",12.0479
2005-09-30,"Mexico",3.407
2005-09-30,"Poland",7.1365
2005-09-30,"South Africa",11.8702
2005-09-30,"South Korea",5.0352
2005-09-30,"Thailand",7.1779
2005-10-31,"Brazil",30.6563
2005-10-31,"India",12.7759
2005-10-31,"Indonesia",5.133
2005-10-31,"Malaysia",12.5318
2005-10-31,"Mexico",2.5884
2005-10-31,"Poland",6.53
2005-10-31,"South Africa",7.5996
2005-10-31,"Thailand",6.633
2005-11-30,"India",14.3567
2005-11-30,"Indonesia",4.4065
2005-11-30,"Malaysia",15.0495
2005-11-30,"Mexico",2.8028
2005-11-30,"Poland",6.1394
2005-11-30,"South Africa",8.0047
2005-11-30,"Thailand",4.6322
2005-12-30,"India",15.4025
2005-12-30,"Indonesia",4.7073
2005-12-30,"Malaysia",14.3694
2005-12-30,"Mexico",2.9182
2005-12-30,"Poland",6.3648
2005-12-30,"South Africa",8.8849
2005-12-30,"Thailand",5.0323
2006-01-31,"India",15.8933
2006-01-31,"Indonesia",5.0755
2006-01-31,"Malaysia",14.2087
2006-01-31,"Mexico",3.1608
2006-01-31,"Poland",6.6138
2006-01-31,"South Africa",10.0987
2006-01-31,"Thailand",5.5004
2006-02-28,"Brazil",18.5225
2006-02-28,"India",16.4247
2006-02-28,"Indonesia",5.0121
2006-02-28,"Malaysia",29.1384
2006-02-28,"Mexico",2.57
2006-02-28,"Philippines",46.1054
2006-02-28,"Poland",7.2819
2006-02-28,"South Africa",9.6597
2006-02-28,"Thailand",5.5233
2006-03-31,"Brazil",11.2017
2006-03-31,"Greece",10.3113
2006-03-31,"India",17.8867
2006-03-31,"Indonesia",5.516
2006-03-31,"Malaysia",33.3501
2006-03-31,"Mexico",2.5742
2006-03-31,"Philippines",6.2103
2006-03-31,"Poland",12.6037
2006-03-31,"South Africa",10.4051
2006-03-31,"Thailand",6.3136
2006-04-28,"Brazil",12.2136
2006-04-28,"Greece",10.256
2006-04-28,"India",17.253
2006-04-28,"Indonesia",8.6557
2006-04-28,"Malaysia",23.0471
2006-04-28,"Mexico",2.7132
2006-04-28,"Philippines",6.9855
2006-04-28,"Poland",13.9956
2006-04-28,"South Africa",7.3185
2006-04-28,"South Korea",5.6717
2006-04-28,"Taiwan",8.3528
2006-04-28,"Thailand",6.5959
2006-04-28,"Turkey",4.3784
2006-05-31,"Brazil",6.6752
2006-05-31,"Greece",12.9014
2006-05-31,"India",16.076
2006-05-31,"Indonesia",7.8862
2006-05-31,"Malaysia",9.4805
2006-05-31,"Mexico",2.8182
2006-05-31,"Philippines",5.0443
2006-05-31,"Poland",14.8934
2006-05-31,"South Africa",6.8592
2006-05-31,"South Korea",5.1831
2006-05-31,"Taiwan",7.9789
2006-05-31,"Thailand",6.4369
2006-05-31,"Turkey",4.7802
2006-06-30,"Brazil",7.9451
2006-06-30,"Greece",12.9002
2006-06-30,"India",15.9104
2006-06-30,"Indonesia",7.8211
2006-06-30,"Malaysia",9.3089
2006-06-30,"Mexico",2.8854
2006-06-30,"Philippines",4.7218
2006-06-30,"Poland",15.4388
2006-06-30,"South Africa",7.0882
2006-06-30,"South Korea",5.2086
2006-06-30,"Taiwan",7.8691
2006-06-30,"Thailand",6.1715
2006-06-30,"Turkey",4.7698
2006-07-31,"Brazil",8.1144
2006-07-31,"Greece",64.1535
2006-07-31,"India",15.2946
2006-07-31,"Indonesia",8.0462
2006-07-31,"Malaysia",9.901
2006-07-31,"Mexico",4.5814
2006-07-31,"Philippines",5.2468
2006-07-31,"Poland",17.1771
2006-07-31,"South Africa",6.6972
2006-07-31,"South Korea",5.4489
2006-07-31,"Taiwan",8.0558
2006-07-31,"Thailand",6.3321
2006-07-31,"Turkey",4.7409
2006-08-31,"Brazil",7.4825
2006-08-31,"Greece",116.5374
2006-08-31,"India",16.5094
2006-08-31,"Indonesia",8.444
2006-08-31,"Malaysia",5.4509
2006-08-31,"Mexico",4.803
2006-08-31,"Philippines",4.7205
2006-08-31,"Poland",13.6505
2006-08-31,"South Africa",8.1174
2006-08-31,"South Korea",5.6179
2006-08-31,"Taiwan",5.9004
2006-08-31,"Thailand",18.6186
2006-08-31,"Turkey",4.9282
2006-09-29,"Brazil",7.7835
2006-09-29,"India",17.5954
2006-09-29,"Indonesia",9.0073
2006-09-29,"Malaysia",7.0244
2006-09-29,"Mexico",5.034
2006-09-29,"Philippines",5.2268
2006-09-29,"Poland",13.5014
2006-09-29,"South Africa",8.1571
2006-09-29,"South Korea",5.7006
2006-09-29,"Taiwan",6.1897
2006-09-29,"Thailand",18.8328
2006-09-29,"Turkey",4.4494
2006-10-31,"Brazil",8.4353
2006-10-31,"India",17.9861
2006-10-31,"Indonesia",12.6795
2006-10-31,"Malaysia",6.823
2006-10-31,"Mexico",7.9167
2006-10-31,"Philippines",5.5425
2006-10-31,"Poland",14.2669
2006-10-31,"South Africa",8.6206
2006-10-31,"Taiwan",6.3309
2006-10-31,"Thailand",19.8033
2006-10-31,"Turkey",6.9838
2006-11-30,"Brazil",13.4782
2006-11-30,"Greece",48.1694
2006-11-30,"India",18.8052
2006-11-30,"Indonesia",15.3861
2006-11-30,"Malaysia",12.269
2006-11-30,"Mexico",7.8587
2006-11-30,"Philippines",6.1385
2006-11-30,"Poland",9.6959
2006-11-30,"South Africa",9.45
2006-11-30,"Taiwan",6.8156
2006-11-30,"Thailand",23.5757
2006-11-30,"Turkey",6.3324
2006-12-29,"Brazil",14.5542
2006-12-29,"Greece",49.2449
2006-12-29,"India",19.1515
2006-12-29,"Indonesia",15.8746
2006-12-29,"Malaysia",13.3365
2006-12-29,"Mexico",8.3181
2006-12-29,"Philippines",6.6165
2006-12-29,"Poland",9.9693
2006-12-29,"South Africa",10.129
2006-12-29,"Taiwan",6.9837
2006-12-29,"Thailand",21.6628
2006-12-29,"Turkey",7.1753
2007-01-31,"Brazil",14.6313
2007-01-31,"Greece",53.0192
2007-01-31,"India",18.0345
2007-01-31,"Indonesia",15.298
2007-01-31,"Malaysia",14.5801
2007-01-31,"Mexico",8.3632
2007-01-31,"Philippines",7.3749
2007-01-31,"Poland",10.7286
2007-01-31,"South Africa",10.6356
2007-01-31,"Taiwan",7.6757
2007-01-31,"Thailand",20.8323
2007-01-31,"Turkey",7.6863
2007-02-28,"Brazil",14.2808
2007-02-28,"India",16.9885
2007-02-28,"Indonesia",14.8156
2007-02-28,"Malaysia",7.9492
2007-02-28,"Mexico",10.1942
2007-02-28,"Philippines",6.9452
2007-02-28,"Poland",7.2097
2007-02-28,"South Africa",10.7038
2007-02-28,"Taiwan",7.873
2007-02-28,"Thailand",10.5115
2007-02-28,"Turkey",7.6956
2007-03-30,"Brazil",17.7155
2007-03-30,"Greece",31.368
2007-03-30,"India",17.0906
2007-03-30,"Indonesia",13.6639
2007-03-30,"Malaysia",8.4784
2007-03-30,"Mexico",10.8709
2007-03-30,"Philippines",7.2286
2007-03-30,"Poland",7.9154
2007-03-30,"South Africa",11.1772
2007-03-30,"Taiwan",7.5638
2007-03-30,"Thailand",11.1745
2007-03-30,"Turkey",7.1321
2007-04-30,"Brazil",18.0454
2007-04-30,"Greece",34.4687
2007-04-30,"India",17.1054
2007-04-30,"Indonesia",16.0905
2007-04-30,"Malaysia",9.7543
2007-04-30,"Mexico",10.0636
2007-04-30,"Philippines",11.1143
2007-04-30,"Poland",8.1723
2007-04-30,"South Africa",11.9853
2007-04-30,"South Korea",6.3268
2007-04-30,"Taiwan",8.0659
2007-04-30,"Thailand",11.5962
2007-04-30,"Turkey",16.288
2007-05-31,"Brazil",19.2233
2007-05-31,"Greece",140.6884
2007-05-31,"India",19.8087
2007-05-31,"Indonesia",12.8064
2007-05-31,"Malaysia",7.5066
2007-05-31,"Mexico",12.8293
2007-05-31,"Philippines",9.5963
2007-05-31,"Poland",6.7582
2007-05-31,"South Africa",11.8863
2007-05-31,"South Korea",6.6903
2007-05-31,"Taiwan",7.0304
2007-05-31,"Thailand",13.5828
2007-05-31,"Turkey",16.8678
2007-06-29,"Brazil",19.5253
2007-06-29,"Greece",153.3117
2007-06-29,"India",23.5021
2007-06-29,"Indonesia",13.273
2007-06-29,"Malaysia",7.5711
2007-06-29,"Mexico",12.7381
2007-06-29,"Philippines",10.1425
2007-06-29,"Poland",6.9312
