"date","country","factor_value"
2005-01-31,"India",20.7363
2005-01-31,"Indonesia",15.1755
2005-01-31,"Malaysia",29.3329
2005-01-31,"Mexico",15.7096
2005-01-31,"Poland",6.4263
2005-01-31,"South Africa",38.8199
2005-01-31,"Thailand",23.1616
2005-02-28,"Brazil",25.5096
2005-02-28,"India",21.2757
2005-02-28,"Indonesia",15.4477
2005-02-28,"Malaysia",25.2841
2005-02-28,"Mexico",10.7116
2005-02-28,"Poland",7.2316
2005-02-28,"South Africa",40.8984
2005-02-28,"Thailand",24.9433
2005-03-31,"Brazil",18.5396
2005-03-31,"India",20.6016
2005-03-31,"Indonesia",16.492
2005-03-31,"Malaysia",22.2815
2005-03-31,"Mexico",9.6587
2005-03-31,"Poland",8.2747
2005-03-31,"South Africa",27.0741
2005-03-31,"Thailand",17.6017
2005-04-29,"Brazil",17.5704
2005-04-29,"India",19.5111
2005-04-29,"Indonesia",16.9014
2005-04-29,"Malaysia",23.3187
2005-04-29,"Mexico",6.2096
2005-04-29,"Philippines",15.9498
2005-04-29,"Poland",6.9979
2005-04-29,"South Africa",19.4042
2005-04-29,"South Korea",11.8233
2005-04-29,"Taiwan",21.0588
2005-04-29,"Thailand",17.3609
2005-05-31,"Brazil",18.9633
2005-05-31,"India",21.6284
2005-05-31,"Indonesia",24.1288
2005-05-31,"Malaysia",25.1928
2005-05-31,"Mexico",6.6925
2005-05-31,"Philippines",13.6916
2005-05-31,"Poland",6.2027
2005-05-31,"South Africa",20.8262
2005-05-31,"South Korea",11.9732
2005-05-31,"Taiwan",23.3874
2005-05-31,"Thailand",14.0722
2005-06-30,"Brazil",19.6837
2005-06-30,"India",21.8959
2005-06-30,"Indonesia",25.1601
2005-06-30,"Malaysia",24.9955
2005-06-30,"Mexico",7.0695
2005-06-30,"Philippines",13.6277
2005-06-30,"Poland",6.6206
2005-06-30,"South Africa",21.6012
2005-06-30,"South Korea",12.5044
2005-06-30,"Taiwan",24.1189
2005-06-30,"Thailand",14.2733
2005-07-29,"Brazil",20.3356
2005-07-29,"India",23.0578
2005-07-29,"Indonesia",26.8573
2005-07-29,"Malaysia",26.4167
2005-07-29,"Mexico",4.0763
2005-07-29,"Philippines",13.7991
2005-07-29,"Poland",7.0554
2005-07-29,"South Korea",13.2493
2005-07-29,"Taiwan",17.4653
2005-07-29,"Thailand",14.612
2005-08-31,"India",23.6999
2005-08-31,"Indonesia",37.1922
2005-08-31,"Malaysia",27.2417
2005-08-31,"Mexico",4.0217
2005-08-31,"Poland",7.1857
2005-08-31,"South Africa",23.7216
2005-08-31,"South Korea",13.3694
2005-08-31,"Thailand",13.8068
2005-09-30,"India",25.8984
2005-09-30,"Indonesia",38.1964
2005-09-30,"Malaysia",22.1522
2005-09-30,"Mexico",4.5433
2005-09-30,"Poland",8.0102
2005-09-30,"South Africa",31.3273
2005-09-30,"South Korea",15.0079
2005-09-30,"Thailand",14.2515
2005-10-31,"India",20.5284
