"date","country","factor_value"
2005-01-31,"Brazil",1.9399
2005-01-31,"Greece",1.9733
2005-01-31,"India",1.9454
2005-01-31,"Indonesia",1.7399
2005-01-31,"Malaysia",1.9612
2005-01-31,"Mexico",1.6914
2005-01-31,"Philippines",1.553
2005-01-31,"Poland",1.1038
2005-01-31,"South Africa",1.141
2005-01-31,"Thailand",1.6927
2005-01-31,"Turkey",0.9179
2005-02-28,"Brazil",2.242
2005-02-28,"Greece",2.234
2005-02-28,"India",1.996
2005-02-28,"Indonesia",1.805
2005-02-28,"Malaysia",2.0972
2005-02-28,"Mexico",1.5946
2005-02-28,"Philippines",1.5749
2005-02-28,"Poland",1.244
2005-02-28,"South Africa",1.2021
2005-02-28,"Thailand",1.9116
2005-02-28,"Turkey",0.9516
2005-03-31,"Brazil",1.769
2005-03-31,"Greece",1.7159
2005-03-31,"India",1.9328
2005-03-31,"Indonesia",1.8391
2005-03-31,"Malaysia",1.8791
2005-03-31,"Mexico",1.4379
2005-03-31,"Philippines",1.4688
2005-03-31,"Poland",1.3467
2005-03-31,"South Africa",1.1657
2005-03-31,"Thailand",1.6515
2005-03-31,"Turkey",0.8671
2005-04-29,"Brazil",1.6765
2005-04-29,"Greece",1.7047
2005-04-29,"India",1.8304
2005-04-29,"Indonesia",1.445
2005-04-29,"Malaysia",1.9096
2005-04-29,"Mexico",0.9394
2005-04-29,"Philippines",1.4118
2005-04-29,"Poland",1.2349
2005-04-29,"South Africa",0.9724
2005-04-29,"South Korea",0.5867
2005-04-29,"Taiwan",1.568
2005-04-29,"Thailand",1.5684
2005-04-29,"Turkey",0.6811
2005-05-31,"Brazil",1.7182
2005-05-31,"Greece",1.7758
2005-05-31,"India",1.5924
2005-05-31,"Indonesia",1.7933
2005-05-31,"Malaysia",1.8735
2005-05-31,"Mexico",1.0125
2005-05-31,"Philippines",1.329
2005-05-31,"Poland",1.0856
2005-05-31,"South Africa",1.03
2005-05-31,"South Korea",0.5614
2005-05-31,"Taiwan",1.5322
2005-05-31,"Thailand",1.5126
2005-05-31,"Turkey",0.7215
2005-06-30,"Brazil",1.7834
2005-06-30,"Greece",1.8207
2005-06-30,"India",1.7751
2005-06-30,"Indonesia",1.8699
2005-06-30,"Malaysia",1.8277
2005-06-30,"Mexico",1.0695
2005-06-30,"Philippines",1.3228
2005-06-30,"Poland",1.1588
2005-06-30,"South Africa",1.0683
2005-06-30,"South Korea",0.5814
2005-06-30,"Taiwan",1.5802
2005-06-30,"Thailand",1.5342
2005-06-30,"Turkey",0.7491
2005-07-29,"Brazil",1.8425
2005-07-29,"Greece",1.938
2005-07-29,"India",1.8693
2005-07-29,"Indonesia",1.9961
2005-07-29,"Malaysia",1.8952
2005-07-29,"Mexico",0.7806
2005-07-29,"Philippines",1.3394
2005-07-29,"Poland",1.2349
2005-07-29,"South Africa",1.1232
2005-07-29,"South Korea",0.6507
2005-07-29,"Taiwan",1.5905
2005-07-29,"Thailand",1.5706
2005-07-29,"Turkey",0.8268
2005-08-31,"Brazil",1.682
2005-08-31,"Greece",2.231
2005-08-31,"India",1.9369
2005-08-31,"Indonesia",1.6215
2005-08-31,"Malaysia",1.8494
2005-08-31,"Mexico",0.7702
2005-08-31,"Philippines",1.5968
2005-08-31,"Poland",1.4263
2005-08-31,"South Africa",1.2078
2005-08-31,"South Korea",0.6395
2005-08-31,"Thailand",1.5685
2005-08-31,"Turkey",0.8624
2005-09-30,"Brazil",1.9986
2005-09-30,"Greece",2.0851
2005-09-30,"India",2.1166
2005-09-30,"Indonesia",1.6653
2005-09-30,"Malaysia",1.8042
2005-09-30,"Mexico",0.8701
2005-09-30,"Philippines",1.6062
2005-09-30,"Poland",1.59
2005-09-30,"South Africa",1.3658
2005-09-30,"South Korea",0.7179
2005-09-30,"Thailand",1.619
2005-09-30,"Turkey",0.882
2005-10-31,"Brazil",1.8721
2005-10-31,"Greece",2.037
2005-10-31,"India",2.0202
2005-10-31,"Indonesia",1.56
2005-10-31,"Malaysia",1.7629
2005-10-31,"Mexico",0.6266
2005-10-31,"Philippines",1.6287
2005-10-31,"Poland",1.4548
2005-10-31,"South Africa",1.1123
2005-10-31,"Thailand",1.4961
2005-10-31,"Turkey",0.7973
2005-11-30,"Brazil",1.8708
2005-11-30,"Greece",2.1028
2005-11-30,"India",2.2668
2005-11-30,"Indonesia",1.5656
2005-11-30,"Malaysia",1.729
2005-11-30,"Mexico",0.6785
2005-11-30,"Philippines",1.6726
2005-11-30,"Poland",1.3073
2005-11-30,"South Africa",1.2152
2005-11-30,"Thailand",1.3085
2005-11-30,"Turkey",1.138
2005-12-30,"Brazil",1.8475
2005-12-30,"Greece",2.2332
2005-12-30,"India",2.4293
2005-12-30,"Indonesia",1.6724
2005-12-30,"Malaysia",1.7588
2005-12-30,"Mexico",0.7064
2005-12-30,"Philippines",1.6612
2005-12-30,"Poland",1.3551
2005-12-30,"South Africa",1.2985
2005-12-30,"Thailand",1.4215
2005-12-30,"Turkey",1.2004
2006-01-31,"Brazil",2.2956
2006-01-31,"Greece",2.4044
2006-01-31,"India",2.6039
2006-01-31,"Indonesia",1.8052
2006-01-31,"Malaysia",1.803
2006-01-31,"Mexico",0.7652
2006-01-31,"Philippines",1.711
2006-01-31,"Poland",1.4081
2006-01-31,"South Africa",1.481
2006-01-31,"Thailand",1.5058
2006-01-31,"Turkey",1.2133
2006-02-28,"Brazil",2.3376
2006-02-28,"Greece",2.4924
2006-02-28,"India",2.6833
2006-02-28,"Indonesia",1.7829
2006-02-28,"Malaysia",1.8572
2006-02-28,"Mexico",0.5563
2006-02-28,"Philippines",1.8396
2006-02-28,"Poland",1.4197
2006-02-28,"South Africa",1.4167
2006-02-28,"Thailand",1.5267
2006-02-28,"Turkey",1.2957
2006-03-31,"Brazil",2.1411
2006-03-31,"Greece",2.2004
2006-03-31,"India",2.9616
2006-03-31,"Indonesia",1.8642
2006-03-31,"Malaysia",1.9188
2006-03-31,"Mexico",0.5572
2006-03-31,"Philippines",1.5424
2006-03-31,"Poland",1.5566
2006-03-31,"South Africa",1.4875
2006-03-31,"Thailand",1.4286
2006-03-31,"Turkey",1.137
2006-04-28,"Brazil",2.3294
2006-04-28,"Greece",2.1886
2006-04-28,"India",2.5403
2006-04-28,"Indonesia",1.9568
2006-04-28,"Malaysia",1.8225
2006-04-28,"Mexico",0.5851
2006-04-28,"Philippines",1.814
2006-04-28,"Poland",1.6638
2006-04-28,"South Africa",1.353
2006-04-28,"South Korea",0.7579
2006-04-28,"Taiwan",1.4748
2006-04-28,"Thailand",1.4926
2006-04-28,"Turkey",1.1558
2006-05-31,"Brazil",1.8111
2006-05-31,"Greece",1.9742
2006-05-31,"India",2.0939
2006-05-31,"Indonesia",1.7473
2006-05-31,"Malaysia",1.75
2006-05-31,"Mexico",0.5907
2006-05-31,"Philippines",1.8757
2006-05-31,"Poland",1.3667
2006-05-31,"South Africa",1.2681
2006-05-31,"South Korea",0.6418
2006-05-31,"Taiwan",1.2649
2006-05-31,"Thailand",1.2361
2006-05-31,"Turkey",0.9319
2006-06-30,"Brazil",1.9218
2006-06-30,"Greece",1.974
2006-06-30,"India",2.087
2006-06-30,"Indonesia",1.7327
2006-06-30,"Malaysia",1.7221
2006-06-30,"Mexico",0.6048
2006-06-30,"Philippines",1.7565
2006-06-30,"Poland",1.4168
2006-06-30,"South Africa",1.3014
2006-06-30,"South Korea",0.6408
2006-06-30,"Taiwan",1.2475
2006-06-30,"Thailand",1.1846
2006-06-30,"Turkey",0.8676
2006-07-31,"Brazil",1.9398
2006-07-31,"Greece",1.999
2006-07-31,"India",2.2211
2006-07-31,"Indonesia",1.7827
2006-07-31,"Malaysia",1.7489
