"date","country","factor_value"
2005-01-31,"Brazil",14.5356
2005-01-31,"Greece",11.7206
2005-01-31,"India",10.3592
2005-01-31,"Indonesia",13.3462
2005-01-31,"Malaysia",11.9539
2005-01-31,"Mexico",10.7926
2005-01-31,"Philippines",11.749
2005-01-31,"Poland",9.6726
2005-01-31,"South Africa",6.8261
2005-01-31,"Thailand",13.5861
2005-01-31,"Turkey",7.6561
2005-02-28,"Brazil",14.3534
2005-02-28,"Greece",10.9516
2005-02-28,"India",10.3592
2005-02-28,"Indonesia",13.7142
2005-02-28,"Malaysia",13.4251
2005-02-28,"Mexico",11.7199
2005-02-28,"Philippines",11.3954
2005-02-28,"Poland",9.5822
2005-02-28,"South Africa",6.8261
2005-02-28,"Thailand",16.9309
2005-02-28,"Turkey",7.6561
2005-03-31,"Brazil",15.7975
2005-03-31,"Greece",9.2859
2005-03-31,"India",10.3592
2005-03-31,"Indonesia",14.1501
2005-03-31,"Malaysia",12.3894
2005-03-31,"Mexico",11.7199
2005-03-31,"Philippines",11.3954
2005-03-31,"Poland",9.963
2005-03-31,"South Africa",6.8261
2005-03-31,"Thailand",15.4325
2005-03-31,"Turkey",7.8386
2005-04-29,"Brazil",15.7975
2005-04-29,"Greece",9.2859
2005-04-29,"India",10.3592
2005-04-29,"Indonesia",13.8056
2005-04-29,"Malaysia",12.5339
2005-04-29,"Mexico",13.4943
2005-04-29,"Philippines",9.9125
2005-04-29,"Poland",10.4257
2005-04-29,"South Africa",7.863
2005-04-29,"South Korea",8.5881
2005-04-29,"Taiwan",12.7287
2005-04-29,"Thailand",15.1301
2005-04-29,"Turkey",6.2986
2005-05-31,"Brazil",16.2755
2005-05-31,"Greece",9.2859
2005-05-31,"India",10.3005
2005-05-31,"Indonesia",14.7227
2005-05-31,"Malaysia",13.6911
2005-05-31,"Mexico",13.4943
2005-05-31,"Philippines",12.0639
2005-05-31,"Poland",9.8101
2005-05-31,"South Africa",7.7471
2005-05-31,"South Korea",7.5884
2005-05-31,"Taiwan",11.8597
2005-05-31,"Thailand",15.6493
2005-05-31,"Turkey",6.2986
2005-06-30,"Brazil",16.2755
2005-06-30,"Greece",10.07
2005-06-30,"India",11.4324
2005-06-30,"Indonesia",14.7227
2005-06-30,"Malaysia",12.7137
2005-06-30,"Mexico",13.4943
2005-06-30,"Philippines",12.0639
2005-06-30,"Poland",9.8101
2005-06-30,"South Africa",7.834
2005-06-30,"South Korea",7.5771
2005-06-30,"Taiwan",11.8597
2005-06-30,"Thailand",15.6493
2005-06-30,"Turkey",5.903
2005-07-29,"Brazil",16.2755
2005-07-29,"Greece",10.07
2005-07-29,"India",11.4324
2005-07-29,"Indonesia",14.7227
2005-07-29,"Malaysia",12.6958
2005-07-29,"Mexico",14.8258
2005-07-29,"Philippines",12.0639
2005-07-29,"Poland",9.8101
2005-07-29,"South Africa",7.9248
2005-07-29,"South Korea",7.5289
2005-07-29,"Taiwan",11.7956
2005-07-29,"Thailand",15.6493
2005-07-29,"Turkey",5.903
2005-08-31,"Brazil",17.1151
2005-08-31,"Greece",10.1747
2005-08-31,"India",11.5619
2005-08-31,"Indonesia",15.3377
2005-08-31,"Malaysia",12.5142
2005-08-31,"Mexico",14.8258
2005-08-31,"Philippines",10.8148
2005-08-31,"Poland",12.75
2005-08-31,"South Africa",8.5539
2005-08-31,"South Korea",7.5145
2005-08-31,"Thailand",15.7115
2005-08-31,"Turkey",5.903
2005-09-30,"Brazil",17.1151
2005-09-30,"Greece",9.4023
2005-09-30,"India",11.5619
2005-09-30,"Indonesia",15.3108
2005-09-30,"Malaysia",12.0603
2005-09-30,"Mexico",14.8258
2005-09-30,"Philippines",10.8148
2005-09-30,"Poland",12.75
2005-09-30,"South Africa",8.166
2005-09-30,"South Korea",7.5145
2005-09-30,"Thailand",15.7015
2005-09-30,"Turkey",5.5185
2005-10-31,"Brazil",17.1151
2005-10-31,"Greece",9.4023
2005-10-31,"India",11.8796
2005-10-31,"Indonesia",13.7995
2005-10-31,"Malaysia",12.1084
2005-10-31,"Mexico",14.7873
2005-10-31,"Philippines",10.8148
2005-10-31,"Poland",12.75
2005-10-31,"South Africa",8.9494
2005-10-31,"Thailand",15.6976
2005-10-31,"Turkey",6.1563
2005-11-30,"Brazil",16.803
2005-11-30,"Greece",9.5904
2005-11-30,"India",11.8996
2005-11-30,"Indonesia",13.7987
2005-11-30,"Malaysia",12.465
2005-11-30,"Mexico",14.7873
2005-11-30,"Philippines",10.8955
2005-11-30,"Poland",11.7479
2005-11-30,"South Africa",9.8946
2005-11-30,"Thailand",14.4203
2005-11-30,"Turkey",6.1563
2005-12-30,"Brazil",16.803
2005-12-30,"Greece",9.6134
2005-12-30,"India",11.8797
2005-12-30,"Indonesia",13.7987
2005-12-30,"Malaysia",12.6188
2005-12-30,"Mexico",14.7873
2005-12-30,"Philippines",10.8955
2005-12-30,"Poland",11.7479
2005-12-30,"South Africa",9.5806
2005-12-30,"Thailand",14.4106
2005-12-30,"Turkey",2.5502
2006-01-31,"Brazil",16.803
2006-01-31,"Greece",9.6134
2006-01-31,"India",12.1846
2006-01-31,"Indonesia",13.9064
2006-01-31,"Malaysia",12.6398
2006-01-31,"Mexico",14.7873
2006-01-31,"Philippines",10.8955
2006-01-31,"Poland",11.7479
2006-01-31,"South Africa",9.575
2006-01-31,"Thailand",14.233
2006-01-31,"Turkey",3.3511
2006-02-28,"Brazil",16.803
2006-02-28,"Greece",9.2357
2006-02-28,"India",12.1796
2006-02-28,"Indonesia",13.9064
2006-02-28,"Malaysia",12.0549
2006-02-28,"Mexico",13.4487
2006-02-28,"Philippines",13.266
2006-02-28,"Poland",11.7652
2006-02-28,"South Africa",9.5767
2006-02-28,"Thailand",14.3772
2006-02-28,"Turkey",3.3876
2006-03-31,"Brazil",17.6575
2006-03-31,"Greece",9.7769
2006-03-31,"India",12.1721
2006-03-31,"Indonesia",13.1415
2006-03-31,"Malaysia",12.3014
2006-03-31,"Mexico",13.4487
2006-03-31,"Philippines",13.033
2006-03-31,"Poland",13.2088
2006-03-31,"South Africa",9.2067
2006-03-31,"Thailand",13.0392
2006-03-31,"Turkey",3.3737
2006-04-28,"Brazil",17.4452
2006-04-28,"Greece",9.7769
2006-04-28,"India",11.3891
2006-04-28,"Indonesia",12.4928
2006-04-28,"Malaysia",11.2594
2006-04-28,"Mexico",13.3978
2006-04-28,"Philippines",14.6262
2006-04-28,"Poland",12.8566
2006-04-28,"South Africa",9.3075
2006-04-28,"South Korea",6.3861
2006-04-28,"Taiwan",7.3019
2006-04-28,"Thailand",13.0394
2006-04-28,"Turkey",4.8378
2006-05-31,"Brazil",16.9011
2006-05-31,"Greece",10.9742
2006-05-31,"India",11.5084
2006-05-31,"Indonesia",11.9608
2006-05-31,"Malaysia",11.0661
2006-05-31,"Mexico",13.1433
2006-05-31,"Philippines",13.7681
2006-05-31,"Poland",12.3601
2006-05-31,"South Africa",9.0227
2006-05-31,"South Korea",6.0037
2006-05-31,"Taiwan",6.6193
2006-05-31,"Thailand",11.8905
2006-05-31,"Turkey",5.382
2006-06-30,"Brazil",16.9004
2006-06-30,"Greece",10.9742
2006-06-30,"India",11.3128
2006-06-30,"Indonesia",11.96
2006-06-30,"Malaysia",11.1769
2006-06-30,"Mexico",13.1431
2006-06-30,"Philippines",13.7807
2006-06-30,"Poland",12.3601
2006-06-30,"South Africa",9.0599
2006-06-30,"South Korea",6.0369
2006-06-30,"Taiwan",6.6193
2006-06-30,"Thailand",11.889
2006-06-30,"Turkey",6.8811
2006-07-31,"Brazil",16.9004
2006-07-31,"Greece",10.9742
2006-07-31,"India",11.6265
2006-07-31,"Indonesia",11.9607
2006-07-31,"Malaysia",10.9042
2006-07-31,"Mexico",12.1432
2006-07-31,"Philippines",13.7754
2006-07-31,"Poland",12.3601
2006-07-31,"South Africa",9.4397
2006-07-31,"South Korea",6.3203
2006-07-31,"Taiwan",8.4528
