"date","country","factor_value"
2005-01-31,"Indonesia",2.684
2005-01-31,"South Africa",4.981
2005-01-31,"South Korea",1.467
2005-02-28,"Indonesia",3.054
2005-02-28,"South Africa",5.089
2005-02-28,"South Korea",1.357
2005-03-31,"Indonesia",1.959
2005-03-31,"South Africa",5.605
2005-03-31,"South Korea",1.774
2005-04-29,"Indonesia",3.096
2005-04-29,"South Africa",4.947
2005-04-29,"South Korea",1.515
2005-05-31,"Indonesia",3.771
2005-05-31,"South Africa",5.157
2005-05-31,"South Korea",1.243
2005-06-30,"China",1.992
2005-06-30,"Indonesia",3.766
2005-06-30,"South Africa",5.2
2005-06-30,"South Korea",1.997
2005-07-27,"China",1.662
2005-07-29,"Indonesia",3.581
2005-07-29,"South Africa",4.506
2005-07-29,"South Korea",2.427
2005-08-23,"China",2.311
2005-08-31,"Indonesia",5.527
2005-08-31,"South Africa",4.13
2005-08-31,"South Korea",2.84
2005-09-08,"China",2.408
2005-09-30,"Indonesia",5.834
2005-09-30,"Mexico",5.095
2005-09-30,"South Africa",3.715
2005-09-30,"South Korea",2.615
2005-10-31,"Indonesia",-3.124
2005-10-31,"Mexico",5.883
2005-10-31,"South Africa",4.075
2005-10-31,"South Korea",3.247
2005-11-30,"Indonesia",-4.06
2005-11-30,"Mexico",5.688
2005-11-30,"South Africa",4.352
2005-11-30,"South Korea",3.256
2005-12-29,"Indonesia",-3.476
2005-12-30,"Mexico",4.91
2005-12-30,"South Africa",3.87
2005-12-30,"South Korea",3.032
2006-01-30,"Indonesia",-3.962
2006-01-31,"Mexico",4.267
2006-01-31,"South Africa",3.399
2006-01-31,"South Korea",3.257
2006-02-27,"Indonesia",-5.441
2006-02-28,"Mexico",4.085
2006-02-28,"South Africa",3.421
2006-02-28,"South Korea",3.244
2006-03-31,"Indonesia",-3.548
2006-03-31,"Mexico",5.078
2006-03-31,"South Africa",4.108
2006-03-31,"South Korea",3.453
2006-04-28,"China",1.771
2006-04-28,"Indonesia",-3.516
2006-04-28,"Mexico",5.335
2006-04-28,"South Africa",4.08
2006-04-28,"South Korea",3.257
2006-05-30,"South Korea",2.85
2006-05-31,"China",1.582
2006-05-31,"Indonesia",-3.226
2006-05-31,"Mexico",6.12
2006-05-31,"South Africa",3.85
2006-06-30,"China",1.64
2006-06-30,"Indonesia",-2.881
2006-06-30,"Mexico",5.911
2006-06-30,"South Africa",3.751
2006-06-30,"South Korea",2.8
2006-07-31,"China",2.288
2006-07-31,"Indonesia",-3.217
2006-07-31,"Mexico",5.473
2006-07-31,"South Africa",3.695
2006-07-31,"South Korea",2.65
2006-08-31,"China",1.909
2006-08-31,"Indonesia",-3.193
2006-08-31,"Mexico",4.742
2006-08-31,"South Africa",3.38
2006-08-31,"South Korea",2.26
2006-09-29,"China",1.536
2006-09-29,"Indonesia",-3.598
2006-09-29,"Mexico",4.152
2006-09-29,"South Africa",3.323
2006-09-29,"South Korea",2.23
2006-10-31,"China",1.562
2006-10-31,"Indonesia",4.117
2006-10-31,"Mexico",3.605
2006-10-31,"South Africa",2.659
2006-10-31,"South Korea",2.71
2006-11-30,"China",1.129
2006-11-30,"Indonesia",5.395
2006-11-30,"Mexico",3.615
2006-11-30,"South Africa",2.521
2006-11-30,"South Korea",2.88
2006-12-29,"China",0.258
2006-12-29,"Indonesia",3.575
2006-12-29,"Mexico",3.355
2006-12-29,"South Africa",1.932
2006-12-29,"South Korea",2.957
2007-01-05,"Brazil",7.737
2007-01-31,"China",0.857
2007-01-31,"Indonesia",3.717
2007-01-31,"Mexico",3.924
2007-01-31,"South Africa",1.714
2007-01-31,"South Korea",3.357
2007-02-07,"Brazil",7.61
2007-02-28,"China",0.41
2007-02-28,"Indonesia",3.888
2007-02-28,"Mexico",3.881
2007-02-28,"South Africa",1.818
2007-02-28,"South Korea",2.76
2007-03-30,"Brazil",8.792
2007-03-30,"China",0.0700000000000003
2007-03-30,"Indonesia",3.371
2007-03-30,"Mexico",3.346
2007-03-30,"South Africa",1.64
2007-03-30,"South Korea",2.732
2007-04-30,"Brazil",7.727
2007-04-30,"China",0.64
2007-04-30,"Indonesia",3.305
2007-04-30,"Mexico",3.724
2007-04-30,"South Africa",0.617
2007-04-30,"South Korea",2.75
2007-05-31,"Brazil",6.885
2007-05-31,"China",0.56
