"date","country","factor_value"
2001-01-31,"Brazil",-0.215237737792298
2001-01-31,"Greece",-1.00869413547336
2001-01-31,"India",-0.744894528393392
2001-01-31,"Indonesia",-1.42452410206552
2001-01-31,"Malaysia",-0.877342603924343
2001-01-31,"Mexico",-0.26849473231825
2001-01-31,"Philippines",-0.970247954348898
2001-01-31,"Poland",-0.163138135646683
2001-01-31,"South Africa",-0.603428544457801
2001-01-31,"South Korea",-1.03416033581865
2001-01-31,"Taiwan",-1.21042656617301
2001-01-31,"Thailand",-0.884552167494941
2001-01-31,"Turkey",-0.738822122558918
2001-02-27,"Taiwan",-0.801178981102056
2001-02-28,"Brazil",0.0446155838767657
2001-02-28,"Greece",-1.19078859502949
2001-02-28,"India",-1.10633462402576
2001-02-28,"Indonesia",-1.1771294628697
2001-02-28,"Malaysia",-0.908643622446965
2001-02-28,"Mexico",-0.241322006235623
2001-02-28,"Philippines",-0.330220052500379
2001-02-28,"Poland",-0.715271730857596
2001-02-28,"South Africa",-0.271386068698278
2001-02-28,"South Korea",-0.519255578789387
2001-02-28,"Thailand",-0.37619823274592
2001-02-28,"Turkey",-0.478358581113897
2001-03-30,"Brazil",-0.421874941419447
2001-03-30,"Greece",-1.16079074142121
2001-03-30,"India",-0.909657969660907
2001-03-30,"Indonesia",-1.15875269891778
2001-03-30,"Malaysia",-0.952791969740881
2001-03-30,"Mexico",-0.503300202192183
2001-03-30,"Philippines",-0.420872606677586
2001-03-30,"Poland",-1.11046536150223
2001-03-30,"South Africa",-0.0259039438229801
2001-03-30,"South Korea",-0.843056757475896
2001-03-30,"Taiwan",-0.966622285359299
2001-03-30,"Thailand",-0.557156157874348
2001-03-30,"Turkey",-0.799246654563011
2001-04-30,"Brazil",-0.400511418342892
2001-04-30,"Greece",-0.916290520651053
2001-04-30,"India",-1.001874992366
2001-04-30,"Indonesia",-1.20198644586112
2001-04-30,"Malaysia",-0.946311777406268
2001-04-30,"Mexico",-0.294120712263216
2001-04-30,"Philippines",-0.549411922499089
2001-04-30,"Poland",-0.88300921483957
2001-04-30,"South Africa",-0.269764123158144
2001-04-30,"South Korea",-0.840750751720393
2001-04-30,"Taiwan",-0.826507763646192
2001-04-30,"Thailand",-0.700128483695405
2001-04-30,"Turkey",-0.903664528431936
2001-05-31,"Brazil",-0.167273187249831
2001-05-31,"Greece",-0.975493407831511
