"date","country","factor_value"
2005-01-31,"Brazil",13.4075
2005-01-31,"Greece",16.8361
2005-01-31,"India",18.0246
2005-01-31,"Indonesia",12.2479
2005-01-31,"Malaysia",16.4283
2005-01-31,"Mexico",15.672
2005-01-31,"Philippines",13.4193
2005-01-31,"Poland",11.1688
2005-01-31,"South Africa",16.4639
2005-01-31,"Thailand",12.8377
2005-01-31,"Turkey",11.9895
2005-02-28,"Brazil",15.6911
2005-02-28,"Greece",20.399
2005-02-28,"India",18.4935
2005-02-28,"Indonesia",12.4068
2005-02-28,"Malaysia",15.5259
2005-02-28,"Mexico",13.7512
2005-02-28,"Philippines",13.9655
2005-02-28,"Poland",12.6875
2005-02-28,"South Africa",17.3447
2005-02-28,"Thailand",11.3079
2005-02-28,"Turkey",12.4287
2005-03-31,"Brazil",11.2011
2005-03-31,"Greece",18.4816
2005-03-31,"India",17.9075
2005-03-31,"Indonesia",12.0176
2005-03-31,"Malaysia",15.1052
2005-03-31,"Mexico",12.3994
2005-03-31,"Philippines",12.9768
2005-03-31,"Poland",13.7143
2005-03-31,"South Africa",16.8146
2005-03-31,"Thailand",10.7593
2005-03-31,"Turkey",11.1196
2005-04-29,"Brazil",10.6155
2005-04-29,"Greece",18.3612
2005-04-29,"India",16.9596
2005-04-29,"Indonesia",10.546
2005-04-29,"Malaysia",15.1772
2005-04-29,"Mexico",6.9615
2005-04-29,"Philippines",10.9995
2005-04-29,"Poland",12.0511
2005-04-29,"South Africa",11.6349
2005-04-29,"South Korea",7.2127
2005-04-29,"Taiwan",12.7331
2005-04-29,"Thailand",10.4213
2005-04-29,"Turkey",11.0052
2005-05-31,"Brazil",10.5509
2005-05-31,"Greece",19.1265
2005-05-31,"India",14.9056
2005-05-31,"Indonesia",11.6303
2005-05-31,"Malaysia",13.6968
2005-05-31,"Mexico",7.5029
2005-05-31,"Philippines",11.2753
2005-05-31,"Poland",11.0689
2005-05-31,"South Africa",12.5987
2005-05-31,"South Korea",7.5378
2005-05-31,"Taiwan",13.3736
2005-05-31,"Thailand",9.6726
2005-05-31,"Turkey",11.658
2005-06-30,"Brazil",10.9517
2005-06-30,"Greece",18.0805
2005-06-30,"India",15.5239
2005-06-30,"Indonesia",12.1274
2005-06-30,"Malaysia",14.4016
2005-06-30,"Mexico",7.9255
2005-06-30,"Philippines",11.2227
2005-06-30,"Poland",11.8148
2005-06-30,"South Africa",12.9301
2005-06-30,"South Korea",7.82
2005-06-30,"Taiwan",13.7919
2005-06-30,"Thailand",9.8108
2005-06-30,"Turkey",12.691
2005-07-29,"Brazil",11.3144
2005-07-29,"Greece",19.2452
2005-07-29,"India",16.3477
2005-07-29,"Indonesia",12.9257
2005-07-29,"Malaysia",14.9532
2005-07-29,"Mexico",5.2654
2005-07-29,"Philippines",11.3638
2005-07-29,"Poland",12.6126
2005-07-29,"South Africa",13.4338
2005-07-29,"South Korea",8.8146
2005-07-29,"Taiwan",13.9498
2005-07-29,"Thailand",10.0436
2005-07-29,"Turkey",14.0057
2005-08-31,"Brazil",9.8253
2005-08-31,"Greece",22.0801
2005-08-31,"India",16.7343
2005-08-31,"Indonesia",10.6464
2005-08-31,"Malaysia",14.7926
2005-08-31,"Mexico",5.1949
2005-08-31,"Philippines",14.9463
2005-08-31,"Poland",11.7525
2005-08-31,"South Africa",13.8383
2005-08-31,"South Korea",8.68
2005-08-31,"Thailand",10.0676
2005-08-31,"Turkey",14.6101
2005-09-30,"Brazil",11.6746
2005-09-30,"Greece",22.1768
2005-09-30,"India",18.2867
2005-09-30,"Indonesia",10.9338
2005-09-30,"Malaysia",14.9774
2005-09-30,"Mexico",5.8686
2005-09-30,"Philippines",15.0344
2005-09-30,"Poland",13.1011
2005-09-30,"South Africa",15.1027
2005-09-30,"South Korea",9.7438
2005-09-30,"Thailand",10.3919
2005-09-30,"Turkey",16.3962
2005-10-31,"Brazil",10.9359
2005-10-31,"Greece",21.6651
2005-10-31,"India",16.936
2005-10-31,"Indonesia",11.2152
2005-10-31,"Malaysia",14.575
2005-10-31,"Mexico",4.2374
2005-10-31,"Philippines",15.245
2005-10-31,"Poland",11.9878
2005-10-31,"South Africa",12.6074
2005-10-31,"Thailand",9.603
2005-10-31,"Turkey",12.951
2005-11-30,"Brazil",11.1283
2005-11-30,"Greece",22.0461
2005-11-30,"India",18.9465
2005-11-30,"Indonesia",11.2745
2005-11-30,"Malaysia",13.8394
2005-11-30,"Mexico",4.5884
2005-11-30,"Philippines",15.4956
2005-11-30,"Poland",11.4336
2005-11-30,"South Africa",12.9433
2005-11-30,"Thailand",9.2163
2005-11-30,"Turkey",18.4853
2005-12-30,"Brazil",10.9893
2005-12-30,"Greece",23.23
2005-12-30,"India",20.3425
2005-12-30,"Indonesia",12.044
2005-12-30,"Malaysia",13.9625
2005-12-30,"Mexico",4.7772
2005-12-30,"Philippines",15.3897
2005-12-30,"Poland",11.8512
2005-12-30,"South Africa",14.2544
2005-12-30,"Thailand",10.0122
2005-12-30,"Turkey",50.9331
2006-01-31,"Brazil",13.655
2006-01-31,"Greece",25.0108
2006-01-31,"India",21.254
2006-01-31,"Indonesia",12.9864
2006-01-31,"Malaysia",14.282
2006-01-31,"Mexico",5.1744
2006-01-31,"Philippines",15.8515
2006-01-31,"Poland",12.315
2006-01-31,"South Africa",16.3724
2006-01-31,"Thailand",51.794
2006-01-31,"Turkey",36.2879
2006-02-28,"Brazil",13.9049
2006-02-28,"Greece",26.9122
2006-02-28,"India",21.9058
2006-02-28,"Indonesia",12.8259
2006-02-28,"Malaysia",15.24
2006-02-28,"Mexico",4.1364
2006-02-28,"Philippines",13.5922
2006-02-28,"Poland",12.3907
2006-02-28,"South Africa",15.6493
2006-02-28,"Thailand",42.7993
2006-02-28,"Turkey",38.3331
2006-03-31,"Brazil",12.1878
2006-03-31,"Greece",22.3213
2006-03-31,"India",24.1703
2006-03-31,"Indonesia",14.0883
2006-03-31,"Malaysia",15.9025
2006-03-31,"Mexico",4.1432
2006-03-31,"Philippines",14.5014
2006-03-31,"Poland",11.5777
2006-03-31,"South Africa",16.3328
2006-03-31,"Turkey",33.7752
2006-04-28,"Brazil",13.4208
2006-04-28,"Greece",22.2014
2006-04-28,"India",21.8646
2006-04-28,"Indonesia",15.4654
2006-04-28,"Malaysia",16.4387
2006-04-28,"Mexico",4.3671
2006-04-28,"Philippines",12.509
2006-04-28,"Poland",12.7958
2006-04-28,"South Africa",14.952
2006-04-28,"South Korea",12.287
2006-04-28,"Taiwan",19.4578
2006-04-28,"Turkey",23.6707
2006-05-31,"Brazil",10.422
2006-05-31,"Greece",18.0645
2006-05-31,"India",18.4581
2006-05-31,"Indonesia",2.8764
2006-05-31,"Malaysia",15.6935
2006-05-31,"Mexico",4.5381
2006-05-31,"Philippines",14.2515
2006-05-31,"Poland",10.1159
2006-05-31,"South Africa",14.1551
2006-05-31,"South Korea",11.1463
2006-05-31,"Taiwan",19.0559
2006-05-31,"Thailand",58.67
2006-05-31,"Turkey",16.335
2006-06-30,"Brazil",11.0623
2006-06-30,"Greece",18.0527
2006-06-30,"India",18.601
2006-06-30,"Indonesia",2.854
2006-06-30,"Malaysia",15.3097
2006-06-30,"Mexico",4.6446
2006-06-30,"Philippines",13.3652
2006-06-30,"Poland",10.486
2006-06-30,"South Africa",14.5079
2006-06-30,"South Korea",11.0314
2006-06-30,"Taiwan",18.7937
2006-06-30,"Thailand",56.2903
2006-06-30,"Turkey",15.7947
2006-07-31,"Brazil",11.2051
2006-07-31,"Greece",18.1841
2006-07-31,"India",19.1437
2006-07-31,"Indonesia",2.9495
2006-07-31,"Malaysia",16.0531
2006-07-31,"Mexico",5.1021
2006-07-31,"Philippines",14.8406
2006-07-31,"Poland",11.6675
2006-07-31,"South Africa",14.503
2006-07-31,"South Korea",11.2669
2006-07-31,"Taiwan",16.0806
2006-07-31,"Thailand",57.9647
2006-07-31,"Turkey",15.2785
2006-08-31,"Brazil",11.2137
2006-08-31,"Greece",17.6453
2006-08-31,"India",20.9586
2006-08-31,"Indonesia",3.0122
2006-08-31,"Malaysia",15.7346
2006-08-31,"Mexico",4.9846
2006-08-31,"Philippines",14.0781
2006-08-31,"Poland",11.8032
2006-08-31,"South Africa",15.0187
2006-08-31,"South Korea",11.6163
2006-08-31,"Taiwan",16.0852
2006-08-31,"Thailand",21.7482
2006-08-31,"Turkey",15.897
2006-09-29,"Brazil",11.0221
2006-09-29,"Greece",17.8818
2006-09-29,"India",22.4528
2006-09-29,"Indonesia",3.2134
2006-09-29,"Malaysia",15.8405
2006-09-29,"Mexico",5.2272
2006-09-29,"Philippines",15.5872
2006-09-29,"Poland",11.6717
2006-09-29,"South Africa",15.0012
2006-09-29,"South Korea",11.7873
2006-09-29,"Taiwan",17.1888
2006-09-29,"Thailand",22.0646
2006-09-29,"Turkey",13.5422
2006-10-31,"Brazil",11.8348
2006-10-31,"Greece",18.887
2006-10-31,"India",23.7776
2006-10-31,"Indonesia",3.102
2006-10-31,"Malaysia",16.3065
2006-10-31,"Mexico",9.8462
