"date","country","factor_value"
2005-01-31,"Brazil",8.0382
2005-01-31,"Greece",1.6773
2005-01-31,"India",4.5435
2005-01-31,"Indonesia",4.9593
2005-01-31,"Malaysia",2.7175
2005-01-31,"Mexico",6.4932
2005-01-31,"Philippines",3.3713
2005-01-31,"Poland",4.5147
2005-01-31,"South Africa",2.2089
2005-01-31,"Thailand",3.5703
2005-01-31,"Turkey",3.0872
2005-02-28,"Brazil",8.0628
2005-02-28,"Greece",1.3518
2005-02-28,"India",4.5435
2005-02-28,"Indonesia",5.0006
2005-02-28,"Malaysia",3.1308
2005-02-28,"Mexico",6.9233
2005-02-28,"Philippines",3.3198
2005-02-28,"Poland",4.4691
2005-02-28,"South Africa",2.2089
2005-02-28,"Thailand",4.0853
2005-02-28,"Turkey",3.0872
2005-03-31,"Brazil",7.5811
2005-03-31,"Greece",1.5188
2005-03-31,"India",4.5435
2005-03-31,"Indonesia",5.1413
2005-03-31,"Malaysia",2.609
2005-03-31,"Mexico",6.9233
2005-03-31,"Philippines",3.3195
2005-03-31,"Poland",3.559
2005-03-31,"South Africa",2.2103
2005-03-31,"Thailand",3.9548
2005-03-31,"Turkey",3.1486
2005-04-29,"Brazil",7.5811
2005-04-29,"Greece",1.5188
2005-04-29,"India",3.9501
2005-04-29,"Indonesia",4.8532
2005-04-29,"Malaysia",2.7053
2005-04-29,"Mexico",3.077
2005-04-29,"Philippines",2.6821
2005-04-29,"Poland",3.9188
2005-04-29,"South Africa",2.4842
2005-04-29,"South Korea",3.8436
2005-04-29,"Taiwan",2.9261
2005-04-29,"Thailand",3.9691
2005-04-29,"Turkey",2.8625
2005-05-31,"Brazil",7.6123
2005-05-31,"Greece",1.5188
2005-05-31,"India",5.278
2005-05-31,"Indonesia",5.3464
2005-05-31,"Malaysia",2.8158
2005-05-31,"Mexico",3.077
2005-05-31,"Philippines",3.5833
2005-05-31,"Poland",4.3337
2005-05-31,"South Africa",2.3432
2005-05-31,"South Korea",3.8682
2005-05-31,"Taiwan",2.9966
2005-05-31,"Thailand",4.2522
2005-05-31,"Turkey",2.8625
2005-06-30,"Brazil",7.6123
2005-06-30,"Greece",1.5377
2005-06-30,"India",5.2246
2005-06-30,"Indonesia",5.3464
2005-06-30,"Malaysia",2.8221
2005-06-30,"Mexico",3.077
2005-06-30,"Philippines",3.5833
2005-06-30,"Poland",4.3254
2005-06-30,"South Africa",2.3767
2005-06-30,"South Korea",3.8334
2005-06-30,"Taiwan",2.9966
2005-06-30,"Thailand",4.2522
2005-06-30,"Turkey",2.5389
2005-07-29,"Brazil",7.6123
2005-07-29,"Greece",1.5377
2005-07-29,"India",5.2246
2005-07-29,"Indonesia",5.3464
2005-07-29,"Malaysia",2.9198
2005-07-29,"Mexico",5.4731
2005-07-29,"Philippines",3.5833
2005-07-29,"Poland",4.3254
2005-07-29,"South Africa",2.3683
2005-07-29,"South Korea",3.7751
2005-07-29,"Taiwan",3.0098
2005-07-29,"Thailand",4.2522
2005-07-29,"Turkey",2.5389
2005-08-31,"Brazil",8.4728
2005-08-31,"Greece",1.3239
2005-08-31,"India",5.1823
2005-08-31,"Indonesia",5.2595
2005-08-31,"Malaysia",2.8705
2005-08-31,"Mexico",5.4731
2005-08-31,"Philippines",2.6581
2005-08-31,"Poland",4.637
2005-08-31,"South Africa",2.4489
2005-08-31,"South Korea",3.7577
2005-08-31,"Thailand",4.4291
2005-08-31,"Turkey",2.5389
2005-09-30,"Brazil",8.4728
2005-09-30,"Greece",1.3495
2005-09-30,"India",5.1823
2005-09-30,"Indonesia",5.2428
2005-09-30,"Malaysia",2.9128
2005-09-30,"Mexico",5.4731
2005-09-30,"Philippines",2.6581
2005-09-30,"Poland",4.637
2005-09-30,"South Africa",2.2563
2005-09-30,"South Korea",3.7577
2005-09-30,"Thailand",4.4263
2005-09-30,"Turkey",2.206
2005-10-31,"Brazil",8.4728
2005-10-31,"Greece",1.3495
2005-10-31,"India",5.3163
2005-10-31,"Indonesia",4.697
2005-10-31,"Malaysia",2.8683
2005-10-31,"Mexico",7.6407
2005-10-31,"Philippines",2.6581
2005-10-31,"Poland",4.637
2005-10-31,"South Africa",2.8963
2005-10-31,"Thailand",4.4252
2005-10-31,"Turkey",2.5711
2005-11-30,"Brazil",8.565
2005-11-30,"Greece",1.3428
2005-11-30,"India",5.3059
2005-11-30,"Indonesia",4.9169
2005-11-30,"Malaysia",2.8467
2005-11-30,"Mexico",7.6407
