"date","country","factor_value"
2005-01-31,"Brazil",25.6363
2005-01-31,"Greece",14.8896
2005-01-31,"India",21.1063
2005-01-31,"Indonesia",24.2911
2005-01-31,"Malaysia",12.3127
2005-01-31,"Mexico",18.2032
2005-01-31,"Philippines",15.1863
2005-01-31,"Poland",16.409
2005-01-31,"South Africa",13.1442
2005-01-31,"Thailand",21.0306
2005-01-31,"Turkey",13.9572
2005-02-28,"Brazil",25.7158
2005-02-28,"Greece",14.1686
2005-02-28,"India",21.1063
2005-02-28,"Indonesia",24.4933
2005-02-28,"Malaysia",12.6505
2005-02-28,"Mexico",19.3528
2005-02-28,"Philippines",14.9641
2005-02-28,"Poland",16.2433
2005-02-28,"South Africa",13.1442
2005-02-28,"Thailand",23.2474
2005-02-28,"Turkey",13.9572
2005-03-31,"Brazil",27.5517
2005-03-31,"Greece",13.6585
2005-03-31,"India",21.1063
2005-03-31,"Indonesia",25.1278
2005-03-31,"Malaysia",12.341
2005-03-31,"Mexico",19.3528
2005-03-31,"Philippines",14.9732
2005-03-31,"Poland",16.2528
2005-03-31,"South Africa",13.1602
2005-03-31,"Thailand",22.0922
2005-03-31,"Turkey",13.9971
2005-04-29,"Brazil",27.5517
2005-04-29,"Greece",13.6585
2005-04-29,"India",17.9438
2005-04-29,"Indonesia",25.3586
2005-04-29,"Malaysia",12.459
2005-04-29,"Mexico",9.756
2005-04-29,"Philippines",12.9407
2005-04-29,"Poland",16.4212
2005-04-29,"South Africa",18.7744
2005-04-29,"South Korea",17.9741
2005-04-29,"Taiwan",15.3714
2005-04-29,"Thailand",22.0555
2005-04-29,"Turkey",11.3255
2005-05-31,"Brazil",27.8036
2005-05-31,"Greece",13.6585
2005-05-31,"India",23.877
2005-05-31,"Indonesia",24.7392
2005-05-31,"Malaysia",13.1393
2005-05-31,"Mexico",9.756
2005-05-31,"Philippines",16.9124
2005-05-31,"Poland",17.5199
2005-05-31,"South Africa",18.4452
2005-05-31,"South Korea",17.6985
2005-05-31,"Taiwan",15.18
2005-05-31,"Thailand",22.8435
2005-05-31,"Turkey",11.3255
2005-06-30,"Brazil",27.8036
2005-06-30,"Greece",14.2846
2005-06-30,"India",24.2465
2005-06-30,"Indonesia",24.7392
2005-06-30,"Malaysia",12.935
2005-06-30,"Mexico",9.756
2005-06-30,"Philippines",16.9124
2005-06-30,"Poland",17.3695
2005-06-30,"South Africa",19.1697
2005-06-30,"South Korea",17.5402
2005-06-30,"Taiwan",15.18
2005-06-30,"Thailand",22.8435
2005-06-30,"Turkey",10.8829
2005-07-29,"Brazil",27.8036
2005-07-29,"Greece",14.2846
2005-07-29,"India",24.2465
2005-07-29,"Indonesia",24.7392
2005-07-29,"Malaysia",12.9736
2005-07-29,"Mexico",15.9905
2005-07-29,"Philippines",16.9124
2005-07-29,"Poland",17.3695
2005-07-29,"South Africa",18.808
2005-07-29,"South Korea",17.3047
2005-07-29,"Taiwan",14.9916
2005-07-29,"Thailand",22.8435
2005-07-29,"Turkey",10.8829
2005-08-31,"Brazil",28.3368
2005-08-31,"Greece",13.0334
2005-08-31,"India",24.0498
2005-08-31,"Indonesia",26.8223
2005-08-31,"Malaysia",12.912
2005-08-31,"Mexico",15.9905
2005-08-31,"Philippines",12.8249
2005-08-31,"Poland",19.4544
2005-08-31,"South Africa",19.45
2005-08-31,"South Korea",17.2151
2005-08-31,"Thailand",23.4585
2005-08-31,"Turkey",10.8829
2005-09-30,"Brazil",28.3368
2005-09-30,"Greece",13.4177
2005-09-30,"India",24.0498
2005-09-30,"Indonesia",26.7526
2005-09-30,"Malaysia",12.8423
2005-09-30,"Mexico",15.9905
2005-09-30,"Philippines",12.8249
2005-09-30,"Poland",19.4544
2005-09-30,"South Africa",17.9219
2005-09-30,"South Korea",17.2151
2005-09-30,"Thailand",23.4436
2005-09-30,"Turkey",10.2843
2005-10-31,"Brazil",28.3368
2005-10-31,"Greece",13.4177
2005-10-31,"India",24.4795
2005-10-31,"Indonesia",23.9773
2005-10-31,"Malaysia",12.7566
2005-10-31,"Mexico",20.2382
2005-10-31,"Philippines",12.8249
2005-10-31,"Poland",19.4544
2005-10-31,"South Africa",21.0996
2005-10-31,"Thailand",23.4377
2005-10-31,"Turkey",11.8302
2005-11-30,"Brazil",26.875
2005-11-30,"Greece",13.0054
2005-11-30,"India",24.4316
2005-11-30,"Indonesia",24.6142
2005-11-30,"Malaysia",13.1107
2005-11-30,"Mexico",20.2382
2005-11-30,"Philippines",13.0165
2005-11-30,"Poland",20.2205
2005-11-30,"South Africa",22.4855
2005-11-30,"Thailand",24.0087
2005-11-30,"Turkey",11.8805
2005-12-30,"Brazil",26.875
2005-12-30,"Greece",12.943
2005-12-30,"India",24.4341
2005-12-30,"Indonesia",24.6142
2005-12-30,"Malaysia",13.1457
2005-12-30,"Mexico",20.2382
2005-12-30,"Philippines",13.0165
2005-12-30,"Poland",20.2205
2005-12-30,"South Africa",21.9112
2005-12-30,"Thailand",23.9926
2005-12-30,"Turkey",4.6134
2006-01-31,"Brazil",26.875
2006-01-31,"Greece",12.943
2006-01-31,"India",26.1644
2006-01-31,"Indonesia",24.6113
2006-01-31,"Malaysia",13.1233
2006-01-31,"Mexico",20.2382
2006-01-31,"Philippines",13.0165
2006-01-31,"Poland",20.2205
2006-01-31,"South Africa",21.8143
2006-01-31,"Thailand",23.9957
2006-01-31,"Turkey",6.6074
2006-02-28,"Brazil",26.875
2006-02-28,"Greece",12.8866
2006-02-28,"India",26.1541
2006-02-28,"Indonesia",24.6113
2006-02-28,"Malaysia",12.5067
2006-02-28,"Mexico",21.9453
2006-02-28,"Philippines",14.4705
2006-02-28,"Poland",20.2456
2006-02-28,"South Africa",21.8173
2006-02-28,"Thailand",23.2504
2006-02-28,"Turkey",6.6074
2006-03-31,"Brazil",30.9663
2006-03-31,"Greece",14.5304
2006-03-31,"India",26.1473
2006-03-31,"Indonesia",24.364
2006-03-31,"Malaysia",12.8576
2006-03-31,"Mexico",21.9453
2006-03-31,"Philippines",20.416
2006-03-31,"Poland",20.4011
2006-03-31,"South Africa",21.6445
2006-03-31,"Thailand",21.8313
2006-03-31,"Turkey",6.7085
2006-04-28,"Brazil",30.6535
2006-04-28,"Greece",14.5304
2006-04-28,"India",23.3917
2006-04-28,"Indonesia",22.3512
2006-04-28,"Malaysia",12.0776
2006-04-28,"Mexico",21.9031
2006-04-28,"Philippines",18.6002
2006-04-28,"Poland",20.1874
2006-04-28,"South Africa",22.9017
2006-04-28,"South Korea",14.2313
2006-04-28,"Taiwan",11.5366
2006-04-28,"Thailand",21.8317
2006-04-28,"Turkey",8.7837
2006-05-31,"Brazil",28.9841
2006-05-31,"Greece",15.1914
2006-05-31,"India",23.0573
2006-05-31,"Indonesia",21.4206
2006-05-31,"Malaysia",11.8137
2006-05-31,"Mexico",61.7736
2006-05-31,"Philippines",14.9362
2006-05-31,"Poland",19.9313
2006-05-31,"South Africa",22.1998
2006-05-31,"South Korea",14.5242
2006-05-31,"Taiwan",10.9769
2006-05-31,"Thailand",20.7926
2006-05-31,"Turkey",10.4915
2006-06-30,"Brazil",28.9841
2006-06-30,"Greece",15.1914
2006-06-30,"India",20.387
2006-06-30,"Indonesia",21.4206
2006-06-30,"Malaysia",11.7796
2006-06-30,"Mexico",61.7737
2006-06-30,"Philippines",14.9494
2006-06-30,"Poland",19.9313
2006-06-30,"South Africa",22.3177
2006-06-30,"South Korea",14.4304
2006-06-30,"Taiwan",10.9769
2006-06-30,"Thailand",20.7873
2006-06-30,"Turkey",13.4504
2006-07-31,"Brazil",28.9732
2006-07-31,"Greece",15.1914
2006-07-31,"India",19.827
2006-07-31,"Indonesia",21.4206
2006-07-31,"Malaysia",11.6487
2006-07-31,"Mexico",43.5806
2006-07-31,"Philippines",14.9434
2006-07-31,"Poland",19.9313
2006-07-31,"South Africa",23.6926
2006-07-31,"South Korea",15.7417
2006-07-31,"Taiwan",11.2281
2006-07-31,"Thailand",20.7874
2006-07-31,"Turkey",10.9386
2006-08-31,"Brazil",27.7219
2006-08-31,"Greece",17.129
2006-08-31,"India",19.7118
2006-08-31,"Indonesia",22.2079
2006-08-31,"Malaysia",11.9246
2006-08-31,"Mexico",43.9478
2006-08-31,"Philippines",14.0537
2006-08-31,"Poland",17.371
2006-08-31,"South Africa",23.8303
2006-08-31,"South Korea",15.656
2006-08-31,"Taiwan",13.6922
2006-08-31,"Thailand",21.2418
2006-08-31,"Turkey",10.9386
2006-09-29,"Brazil",27.5541
2006-09-29,"Greece",16.8591
2006-09-29,"India",19.6323
2006-09-29,"Indonesia",22.2079
2006-09-29,"Malaysia",11.9568
