"date","country","factor_value"
2001-01-31,"Brazil",0.279241211985504
2001-01-31,"Greece",0.326575447785732
2001-01-31,"India",0.374234276142321
2001-01-31,"Indonesia",0.395147535453784
2001-01-31,"Malaysia",0.290316043602612
2001-01-31,"Mexico",0.359826375022417
2001-01-31,"Philippines",0.391300525714147
2001-01-31,"Poland",0.288850349330377
2001-01-31,"South Africa",0.241221313176524
2001-01-31,"South Korea",0.475154510386403
2001-01-31,"Taiwan",0.424852351024156
2001-01-31,"Thailand",0.608688859601483
2001-01-31,"Turkey",0.632730842092478
2001-02-27,"Taiwan",0.425543244840694
2001-02-28,"Brazil",0.293711489413428
2001-02-28,"Greece",0.316751829496718
2001-02-28,"India",0.301604815068688
2001-02-28,"Indonesia",0.395574414570611
2001-02-28,"Malaysia",0.272281048096541
2001-02-28,"Mexico",0.334691855267817
2001-02-28,"Philippines",0.363935589091932
2001-02-28,"Poland",0.249378288908435
2001-02-28,"South Africa",0.241646514300222
2001-02-28,"South Korea",0.461903176852924
2001-02-28,"Thailand",0.569951385614364
2001-02-28,"Turkey",0.740051597651663
2001-03-30,"Brazil",0.296834760323021
2001-03-30,"Greece",0.316759434681417
2001-03-30,"India",0.314306009860232
2001-03-30,"Indonesia",0.40460177336517
2001-03-30,"Malaysia",0.272033923156007
2001-03-30,"Mexico",0.332401123378304
2001-03-30,"Philippines",0.370901208262046
2001-03-30,"Poland",0.247387830944673
2001-03-30,"South Africa",0.264808012754377
2001-03-30,"South Korea",0.439043855122022
2001-03-30,"Taiwan",0.420806243064977
2001-03-30,"Thailand",0.565345717013525
2001-03-30,"Turkey",0.744544475041158
2001-04-30,"Brazil",0.28815277179693
2001-04-30,"Greece",0.322068441364965
2001-04-30,"India",0.301396779959883
2001-04-30,"Indonesia",0.41893381643689
2001-04-30,"Malaysia",0.285135402377622
2001-04-30,"Mexico",0.339382081052019
2001-04-30,"Philippines",0.371854768858293
2001-04-30,"Poland",0.237371595873601
2001-04-30,"South Africa",0.28412799402007
2001-04-30,"South Korea",0.468942889155927
2001-04-30,"Taiwan",0.421608782028775
2001-04-30,"Thailand",0.566540506135929
2001-04-30,"Turkey",0.810969198603603
2001-05-31,"Brazil",0.285383853333071
2001-05-31,"Greece",0.305417062211995
2001-05-31,"India",0.293594083206514
2001-05-31,"Indonesia",0.476953251703438
2001-05-31,"Malaysia",0.288076472377154
2001-05-31,"Mexico",0.32896781489823
2001-05-31,"Philippines",0.362089078278203
2001-05-31,"Poland",0.249527241819993
2001-05-31,"South Africa",0.294527533294528
2001-05-31,"South Korea",0.49217095862531
2001-05-31,"Taiwan",0.420590732661985
2001-05-31,"Thailand",0.526188182129004
2001-05-31,"Turkey",0.804114855444321
2001-06-29,"Brazil",0.264067359179064
2001-06-29,"Greece",0.309787814594099
2001-06-29,"India",0.280903055351589
2001-06-29,"Indonesia",0.467554981525745
2001-06-29,"Malaysia",0.275178030687745
2001-06-29,"Mexico",0.31891394625263
2001-06-29,"Philippines",0.362007075641884
2001-06-29,"Poland",0.28214689155467
2001-06-29,"South Africa",0.299201466435894
2001-06-29,"South Korea",0.474915422489468
2001-06-29,"Taiwan",0.41595937827949
2001-06-29,"Thailand",0.526282962588685
2001-06-29,"Turkey",0.798091819846621
2001-07-31,"Brazil",0.276982026256907
2001-07-31,"Greece",0.308837127187953
2001-07-31,"India",0.277326087145759
2001-07-31,"Indonesia",0.50345220706982
2001-07-31,"Malaysia",0.296446901163357
2001-07-31,"Mexico",0.328726019902438
2001-07-31,"Philippines",0.348292415134446
2001-07-31,"Poland",0.311580393250776
2001-07-31,"South Africa",0.338190505499489
2001-07-31,"South Korea",0.467197923369034
2001-07-31,"Taiwan",0.426609288247261
2001-07-31,"Thailand",0.501785820156335
2001-07-31,"Turkey",0.810201033123848
2001-08-31,"Brazil",0.274621556977985
2001-08-31,"Greece",0.2966752801282
2001-08-31,"India",0.250483735536456
2001-08-31,"Indonesia",0.499278091835481
2001-08-31,"Malaysia",0.293019508763298
2001-08-31,"Mexico",0.325061227267072
2001-08-31,"Philippines",0.327893225507806
2001-08-31,"Poland",0.315226934690366
2001-08-31,"South Africa",0.293374727277867
2001-08-31,"South Korea",0.465808165001729
2001-08-31,"Taiwan",0.427543556705518
2001-08-31,"Thailand",0.485387550831446
2001-08-31,"Turkey",0.810650741061176
2001-09-28,"Brazil",0.303642235034422
2001-09-28,"Greece",0.278923651122331
2001-09-28,"India",0.264192278122314
2001-09-28,"Indonesia",0.519267732032996
2001-09-28,"Malaysia",0.289356162462955
2001-09-28,"Mexico",0.355891439391803
2001-09-28,"Philippines",0.329475312695106
2001-09-28,"Poland",0.310851214910332
2001-09-28,"South Africa",0.325629317746097
2001-09-28,"South Korea",0.474959816737197
2001-09-28,"Taiwan",0.448873169672525
2001-09-28,"Thailand",0.481063444720764
2001-09-28,"Turkey",0.847880121835147
2001-10-31,"Brazil",0.323584412036691
2001-10-31,"Greece",0.321416789506509
2001-10-31,"India",0.28581662837454
2001-10-31,"Indonesia",0.520671964093143
2001-10-31,"Malaysia",0.259578535236493
2001-10-31,"Mexico",0.358117271621418
2001-10-31,"Philippines",0.318774710629992
2001-10-31,"Poland",0.425193747708277
2001-10-31,"South Africa",0.328065788369917
2001-10-31,"South Korea",0.486784203383222
2001-10-31,"Taiwan",0.473905886402385
2001-10-31,"Thailand",0.481865169092245
2001-10-31,"Turkey",0.851359848831389
2001-11-30,"Brazil",0.332826779136301
2001-11-30,"Greece",0.307634627461497
2001-11-30,"India",0.310346672185608
2001-11-30,"Indonesia",0.520831399257021
2001-11-30,"Malaysia",0.27117194426706
2001-11-30,"Mexico",0.336864523902736
2001-11-30,"Philippines",0.329275069560548
2001-11-30,"Poland",0.418618304940761
2001-11-30,"South Africa",0.319577016352936
2001-11-30,"South Korea",0.539380187575445
2001-11-30,"Taiwan",0.497561065770275
2001-11-30,"Thailand",0.506863438545598
2001-11-30,"Turkey",0.84028064585379
2001-12-31,"Brazil",0.365137595551477
2001-12-31,"Greece",0.302302617433032
2001-12-31,"India",0.3044635320607
2001-12-31,"Indonesia",0.500222157698396
2001-12-31,"Malaysia",0.249636846265621
2001-12-31,"Mexico",0.326145307097858
2001-12-31,"Philippines",0.333210413381147
2001-12-31,"Poland",0.396469327657648
2001-12-31,"South Africa",0.318098448126105
2001-12-31,"South Korea",0.519077443280829
2001-12-31,"Taiwan",0.523568299098544
2001-12-31,"Thailand",0.489407660012041
2001-12-31,"Turkey",0.873246765258138
2002-01-31,"Brazil",0.332515357329418
2002-01-31,"Greece",0.302600473661733
2002-01-31,"India",0.289793140041334
2002-01-31,"Indonesia",0.556101900335487
2002-01-31,"Malaysia",0.250109679167433
2002-01-31,"Mexico",0.310812453925103
2002-01-31,"Philippines",0.340738726544964
2002-01-31,"Poland",0.440342863704736
2002-01-31,"South Africa",0.320879069004365
2002-01-31,"South Korea",0.456954550032136
2002-01-31,"Taiwan",0.431897345242077
2002-01-31,"Thailand",0.432562060858259
2002-01-31,"Turkey",0.863114995835317
2002-02-28,"Brazil",0.356220421159569
2002-02-28,"Greece",0.314075675320577
2002-02-28,"India",0.296766523524939
2002-02-28,"Indonesia",0.555852013629797
2002-02-28,"Malaysia",0.251443281381508
2002-02-28,"Mexico",0.303655619168235
2002-02-28,"Philippines",0.339357627251923
2002-02-28,"Poland",0.433266832155231
2002-02-28,"South Africa",0.32516757099283
2002-02-28,"South Korea",0.446865010997231
2002-02-28,"Taiwan",0.432321777269129
2002-02-28,"Thailand",0.434498811173221
2002-02-28,"Turkey",0.780353576485779
2002-03-29,"Brazil",0.347536882615784
2002-03-29,"Greece",0.313977137891226
2002-03-29,"India",0.262152660884389
