Category,Factor,factor_id,higher_is_better,B1 Ann Ret,B1 Vol,B1 Sharpe,B1 Max DD,B5 Ann Ret,BM Ann Ret,Excess vs BM,Tracking Error,Information Ratio,Hit Rate vs BM,Monotonicity,Mean IC,IC t-stat,Days
Quality,Profit Margin,profit_margin,True,0.09049479346749956,0.19024306985120848,0.47567984231055926,-0.5278117549167265,0.008881003434568546,0.10337949925182222,0.018592272840460167,0.13477868573231547,0.13794668451795383,0.5047520661157024,0.5,0.029545867355784707,1.5176521761905204,5597
Momentum/Risk,1M Momentum (Reversal),mom_1m,False,0.10111640248524845,0.2246399998844011,0.45012643579630773,-0.6212822459638006,0.03903603595896432,0.10337949925182222,0.011101165847805738,0.16398909961422406,0.06769453502653933,0.5006134969325153,0.75,0.019418081918081916,0.9337420917644293,5597
Quality,Trailing ROA,trailing_roa,True,0.11330678055801102,0.21813510290894952,0.5194339610956873,-0.5905551363414719,-0.041709916200346586,0.10337949925182222,0.009148129738841604,0.14543715592755527,0.06290091194713986,0.4963084495488105,0.75,0.054671155290989995,3.0261400717492295,5597
Sentiment,Earnings Revision (3M),earnings_revision_3m,True,0.11514399025143907,0.21963313623852157,0.5242560035494493,-0.5923529337555177,0.009093095951500096,0.1099332264401689,0.00824916275722809,0.158525474617689,0.05203682737504708,0.5006289308176101,0.5,0.04481048612404546,2.4580310752658607,5468
Momentum/Risk,Risk-Adjusted Momentum (12M),risk_adj_mom_12m,True,0.10370161592858329,0.20951938337461964,0.49494998628916975,-0.6738475708492699,0.059262210233163914,0.10337949925182222,0.0067048688775519505,0.1318897747355148,0.05083691204263228,0.5004093327875563,0.5,-0.006977113795295612,-0.32483437860963593,5597
Macro,CPI 3M Change,cpi_3m_change,False,0.10169862323413925,0.1936720480291903,0.5251073878188721,-0.45058890306856747,0.006654419108845344,0.10337949925182222,0.0010190637498490585,0.13661552904502575,0.007459355147782617,0.49774405250205084,0.75,0.03490547998775574,1.931079184691465,5597
Quality,Forward ROE,forward_roe,True,0.10140424177698448,0.21838684085287943,0.4643331135748121,-0.5610851612406503,-0.01689749825600728,0.10366338463336389,-0.0001087700989946816,0.14215452612693033,-0.0007651539627908882,0.4986600700886415,0.75,0.044631098068598066,2.319409210232825,5554
Momentum/Risk,Beta to EM Index,beta_to_em,False,0.07960181272506217,0.1769113958684034,0.44995299672088085,-0.4992726791516173,0.062356724119326135,0.10337949925182222,-0.007705890918329961,0.14257730220677217,-0.05404710847421228,0.5009219422249539,0.5,0.00885478158205431,0.4479659760036432,5597
Quality,Trailing ROE,trailing_roe,True,0.09370765754249621,0.22552062520697086,0.41551701737478025,-0.6404642204237116,-0.004263961379969317,0.10337949925182222,-0.00858017570619507,0.15203043828995136,-0.05643722272135413,0.49641025641025643,0.5,0.044842450937492256,2.342907291963594,5597
Macro,CPI YoY,cpi_yoy,False,0.07744597650952101,0.17139753207969333,0.45185000956438265,-0.5549629716956366,0.05838946359516095,0.10337949925182222,-0.010086266278268252,0.11169902615201112,-0.090298605330201,0.4873534855027761,0.75,-0.009954630939751075,-0.4885475825023752,5597
Sentiment,Sales Revision (3M),sales_revision_3m,True,0.08162137839833172,0.2131926878238365,0.38285261671721305,-0.557784429212165,0.03792176456276275,0.1099332264401689,-0.017225321249439873,0.15367066761314216,-0.11209244755026193,0.4942263279445728,0.5,0.034954134848202645,1.803868781035583,5468
Momentum/Risk,6M Momentum,mom_6m,True,0.07840612734004315,0.2091039663789256,0.3749624107940655,-0.6238013402204805,0.07142008194247684,0.10337949925182222,-0.01951964704355147,0.13931029156919858,-0.14011633184943567,0.4957002457002457,0.75,-0.007456180183452911,-0.33502945117348654,5597
Value,Forward EV/EBITDA,forward_ev_ebitda,False,0.07042168488205758,0.23171593063175752,0.3039138685461017,-0.6005877591800624,0.02456024865100459,0.10233763902896342,-0.02825893017139558,0.1786449591153044,-0.15818487300924158,0.490432612312812,0.75,0.005340684420182332,0.24449999418874735,5534
Macro,FX Momentum 3M,fx_mom_3m,True,0.06199707129548404,0.21026370990849969,0.2948538828809939,-0.634636170350829,0.07917078481518658,0.10337949925182222,-0.025888142059476427,0.15741906700397065,-0.1644536621400725,0.49218428630193334,0.75,-0.00961160415697574,-0.4860912143855112,5597
Value,Forward Dividend Yield,forward_div_yield,True,0.035249535462852366,0.21063359238174167,0.16735001793525836,-0.591565255841723,0.060702607728982505,0.10233763902896342,-0.030604570131516295,0.1601604332893113,-0.1910869588884833,0.4952341483630336,0.25,-0.009707760858388478,-0.5144606146180508,5534
Momentum/Risk,3M Momentum,mom_3m,True,0.07451711619556312,0.20093696656732105,0.37084821906374915,-0.521675836855035,0.04894437181320277,0.10337949925182222,-0.027713331143466524,0.13664402444098742,-0.20281407296690904,0.4972454601101816,0.75,-0.0030094905094905124,-0.14982257025200582,5597
Value,Price-to-Free-Cash-Flow,price_to_fcf,False,0.04182746665328674,0.2194851926010998,0.19057079048291636,-0.5865532226393682,0.0141247702233398,0.08891278923817048,-0.03576923875041005,0.17403316803736152,-0.20553115911060754,0.4874866310160428,0.75,0.011388862574207405,0.5448917751484753,5383
