"date","country","ticker","field","value"
2005-01-31,"Brazil","MXBR Index","PE_RATIO",13.4075
2005-01-31,"Brazil","MXBR Index","PROF_MARGIN",14.5356
2005-01-31,"Brazil","MXBR Index","PX_TO_BOOK_RATIO",3.4326
2005-01-31,"Brazil","MXBR Index","PX_TO_CASH_FLOW",12.9791
2005-01-31,"Brazil","MXBR Index","PX_TO_SALES_RATIO",1.9399
2005-01-31,"Brazil","MXBR Index","RETURN_COM_EQY",25.6363
2005-01-31,"Brazil","MXBR Index","RETURN_ON_ASSET",8.0382
2005-01-31,"Brazil","MXBR Index","TRAIL_12M_EPS",76.0721
2005-01-31,"Greece","MXGR Index","PE_RATIO",16.8361
2005-01-31,"Greece","MXGR Index","PROF_MARGIN",11.7206
2005-01-31,"Greece","MXGR Index","PX_TO_BOOK_RATIO",2.5068
2005-01-31,"Greece","MXGR Index","PX_TO_SALES_RATIO",1.9733
2005-01-31,"Greece","MXGR Index","RETURN_COM_EQY",14.8896
2005-01-31,"Greece","MXGR Index","RETURN_ON_ASSET",1.6773
2005-01-31,"Greece","MXGR Index","TRAIL_12M_EPS",5.5288
2005-01-31,"India","MXIN Index","PE_RATIO",18.0246
2005-01-31,"India","MXIN Index","PROF_MARGIN",10.3592
2005-01-31,"India","MXIN Index","PX_TO_BOOK_RATIO",3.9637
2005-01-31,"India","MXIN Index","PX_TO_CASH_FLOW",12.2154
2005-01-31,"India","MXIN Index","PX_TO_FREE_CASH_FLOW",20.7363
2005-01-31,"India","MXIN Index","PX_TO_SALES_RATIO",1.9454
2005-01-31,"India","MXIN Index","RETURN_COM_EQY",21.1063
2005-01-31,"India","MXIN Index","RETURN_ON_ASSET",4.5435
2005-01-31,"India","MXIN Index","TRAIL_12M_EPS",14.239
2005-01-31,"Indonesia","MXID Index","PE_RATIO",12.2479
2005-01-31,"Indonesia","MXID Index","PROF_MARGIN",13.3462
2005-01-31,"Indonesia","MXID Index","PX_TO_BOOK_RATIO",3.1668
2005-01-31,"Indonesia","MXID Index","PX_TO_CASH_FLOW",6.0189
2005-01-31,"Indonesia","MXID Index","PX_TO_FREE_CASH_FLOW",15.1755
2005-01-31,"Indonesia","MXID Index","PX_TO_SALES_RATIO",1.7399
2005-01-31,"Indonesia","MXID Index","RETURN_COM_EQY",24.2911
2005-01-31,"Indonesia","MXID Index","RETURN_ON_ASSET",4.9593
2005-01-31,"Indonesia","MXID Index","TRAIL_12M_EPS",106.3868
2005-01-31,"Malaysia","MXMY Index","PE_RATIO",16.4283
2005-01-31,"Malaysia","MXMY Index","PROF_MARGIN",11.9539
2005-01-31,"Malaysia","MXMY Index","PX_TO_BOOK_RATIO",2.02
2005-01-31,"Malaysia","MXMY Index","PX_TO_CASH_FLOW",9.8362
2005-01-31,"Malaysia","MXMY Index","PX_TO_FREE_CASH_FLOW",29.3329
2005-01-31,"Malaysia","MXMY Index","PX_TO_SALES_RATIO",1.9612
2005-01-31,"Malaysia","MXMY Index","RETURN_COM_EQY",12.3127
2005-01-31,"Malaysia","MXMY Index","RETURN_ON_ASSET",2.7175
2005-01-31,"Malaysia","MXMY Index","TRAIL_12M_EPS",20.7646
2005-01-31,"Mexico","MXMX Index","PE_RATIO",15.672
2005-01-31,"Mexico","MXMX Index","PROF_MARGIN",10.7926
2005-01-31,"Mexico","MXMX Index","PX_TO_BOOK_RATIO",2.8528
2005-01-31,"Mexico","MXMX Index","PX_TO_CASH_FLOW",8.8238
2005-01-31,"Mexico","MXMX Index","PX_TO_FREE_CASH_FLOW",15.7096
2005-01-31,"Mexico","MXMX Index","PX_TO_SALES_RATIO",1.6914
2005-01-31,"Mexico","MXMX Index","RETURN_COM_EQY",18.2032
2005-01-31,"Mexico","MXMX Index","RETURN_ON_ASSET",6.4932
2005-01-31,"Mexico","MXMX Index","TRAIL_12M_EPS",162.6949
2005-01-31,"Philippines","MXPH Index","PE_RATIO",13.4193
2005-01-31,"Philippines","MXPH Index","PROF_MARGIN",11.749
2005-01-31,"Philippines","MXPH Index","PX_TO_BOOK_RATIO",2.0488
2005-01-31,"Philippines","MXPH Index","PX_TO_CASH_FLOW",9.7723
2005-01-31,"Philippines","MXPH Index","PX_TO_SALES_RATIO",1.553
2005-01-31,"Philippines","MXPH Index","RETURN_COM_EQY",15.1863
2005-01-31,"Philippines","MXPH Index","RETURN_ON_ASSET",3.3713
2005-01-31,"Philippines","MXPH Index","TRAIL_12M_EPS",31.1057
2005-01-31,"Poland","MXPL Index","PE_RATIO",11.1688
2005-01-31,"Poland","MXPL Index","PROF_MARGIN",9.6726
2005-01-31,"Poland","MXPL Index","PX_TO_BOOK_RATIO",1.8725
2005-01-31,"Poland","MXPL Index","PX_TO_CASH_FLOW",6.0326
2005-01-31,"Poland","MXPL Index","PX_TO_FREE_CASH_FLOW",6.4263
2005-01-31,"Poland","MXPL Index","PX_TO_SALES_RATIO",1.1038
2005-01-31,"Poland","MXPL Index","RETURN_COM_EQY",16.409
2005-01-31,"Poland","MXPL Index","RETURN_ON_ASSET",4.5147
2005-01-31,"Poland","MXPL Index","TRAIL_12M_EPS",117.0674
2005-01-31,"South Africa","MXZA Index","PE_RATIO",16.4639
2005-01-31,"South Africa","MXZA Index","PROF_MARGIN",6.8261
2005-01-31,"South Africa","MXZA Index","PX_TO_BOOK_RATIO",2.197
2005-01-31,"South Africa","MXZA Index","PX_TO_CASH_FLOW",8.8776
2005-01-31,"South Africa","MXZA Index","PX_TO_FREE_CASH_FLOW",38.8199
2005-01-31,"South Africa","MXZA Index","PX_TO_SALES_RATIO",1.141
2005-01-31,"South Africa","MXZA Index","RETURN_COM_EQY",13.1442
2005-01-31,"South Africa","MXZA Index","RETURN_ON_ASSET",2.2089
2005-01-31,"South Africa","MXZA Index","TRAIL_12M_EPS",21.0401
2005-01-31,"South Korea","MXKR Index","PX_TO_BOOK_RATIO",1.5114
2005-01-31,"Taiwan","TAMSCI Index","PX_TO_BOOK_RATIO",2.1192
2005-01-31,"Thailand","MXTH Index","PE_RATIO",12.8377
2005-01-31,"Thailand","MXTH Index","PROF_MARGIN",13.5861
2005-01-31,"Thailand","MXTH Index","PX_TO_BOOK_RATIO",2.6201
