date,holdings,n_countries,rebalanced,is_active,n_trades,gross_return,net_return,benchmark
2005-05-31,Indonesia|Mexico|South Korea,12,True,True,3,0.11423942514184178,0.11018942514184178,0.08168703673354227
2005-06-30,Indonesia|Mexico|South Korea,12,True,True,0,0.04524514763052776,0.04524514763052776,0.055788227556693215
2005-07-29,Indonesia|Mexico|South Korea,12,True,True,0,0.08995769805278027,0.08995769805278027,0.06414842357916717
2005-09-30,Indonesia|Mexico|South Korea,9,False,False,0,0.11839758058033394,0.11839758058033394,0.11463161987176118
2005-11-30,Indonesia|Mexico|South Korea,8,False,False,0,0.10697538856319062,0.10697538856319062,0.10175577000613956
2005-12-29,Indonesia|Mexico|South Korea,0,False,False,0,0.0926796280642435,0.0926796280642435,
2006-03-31,Indonesia|Mexico|South Korea,9,False,False,0,0.016006592467150867,0.016006592467150867,-0.009972678977469895
2006-04-28,Indonesia|Mexico,10,True,True,1,0.052892740213254,0.051542740213254,0.030930509718608112
2006-06-30,Mexico|Philippines|Turkey,13,True,True,3,-0.03603154468778274,-0.04008154468778274,-0.006961657058976112
2006-07-31,Mexico|Philippines|Turkey,13,True,True,0,0.09810422534660275,0.09810422534660275,0.015111526114252039
2006-09-27,Mexico|Philippines|Turkey,1,False,False,0,0.125618333486509,0.125618333486509,
2006-10-31,Mexico|Philippines|Turkey,12,True,True,0,0.08957697407279053,0.08957697407279053,0.040269551014496585
2006-11-30,Malaysia|Philippines|Taiwan,11,True,True,4,0.04009125625040904,0.03469125625040904,0.03713815659223996
2007-01-31,Philippines|Taiwan|Turkey,12,True,True,2,0.0634254802309855,0.0607254802309855,0.0031191079168335634
2007-02-27,Philippines|Taiwan|Turkey,1,False,False,0,0.0007071486423706,0.0007071486423706,
2007-03-30,Philippines|Poland|Turkey,11,True,True,2,0.061399244234789534,0.05869924423478953,0.028760893703883905
2007-04-30,Philippines|Taiwan|Turkey,12,True,True,2,0.0050586587842709335,0.0023586587842709334,0.026436927295568013
2007-06-29,Poland|South Korea|Taiwan,13,True,True,4,0.049546263127804434,0.04414626312780443,0.04014401467982087
2007-07-31,Poland|South Korea|Turkey,13,True,True,2,0.07776492394304009,0.0750649239430401,0.04505266686835219
2007-09-28,South Korea|Thailand|Turkey,12,True,True,2,0.05146958265660484,0.04876958265660484,0.059841240375279936
2007-10-31,South Korea|Thailand|Turkey,12,True,True,0,0.07656237134984763,0.07656237134984763,0.08953624832275464
2007-12-28,South Korea|Thailand|Turkey,4,False,False,0,0.004569689332704551,0.004569689332704551,
2008-01-31,South Korea|Taiwan|Turkey,13,True,True,2,-0.173761059519133,-0.17646105951913302,-0.1430775690769327
2008-02-29,South Korea|Taiwan|Turkey,13,True,True,0,0.044003865420235766,0.044003865420235766,0.05086282461912295
2008-03-31,Poland|South Korea|Turkey,12,True,True,2,-0.09290516963217514,-0.09560516963217514,-0.09185353738764457
2008-04-30,Poland|South Korea|Turkey,12,True,True,0,0.0865562557327404,0.0865562557327404,0.09505105626189136
2008-05-30,South Korea|Thailand|Turkey,12,True,True,2,-0.031229028558460964,-0.033929028558460965,0.018095703466179502
2008-06-30,Poland|South Korea|Turkey,12,True,True,2,-0.12699074661200935,-0.12969074661200936,-0.11311055788224755
2008-07-31,Poland|Taiwan|Turkey,12,True,True,2,0.10627735046876619,0.10357735046876619,-0.026910562381513903
2008-08-29,South Korea|Taiwan|Thailand,12,True,True,4,0.013505969983675967,0.008105969983675966,-0.019283758230605352
2008-10-31,South Korea|Taiwan|Thailand,13,True,True,0,-0.19585300790417767,-0.19585300790417767,-0.20053155131731482
2008-11-28,Brazil|South Korea|Thailand,13,True,True,2,-0.08875552861958647,-0.09145552861958646,-0.07206135650972634
2009-02-27,Greece|Thailand|Turkey,13,True,True,4,-0.10792639642572699,-0.11332639642572699,-0.04615147951982834
2009-03-31,Greece|Poland|Turkey,13,True,True,2,0.08622553197525827,0.08352553197525828,0.09912543065609092
2009-06-30,Greece|Poland|Turkey,13,True,True,0,0.008567344820830332,0.008567344820830332,-0.007314913185275884
2009-07-31,Greece|Poland|Turkey,13,True,True,0,0.17685785110487875,0.17685785110487875,0.09901408961321945
2009-09-30,Greece|Taiwan|Turkey,13,True,True,2,0.07038577933958497,0.06768577933958497,0.0672084790716787
2009-10-30,Greece|Poland|Turkey,13,True,True,2,0.006271447337080932,0.003571447337080932,-0.00446015719867543
2009-11-26,Greece|Poland|Turkey,1,False,False,0,-0.078943421340438,-0.078943421340438,
2010-01-29,Greece|Poland|Turkey,13,True,True,0,-0.0026328260320255003,-0.0026328260320255003,-0.02337709107113206
2010-03-31,Greece|Poland|Turkey,13,True,True,0,0.1257350979220496,0.1257350979220496,0.08716299838530883
2010-04-30,Greece|South Korea|Turkey,13,True,True,2,0.01847187768917957,0.015771877689179568,0.0335879901579057
2010-05-31,Greece|South Korea|Turkey,13,True,True,0,-0.10448053199091506,-0.10448053199091506,-0.017642792558048237
2010-07-30,Greece|South Korea|Turkey,13,True,True,0,0.10512265300360775,0.10512265300360775,0.01623685891760318
2010-09-30,Greece|South Korea|Turkey,13,True,True,0,0.018415321038403935,0.018415321038403935,0.036362867508806795
2010-10-28,Greece|South Korea|Turkey,1,False,False,0,0.0358304059493393,0.0358304059493393,
2010-11-30,Greece|South Korea|Turkey,13,True,True,0,-0.022901021942528934,-0.022901021942528934,0.03969568491722475
2010-12-30,Greece|South Korea|Turkey,5,False,False,0,0.0955950216752903,0.0955950216752903,
2011-03-31,Greece|South Korea|Turkey,13,True,True,0,0.02971349670426587,0.02971349670426587,0.027671306281018326
2011-04-29,Greece|South Korea|Turkey,13,True,True,0,-0.006094459007815333,-0.006094459007815333,-0.011695777504952765
2011-05-31,Greece|Poland|South Korea,13,True,True,2,-0.03633310354813657,-0.03903310354813657,0.004253364354271705
2011-06-30,Greece|Poland|South Korea,13,True,True,0,-0.0329371796642926,-0.0329371796642926,-0.025852008568030382
2011-07-29,Greece|Poland|South Korea,13,True,True,0,-0.02418334582364083,-0.02418334582364083,0.007262879390074639
2011-09-30,Greece|Poland|South Korea,13,True,True,0,-0.12638768237009582,-0.12638768237009582,-0.08648456216090539
2011-12-29,Greece|Poland|South Korea,2,False,False,0,0.0158358457980858,0.0158358457980858,
2012-01-31,Greece|Poland|South Korea,13,True,True,0,0.15677766341368307,0.15677766341368307,0.10332076775140742
2012-02-29,Greece|Poland|South Korea,13,True,True,0,-0.0177288171031606,-0.0177288171031606,0.0403564331623496
