date,gross_return,net_return,benchmark,n_trades,cost_pct,n_countries,rebalanced,is_active,holdings
2006-04-28,0.0009979996077150337,-0.003052000392284966,0.030930509718608112,3,0.00405,11,True,True,India|Mexico|South Africa
2006-06-30,-0.0061967835428344996,-0.0088967835428345,-0.006961657058976112,2,0.0027,13,True,True,India|Indonesia|South Africa
2006-07-31,0.0416655398490672,0.0389655398490672,0.015111526114252039,2,0.0027,13,True,True,Indonesia|Mexico|South Africa
2006-10-31,0.06181620985808537,0.06181620985808537,0.040269551014496585,0,0.0,13,True,True,Indonesia|Mexico|South Africa
2006-11-30,0.0352993728533024,0.0352993728533024,0.03713815659223996,0,0.0,13,True,True,Indonesia|Mexico|South Africa
2007-01-31,0.005122385393033201,0.0024223853930332006,0.0031191079168335634,2,0.0027,13,True,True,India|Indonesia|South Africa
2007-03-30,0.051783281978929,0.049083281978929,0.028760893703883905,2,0.0027,13,True,True,Brazil|Indonesia|South Africa
2007-04-30,0.0522051594347967,0.0522051594347967,0.026436927295568013,0,0.0,13,True,True,Brazil|Indonesia|South Africa
2007-06-29,0.006087199446744234,0.006087199446744234,0.04014401467982087,0,0.0,13,True,True,Brazil|Indonesia|South Africa
2007-07-31,0.03762940569685224,0.03492940569685224,0.04505266686835219,2,0.0027,13,True,True,Brazil|Greece|Indonesia
2007-09-28,0.08821870416808993,0.08821870416808993,0.059841240375279936,0,0.0,13,True,True,Brazil|Greece|Indonesia
2007-10-31,0.13100687550962434,0.12830687550962433,0.08953624832275464,2,0.0027,13,True,True,Brazil|Indonesia|South Africa
2008-01-31,-0.056500630395479,-0.059200630395479,-0.1430775690769327,2,0.0027,13,True,True,Brazil|Indonesia|Mexico
2008-02-29,0.044960561495937,0.044960561495937,0.05086282461912295,0,0.0,13,True,True,Brazil|Indonesia|Mexico
2008-03-31,-0.08386300324147616,-0.08386300324147616,-0.09185353738764457,0,0.0,13,True,True,Brazil|Indonesia|Mexico
2008-04-30,0.05902605668573583,0.05632605668573583,0.09505105626189136,2,0.0027,13,True,True,Brazil|Greece|Indonesia
2008-05-30,0.04585746669667149,0.04045746669667149,0.018095703466179502,4,0.0054,13,True,True,Indonesia|Mexico|South Africa
2008-06-30,-0.11242410645293548,-0.11512410645293547,-0.11311055788224755,2,0.0027,13,True,True,Greece|Indonesia|Mexico
2008-07-31,-0.002133440469783867,-0.004833440469783868,-0.026910562381513903,2,0.0027,13,True,True,Indonesia|Mexico|South Africa
2008-08-29,-0.010701990979286731,-0.01340199097928673,-0.019283758230605352,2,0.0027,13,True,True,Brazil|Indonesia|Mexico
2008-10-31,-0.2600763196965123,-0.2627763196965123,-0.20053155131731482,2,0.0027,13,True,True,Brazil|India|Indonesia
