date,gross_return,net_return,benchmark,n_trades,cost_pct,n_countries,rebalanced,is_active,holdings
2005-05-31,0.09682848292007618,0.09277848292007618,0.08168703673354227,3,0.00405,11,True,True,Mexico|Poland|South Korea
2005-06-30,0.0654131230823871,0.0654131230823871,0.055788227556693215,0,0.0,11,False,False,Mexico|Poland|South Korea
2005-07-29,0.08945482648006432,0.08945482648006432,0.06414842357916717,0,0.0,11,False,False,Mexico|Poland|South Korea
2005-09-30,0.14721315045191966,0.14721315045191966,0.11463161987176118,0,0.0,8,False,False,Mexico|Poland|South Korea
2005-11-30,0.10414760781270027,0.10414760781270027,0.10175577000613956,0,0.0,7,False,False,Mexico|Poland|South Korea
2005-12-29,0.0926796280642435,0.0926796280642435,,0,0.0,0,False,False,Mexico|Poland|South Korea
2006-03-31,-0.020842499156402267,-0.020842499156402267,-0.009972678977469895,0,0.0,7,False,False,Mexico|Poland|South Korea
2006-04-28,0.04803310269858643,0.04803310269858643,0.030930509718608112,0,0.0,9,False,False,Mexico|Poland|South Korea
2006-05-30,-0.0951091001101421,-0.0951091001101421,,0,0.0,2,False,False,Mexico|Poland|South Korea
2006-06-30,0.007135365866907067,0.007135365866907067,-0.006961657058976112,0,0.0,10,False,False,Mexico|Poland|South Korea
2006-07-31,0.07169397028856757,0.07169397028856757,0.015111526114252039,0,0.0,10,False,False,Mexico|Poland|South Korea
2006-10-31,0.044798340716359734,0.044798340716359734,0.040269551014496585,0,0.0,9,False,False,Mexico|Poland|South Korea
2006-11-30,0.02597466390205875,0.02192466390205875,0.03713815659223996,3,0.00405,10,True,True,Philippines|Poland
2007-01-31,0.08480112229695674,0.08480112229695674,0.0031191079168335634,0,0.0,10,False,False,Philippines|Poland
2007-03-30,0.06982198082491894,0.06982198082491894,0.028760893703883905,0,0.0,9,False,False,Philippines|Poland
2007-04-30,0.023826903336917497,0.023826903336917497,0.026436927295568013,0,0.0,9,False,False,Philippines|Poland
2007-06-29,0.044432194174787054,0.044432194174787054,0.04014401467982087,0,0.0,10,False,False,Philippines|Poland
2007-07-31,-0.01957712716017285,-0.01957712716017285,0.04505266686835219,0,0.0,10,False,False,Philippines|Poland
2007-09-28,0.0264343186326382,0.0264343186326382,0.059841240375279936,0,0.0,11,False,False,Philippines|Poland
2007-10-31,0.086517073832501,0.086517073832501,0.08953624832275464,0,0.0,11,False,False,Philippines|Poland
2007-11-29,-0.0638166092771875,-0.0638166092771875,,0,0.0,1,False,False,Philippines|Poland
2007-12-28,0.0110742714978147,0.0110742714978147,,0,0.0,4,False,False,Philippines|Poland
2008-01-31,-0.11684438079611201,-0.11684438079611201,-0.1430775690769327,0,0.0,11,False,False,Philippines|Poland
2008-02-29,0.0667813153726897,0.06408131537268971,0.05086282461912295,2,0.0027,10,True,True,Poland|Taiwan
2008-03-31,0.00864080512101825,0.00864080512101825,-0.09185353738764457,0,0.0,10,False,False,Poland|Taiwan
2008-04-30,0.0290664477564585,0.0290664477564585,0.09505105626189136,0,0.0,10,False,False,Poland|Taiwan
2008-05-30,0.0524160716608173,0.047016071660817296,0.018095703466179502,4,0.0054,10,True,True,Indonesia|Mexico
2008-06-30,-0.0749914996448722,-0.0749914996448722,-0.11311055788224755,0,0.0,11,False,False,Indonesia|Mexico
2008-07-31,-0.01897251627742525,-0.01897251627742525,-0.026910562381513903,0,0.0,11,False,False,Indonesia|Mexico
2008-08-29,0.030340895392879836,0.023590895392879837,-0.019283758230605352,5,0.00675,11,True,True,Malaysia|Taiwan|Thailand
2008-10-31,-0.14974454906241358,-0.14974454906241358,-0.20053155131731482,0,0.0,11,False,False,Malaysia|Taiwan|Thailand
2008-11-28,-0.08686112211021357,-0.09226112211021358,-0.07206135650972634,4,0.0054,11,True,True,Indonesia|Mexico|Taiwan
2009-01-21,-0.0268206419098285,-0.0268206419098285,,0,0.0,1,False,False,Indonesia|Mexico|Taiwan
2009-02-27,-0.006320391542963833,-0.009020391542963833,-0.04615147951982834,2,0.0027,11,True,True,Indonesia|Philippines|Taiwan
2009-03-31,0.09550262958518484,0.09550262958518484,0.09912543065609092,0,0.0,10,False,False,Indonesia|Philippines|Taiwan
2009-05-27,0.0927629232106362,0.0927629232106362,,0,0.0,1,False,False,Indonesia|Philippines|Taiwan
2009-06-30,-0.008531772974683232,-0.008531772974683232,-0.007314913185275884,0,0.0,11,False,False,Indonesia|Philippines|Taiwan
2009-07-31,0.1496414202786232,0.1496414202786232,0.09901408961321945,0,0.0,12,False,False,Indonesia|Philippines|Taiwan
2009-08-28,-0.0256214757508085,-0.0256214757508085,,0,0.0,2,False,False,Indonesia|Philippines|Taiwan
2009-09-30,0.05715592321004794,0.05715592321004794,0.0672084790716787,0,0.0,12,False,False,Indonesia|Philippines|Taiwan
2009-10-30,-0.026473881323021798,-0.026473881323021798,-0.00446015719867543,0,0.0,12,False,False,Indonesia|Philippines|Taiwan
