Factor,Rebal,Days,Net Ann Ret,Net Ann Vol,Net Sharpe,Net Max DD,Gross Ann Ret,Gross Sharpe,BM Ann Ret,Excess Ann Ret,Tracking Error,Information Ratio,Total Trades,Total Cost EUR,Cost Drag/yr
Trailing PE,monthly,5208,0.059847447547280996,0.2195660526765131,0.2725714964482889,-0.6324748256876199,0.07511423428427766,0.34216517995395207,0.08485608489004326,-0.02305985864595439,0.16302953917471816,-0.1414458923375918,223,18063.0,0.014566935483870965
Trailing PE,quarterly,5012,0.044197656395786655,0.22232251113956628,0.1987997354349822,-0.6549159491088581,0.05266459205579044,0.23693879518550254,0.08193014819095779,-0.03488587251249098,0.16520079160316645,-0.2111725505304559,119,9639.0,0.008077374301675978
Forward PE,monthly,4884,0.03304755416973859,0.21615513182235377,0.15288813127461898,-0.624295030244892,0.044696222479475356,0.20682544159942906,0.0624685647210359,-0.027697748750572848,0.15903715638422766,-0.17415897882162928,165,13365.0,0.011493243243243243
Forward PE,quarterly,5148,0.046109200553603236,0.21192342000034384,0.21757482279933207,-0.6237009450993674,0.05186174305864877,0.2448130683447427,0.07435183310460358,-0.026295450223551287,0.15664100847284892,-0.1678707924566839,83,6723.0,0.005484965034965035
Price-to-Free-Cash-Flow,monthly,4866,0.0414624589904804,0.20456646655583063,0.2026845342179501,-0.5932018325294737,0.06019242194017349,0.2944109080618959,0.05909834771702904,-0.016655558021383743,0.16242043366815945,-0.102545952163954,259,20979.0,0.018107644882860666
Price-to-Free-Cash-Flow,quarterly,4989,0.0882048899869019,0.20173548922535578,0.43723040663593654,-0.515990211683167,0.09991341578767332,0.49511447318382085,0.07994348557829856,0.007652192743904385,0.16465475704411633,0.046474167411112904,157,12717.0,0.010705832832230908
Price-to-Cash-Flow,monthly,4992,0.026797012152623756,0.2236132918701779,0.1198364011750302,-0.6797844707355511,0.04195039861049832,0.1879065748014961,0.07276596247233513,-0.04286255264350003,0.16421514627089936,-0.26101461172644413,219,17739.0,0.014924639423076924
Price-to-Cash-Flow,quarterly,4819,0.015722886127006896,0.22868511813395476,0.06875342941116548,-0.7363225385419048,0.025448617458522227,0.11137982225707241,0.0698637083027338,-0.0506185603528273,0.16258246814788815,-0.31134082862356155,135,10935.0,0.009530400498028635
Forward ROE,monthly,4904,0.06525844784247647,0.20700738454281212,0.31524695597987273,-0.5963875578608628,0.08381381693213208,0.4049293836244281,0.06389960390023774,0.0012775436625500625,0.13350429613874754,0.009569307501702751,251,20331.0,0.017412357259380097
Forward ROE,quarterly,4688,0.07198924306138021,0.2172512967454991,0.33136392804003667,-0.622259616019323,0.0831681438455294,0.3827747507518743,0.05848174513851134,0.012764097319055256,0.1369044419343497,0.09323362440771697,143,11583.0,0.01037726109215017
Trailing ROA,monthly,5208,0.10688599292782186,0.2069354745625557,0.5165184613888456,-0.5928002377757235,0.11872956778733124,0.5736344377068823,0.08485608489004326,0.02031338644888847,0.13785869958161692,0.147349325871613,165,13365.0,0.010778225806451613
Trailing ROA,quarterly,5012,0.09109337555224895,0.2154692350484835,0.42276743374408743,-0.5709175060537479,0.0977023140972626,0.4534724982626245,0.08193014819095779,0.008471991707212023,0.1374803642578495,0.06162328528110741,89,7209.0,0.006041061452513967
CPI 3M Change,monthly,5794,0.08386970067284771,0.18209797144666753,0.4605746017187857,-0.44988252703842735,0.12304861796018285,0.6766309553597989,0.08954489225978746,-0.005210540936063324,0.12939121105254697,-0.04026966664642527,605,49005.0,0.035523127373144635
CPI 3M Change,quarterly,5794,0.06164401242921724,0.18647453137753595,0.33057604153144593,-0.5502034082909304,0.08361732446893844,0.44920865499467644,0.08954489225978746,-0.025616433617289824,0.12804242181189834,-0.2000620829784197,349,28269.0,0.02049185364169831
Sales Revision (3M),monthly,4841,0.027817124318924247,0.20191820675567254,0.13776431935424155,-0.579997283821613,0.07320318721008667,0.3630516107824736,0.0693339706112317,-0.03883508481314846,0.14474724137241873,-0.2682958545180841,619,50139.0,0.04350006197066722
Sales Revision (3M),quarterly,5105,0.07421755099974936,0.20556841235038467,0.3610357746658468,-0.5760998479940664,0.0993390971096082,0.48374079282930516,0.0743610096893792,-0.00013356732388614123,0.1431023804660228,-0.0009333689869530471,347,28107.0,0.023124270323212532
